year,bula_h,sampreg,ple0081_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2002,Schleswig-Holstein,West,Yes,0.32339,224,719,0.28918,0.35761
2002,Schleswig-Holstein,West,No,0.67661,495,719,0.64239,0.71082
2002,Hamburg,West,Yes,0.33960,98,325,0.28803,0.39116
2002,Hamburg,West,No,0.66040,227,325,0.60884,0.71197
2002,Lower Saxony,West,Yes,0.31473,635,1977,0.29426,0.33521
2002,Lower Saxony,West,No,0.68527,1342,1977,0.66479,0.70574
2002,Bremen,West,Yes,0.33483,62,172,0.26409,0.40556
2002,Bremen,West,No,0.66517,110,172,0.59444,0.73591
2002,North Rhine-Westphalia,West,Yes,0.32103,1573,4868,0.30792,0.33415
2002,North Rhine-Westphalia,West,No,0.67897,3295,4868,0.66585,0.69208
2002,Hesse,West,Yes,0.30650,507,1639,0.28417,0.32883
2002,Hesse,West,No,0.69350,1132,1639,0.67117,0.71583
2002,"Rhineland-Palatinate, Saarland",West,Yes,0.31347,432,1375,0.28894,0.33800
2002,"Rhineland-Palatinate, Saarland",West,No,0.68653,943,1375,0.66200,0.71106
2002,Baden-Wuerttemberg,West,Yes,0.27565,802,2799,0.25909,0.29220
2002,Baden-Wuerttemberg,West,No,0.72435,1997,2799,0.70780,0.74091
2002,Bavaria,West,Yes,0.28451,922,3255,0.26901,0.30001
2002,Bavaria,West,No,0.71549,2333,3255,0.69999,0.73099
2002,Berlin,West,Yes,0.38630,170,463,0.34190,0.43070
2002,Berlin,West,No,0.61370,293,463,0.56930,0.65810
2002,Berlin,East,Yes,0.38990,141,364,0.33972,0.44007
2002,Berlin,East,No,0.61010,223,364,0.55993,0.66028
2002,Brandenburg,East,Yes,0.28991,267,959,0.26118,0.31864
2002,Brandenburg,East,No,0.71009,692,959,0.68136,0.73882
2002,Mecklenburg-Western Pomerania,East,Yes,0.31120,156,516,0.27121,0.35119
2002,Mecklenburg-Western Pomerania,East,No,0.68880,360,516,0.64881,0.72879
2002,Saxony,East,Yes,0.25424,427,1648,0.23321,0.27527
2002,Saxony,East,No,0.74576,1221,1648,0.72473,0.76679
2002,Saxony-Anhalt,East,Yes,0.31791,312,971,0.28860,0.34721
2002,Saxony-Anhalt,East,No,0.68209,659,971,0.65279,0.71140
2002,Thuringa,East,Yes,0.29442,299,967,0.26567,0.32316
2002,Thuringa,East,No,0.70558,668,967,0.67684,0.73433
2004,Schleswig-Holstein,West,Yes,0.32358,203,669,0.28810,0.35906
2004,Schleswig-Holstein,West,No,0.67642,466,669,0.64094,0.71190
2004,Hamburg,West,Yes,0.36289,84,292,0.30764,0.41814
2004,Hamburg,West,No,0.63711,208,292,0.58186,0.69236
2004,Lower Saxony,West,Yes,0.30230,562,1880,0.28153,0.32306
2004,Lower Saxony,West,No,0.69770,1318,1880,0.67694,0.71847
2004,Bremen,West,Yes,0.32153,56,167,0.25048,0.39258
2004,Bremen,West,No,0.67847,111,167,0.60742,0.74952
2004,North Rhine-Westphalia,West,Yes,0.31188,1446,4523,0.29837,0.32538
2004,North Rhine-Westphalia,West,No,0.68812,3077,4523,0.67462,0.70163
2004,Hesse,West,Yes,0.29418,420,1441,0.27064,0.31771
2004,Hesse,West,No,0.70582,1021,1441,0.68229,0.72936
2004,"Rhineland-Palatinate, Saarland",West,Yes,0.32133,406,1301,0.29594,0.34671
2004,"Rhineland-Palatinate, Saarland",West,No,0.67867,895,1301,0.65329,0.70406
2004,Baden-Wuerttemberg,West,Yes,0.27532,719,2603,0.25816,0.29248
2004,Baden-Wuerttemberg,West,No,0.72468,1884,2603,0.70752,0.74184
2004,Bavaria,West,Yes,0.27723,818,3040,0.26131,0.29314
2004,Bavaria,West,No,0.72277,2222,3040,0.70686,0.73869
2004,Berlin,West,Yes,0.37726,147,435,0.33166,0.42286
2004,Berlin,West,No,0.62274,288,435,0.57714,0.66834
2004,Berlin,East,Yes,0.41666,139,369,0.36629,0.46704
2004,Berlin,East,No,0.58334,230,369,0.53296,0.63371
2004,Brandenburg,East,Yes,0.29171,250,903,0.26204,0.32137
2004,Brandenburg,East,No,0.70829,653,903,0.67863,0.73796
2004,Mecklenburg-Western Pomerania,East,Yes,0.28461,148,509,0.24537,0.32385
2004,Mecklenburg-Western Pomerania,East,No,0.71539,361,509,0.67615,0.75463
2004,Saxony,East,Yes,0.26142,400,1565,0.23965,0.28320
2004,Saxony,East,No,0.73858,1165,1565,0.71680,0.76035
2004,Saxony-Anhalt,East,Yes,0.28861,294,922,0.25934,0.31787
2004,Saxony-Anhalt,East,No,0.71139,628,922,0.68213,0.74066
2004,Thuringa,East,Yes,0.29863,284,942,0.26939,0.32787
2004,Thuringa,East,No,0.70137,658,942,0.67213,0.73061
2006,Schleswig-Holstein,West,Yes,0.33279,195,673,0.29717,0.36842
2006,Schleswig-Holstein,West,No,0.66721,478,673,0.63158,0.70283
2006,Hamburg,West,Yes,0.32762,83,302,0.27460,0.38065
2006,Hamburg,West,No,0.67238,219,302,0.61935,0.72540
2006,Lower Saxony,West,Yes,0.29396,564,1959,0.27378,0.31414
2006,Lower Saxony,West,No,0.70604,1395,1959,0.68586,0.72622
