year,age_gr,sex,ple0081_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2002,17-29 y.,male,Yes,0.43754,840,2016,0.41588,0.45920
2002,17-29 y.,male,No,0.56221,1176,2016,0.54054,0.58387
2002,17-29 y.,female,Yes,0.35085,739,2125,0.33056,0.37115
2002,17-29 y.,female,No,0.64915,1386,2125,0.62885,0.66944
2002,30-45 y.,male,Yes,0.44204,1546,3563,0.42573,0.45835
2002,30-45 y.,male,No,0.55749,2017,3563,0.54118,0.57380
2002,30-45 y.,female,Yes,0.35290,1308,3873,0.33785,0.36796
2002,30-45 y.,female,No,0.64615,2565,3873,0.63109,0.66121
2002,46-65 y.,male,Yes,0.35223,1295,3928,0.33729,0.36717
2002,46-65 y.,male,No,0.64758,2633,3928,0.63264,0.66253
2002,46-65 y.,female,Yes,0.25142,909,3923,0.23785,0.26500
2002,46-65 y.,female,No,0.74781,3014,3923,0.73422,0.76140
2002,66 and older,male,Yes,0.15015,249,1616,0.13273,0.16757
2002,66 and older,male,No,0.84922,1367,1616,0.83177,0.86667
2002,66 and older,female,Yes,0.07053,141,1973,0.05923,0.08183
2002,66 and older,female,No,0.92909,1832,1973,0.91777,0.94042
2004,17-29 y.,male,Yes,0.41550,781,1909,0.39338,0.43761
2004,17-29 y.,male,No,0.58245,1128,1909,0.56032,0.60458
2004,17-29 y.,female,Yes,0.36355,712,2045,0.34269,0.38440
2004,17-29 y.,female,No,0.63380,1333,2045,0.61291,0.65468
2004,30-45 y.,male,Yes,0.42959,1298,3117,0.41221,0.44697
2004,30-45 y.,male,No,0.56790,1819,3117,0.55051,0.58529
2004,30-45 y.,female,Yes,0.34675,1122,3393,0.33073,0.36277
2004,30-45 y.,female,No,0.64902,2271,3393,0.63295,0.66508
2004,46-65 y.,male,Yes,0.35543,1168,3619,0.33983,0.37103
2004,46-65 y.,male,No,0.64192,2451,3619,0.62630,0.65754
2004,46-65 y.,female,Yes,0.25060,879,3731,0.23669,0.26451
2004,46-65 y.,female,No,0.74628,2852,3731,0.73232,0.76025
2004,66 and older,male,Yes,0.14395,257,1713,0.12732,0.16058
2004,66 and older,male,No,0.85118,1456,1713,0.83432,0.86804
2004,66 and older,female,Yes,0.08015,159,2034,0.06834,0.09195
2004,66 and older,female,No,0.91395,1875,2034,0.90176,0.92614
2006,17-29 y.,male,Yes,0.40397,737,1758,0.38102,0.42691
2006,17-29 y.,male,No,0.52786,1021,1758,0.50452,0.55120
2006,17-29 y.,female,Yes,0.34936,681,1914,0.32799,0.37072
2006,17-29 y.,female,No,0.59603,1233,1914,0.57404,0.61802
2006,30-45 y.,male,Yes,0.41094,1180,2969,0.39324,0.42865
2006,30-45 y.,male,No,0.58560,1789,2969,0.56788,0.60332
2006,30-45 y.,female,Yes,0.35360,1069,3302,0.33729,0.36991
2006,30-45 y.,female,No,0.64373,2233,3302,0.62740,0.66007
2006,46-65 y.,male,Yes,0.34899,1154,3652,0.33353,0.36445
2006,46-65 y.,male,No,0.65024,2498,3652,0.63477,0.66571
2006,46-65 y.,female,Yes,0.27493,969,3922,0.26096,0.28891
2006,46-65 y.,female,No,0.72464,2953,3922,0.71066,0.73862
2006,66 and older,male,Yes,0.13873,295,2077,0.12387,0.15360
2006,66 and older,male,No,0.85948,1782,2077,0.84453,0.87443
2006,66 and older,female,Yes,0.08640,187,2348,0.07503,0.09776
2006,66 and older,female,No,0.91244,2161,2348,0.90100,0.92388
2008,17-29 y.,male,Yes,0.36690,550,1509,0.34258,0.39123
2008,17-29 y.,male,No,0.56153,959,1509,0.53649,0.58657
2008,17-29 y.,female,Yes,0.30472,525,1642,0.28245,0.32699
2008,17-29 y.,female,No,0.61756,1117,1642,0.59405,0.64108
2008,30-45 y.,male,Yes,0.39990,961,2463,0.38055,0.41925
2008,30-45 y.,male,No,0.60010,1502,2463,0.58075,0.61945
2008,30-45 y.,female,Yes,0.31169,793,2703,0.29422,0.32915
2008,30-45 y.,female,No,0.68695,1910,2703,0.66947,0.70444
2008,46-65 y.,male,Yes,0.34814,1014,3191,0.33161,0.36467
2008,46-65 y.,male,No,0.64929,2177,3191,0.63273,0.66585
2008,46-65 y.,female,Yes,0.27540,868,3494,0.26059,0.29022
2008,46-65 y.,female,No,0.72225,2626,3494,0.70740,0.73711
2008,66 and older,male,Yes,0.14173,288,2034,0.12657,0.15689
2008,66 and older,male,No,0.85651,1746,2034,0.84127,0.87175
2008,66 and older,female,Yes,0.09082,190,2255,0.07896,0.10268
2008,66 and older,female,No,0.90657,2065,2255,0.89456,0.91859
2010,17-29 y.,male,Yes,0.31214,447,1235,0.28628,0.33799
2010,17-29 y.,male,No,0.53632,788,1235,0.50850,0.56415
2010,17-29 y.,female,Yes,0.22999,368,1273,0.20686,0.25311
2010,17-29 y.,female,No,0.55992,905,1273,0.53264,0.58720
2010,30-45 y.,male,Yes,0.31187,738,1910,0.29109,0.33265
2010,30-45 y.,male,No,0.47813,1172,1910,0.45573,0.50054
2010,30-45 y.,female,Yes,0.22343,619,2191,0.20598,0.24088
2010,30-45 y.,female,No,0.50592,1572,2191,0.48498,0.52686
2010,46-65 y.,male,Yes,0.34005,909,2858,0.32267,0.35742
2010,46-65 y.,male,No,0.61711,1949,2858,0.59929,0.63494
2010,46-65 y.,female,Yes,0.27434,822,3145,0.25875,0.28994
2010,46-65 y.,female,No,0.68797,2323,3145,0.67178,0.70417
2010,66 and older,male,Yes,0.13234,255,1913,0.11715,0.14753
2010,66 and older,male,No,0.86703,1658,1913,0.85181,0.88225
2010,66 and older,female,Yes,0.08988,179,2096,0.07763,0.10213
2010,66 and older,female,No,0.90813,1917,2096,0.89577,0.92050
2012,17-29 y.,male,Yes,0.30624,491,1419,0.28225,0.33023
2012,17-29 y.,male,No,0.55443,928,1419,0.52856,0.58030
2012,17-29 y.,female,Yes,0.21446,398,1458,0.19339,0.23554
2012,17-29 y.,female,No,0.60066,1060,1458,0.57551,0.62580
2012,30-45 y.,male,Yes,0.31358,793,2068,0.29358,0.33358
2012,30-45 y.,male,No,0.51067,1275,2068,0.48912,0.53222
2012,30-45 y.,female,Yes,0.21942,708,2509,0.20322,0.23562
2012,30-45 y.,female,No,0.54265,1801,2509,0.52315,0.56215
2012,46-65 y.,male,Yes,0.32492,1181,3630,0.30968,0.34016
2012,46-65 y.,male,No,0.62250,2449,3630,0.60673,0.63827
2012,46-65 y.,female,Yes,0.27578,1139,4178,0.26222,0.28933
2012,46-65 y.,female,No,0.67551,3039,4178,0.66131,0.68970
2012,66 and older,male,Yes,0.13728,317,2501,0.12379,0.15077
2012,66 and older,male,No,0.85535,2184,2501,0.84156,0.86914
2012,66 and older,female,Yes,0.09545,237,2659,0.08427,0.10662
2012,66 and older,female,No,0.89815,2422,2659,0.88665,0.90964
2014,17-29 y.,male,Yes,0.32892,754,2047,0.30856,0.34928
2014,17-29 y.,male,No,0.59818,1293,2047,0.57693,0.61942
2014,17-29 y.,female,Yes,0.22570,628,2238,0.20838,0.24303
2014,17-29 y.,female,No,0.70387,1610,2238,0.68495,0.72278
2014,30-45 y.,male,Yes,0.37244,1346,3597,0.35663,0.38824
2014,30-45 y.,male,No,0.62720,2251,3597,0.61140,0.64301
2014,30-45 y.,female,Yes,0.27695,1351,4915,0.26444,0.28946
2014,30-45 y.,female,No,0.72252,3564,4915,0.71000,0.73504
2014,46-65 y.,male,Yes,0.35002,1423,4349,0.33584,0.36420
2014,46-65 y.,male,No,0.64858,2926,4349,0.63439,0.66277
2014,46-65 y.,female,Yes,0.29504,1340,4941,0.28232,0.30776
2014,46-65 y.,female,No,0.70008,3601,4941,0.68730,0.71286
2014,66 and older,male,Yes,0.12837,325,2424,0.11505,0.14169
2014,66 and older,male,No,0.87116,2099,2424,0.85782,0.88450
2014,66 and older,female,Yes,0.10166,240,2520,0.08986,0.11346
2014,66 and older,female,No,0.89440,2280,2520,0.88240,0.90640
2016,17-29 y.,male,Yes,0.26870,572,1804,0.24824,0.28916
2016,17-29 y.,male,No,0.63520,1232,1804,0.61298,0.65742
