"ple0081_h","year","bildungsniveau","bula_h","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","2002","(noch) kein Abschluss","Schleswig-Holstein","6","","",""
"Ja","2002","(noch) kein Abschluss","Hamburg","3","","",""
"Ja","2002","(noch) kein Abschluss","Niedersachsen","15","","",""
"Ja","2002","(noch) kein Abschluss","Bremen","2","","",""
"Ja","2002","(noch) kein Abschluss","Nordrhein-Westfalen","76","0.334154050826031","0.275089719047302","0.393218382604759"
"Ja","2002","(noch) kein Abschluss","Hessen","21","","",""
"Ja","2002","(noch) kein Abschluss","Rheinland-Pfalz,Saarland","11","","",""
"Ja","2002","(noch) kein Abschluss","Baden-Württemberg","40","0.33653093417332","0.258812014742805","0.414249853603836"
"Ja","2002","(noch) kein Abschluss","Bayern","22","","",""
"Ja","2002","(noch) kein Abschluss","Saarland","","","",""
"Ja","2002","(noch) kein Abschluss","Berlin","14","","",""
"Ja","2002","(noch) kein Abschluss","Brandenburg","4","","",""
"Ja","2002","(noch) kein Abschluss","Mecklenburg-Vorpommern","3","","",""
"Ja","2002","(noch) kein Abschluss","Sachsen","11","","",""
"Ja","2002","(noch) kein Abschluss","Sachsen-Anhalt","8","","",""
"Ja","2002","(noch) kein Abschluss","Thüringen","6","","",""
"Ja","2002","Hauptschule","Schleswig-Holstein","116","0.383071897401449","0.32815294218712","0.437990852615778"
"Ja","2002","Hauptschule","Hamburg","34","0.369092907239113","0.272562746536919","0.465623067941306"
"Ja","2002","Hauptschule","Niedersachsen","272","0.31065726907909","0.278808252702231","0.342506285455949"
"Ja","2002","Hauptschule","Bremen","19","","",""
"Ja","2002","Hauptschule","Nordrhein-Westfalen","688","0.326851986904108","0.306371446371282","0.347332527436933"
"Ja","2002","Hauptschule","Hessen","190","0.310684673337691","0.273747954204826","0.347621392470556"
"Ja","2002","Hauptschule","Rheinland-Pfalz,Saarland","233","0.317888897874049","0.283757010056655","0.352020785691444"
"Ja","2002","Hauptschule","Baden-Württemberg","377","0.282025646251684","0.256723420907616","0.307327871595752"
"Ja","2002","Hauptschule","Bayern","485","0.316611402561308","0.292937238364501","0.340285566758115"
"Ja","2002","Hauptschule","Saarland","","","",""
"Ja","2002","Hauptschule","Berlin","71","0.413761723942066","0.340158623445065","0.487364824439066"
"Ja","2002","Hauptschule","Brandenburg","57","0.207122247147902","0.157480781074803","0.256763713221001"
"Ja","2002","Hauptschule","Mecklenburg-Vorpommern","39","0.304689975486643","0.223015471810165","0.386364479163121"
"Ja","2002","Hauptschule","Sachsen","94","0.199423063006845","0.162215137541107","0.236630988472583"
"Ja","2002","Hauptschule","Sachsen-Anhalt","92","0.269282241096149","0.220061348892818","0.318503133299479"
"Ja","2002","Hauptschule","Thüringen","76","0.215472531038781","0.169405798270865","0.261539263806698"
"Ja","2002","Realschule","Schleswig-Holstein","63","0.340733519935918","0.272064559385526","0.409402480486311"
"Ja","2002","Realschule","Hamburg","28","","",""
"Ja","2002","Realschule","Niedersachsen","211","0.369914847012723","0.329749446317736","0.410080247707709"
"Ja","2002","Realschule","Bremen","19","","",""
"Ja","2002","Realschule","Nordrhein-Westfalen","352","0.351888439816283","0.321881683272997","0.38189519635957"
"Ja","2002","Realschule","Hessen","143","0.334681772735105","0.28814671207309","0.38121683339712"
"Ja","2002","Realschule","Rheinland-Pfalz,Saarland","92","0.337868420144208","0.28113507234928","0.394601767939137"
"Ja","2002","Realschule","Baden-Württemberg","185","0.294986729237683","0.25831302706299","0.331660431412377"
"Ja","2002","Realschule","Bayern","225","0.296260411798605","0.263406359757499","0.32911446383971"
"Ja","2002","Realschule","Saarland","","","",""
"Ja","2002","Realschule","Berlin","92","0.409067020566595","0.346734385254864","0.471399655878327"
"Ja","2002","Realschule","Brandenburg","136","0.409364838485076","0.357478447860919","0.461251229109232"
"Ja","2002","Realschule","Mecklenburg-Vorpommern","75","0.37151518737598","0.306315945903672","0.436714428848288"
"Ja","2002","Realschule","Sachsen","219","0.345752956063736","0.309104997633854","0.382400914493619"
"Ja","2002","Realschule","Sachsen-Anhalt","130","0.399524792745816","0.346109423160558","0.452940162331073"
"Ja","2002","Realschule","Thüringen","153","0.390906266072835","0.341845460545436","0.439967071600234"
"Ja","2002","(Fach-)Abitur","Schleswig-Holstein","13","","",""
"Ja","2002","(Fach-)Abitur","Hamburg","17","","",""
"Ja","2002","(Fach-)Abitur","Niedersachsen","58","0.282874264261513","0.220139269102896","0.345609259420131"
"Ja","2002","(Fach-)Abitur","Bremen","11","","",""
"Ja","2002","(Fach-)Abitur","Nordrhein-Westfalen","224","0.315942075093713","0.281527750195241","0.350356399992186"
"Ja","2002","(Fach-)Abitur","Hessen","60","0.322191834593706","0.259871198345238","0.384512470842175"
"Ja","2002","(Fach-)Abitur","Rheinland-Pfalz,Saarland","48","0.404101240941952","0.321930133520951","0.486272348362952"
"Ja","2002","(Fach-)Abitur","Baden-Württemberg","94","0.265686799328696","0.217442521318944","0.313931077338449"
"Ja","2002","(Fach-)Abitur","Bayern","77","0.23528050584348","0.187754487527142","0.282806524159818"
"Ja","2002","(Fach-)Abitur","Saarland","","","",""
"Ja","2002","(Fach-)Abitur","Berlin","40","0.37894997171551","0.287877090878071","0.470022852552949"
"Ja","2002","(Fach-)Abitur","Brandenburg","28","","",""
"Ja","2002","(Fach-)Abitur","Mecklenburg-Vorpommern","5","","",""
"Ja","2002","(Fach-)Abitur","Sachsen","29","","",""
"Ja","2002","(Fach-)Abitur","Sachsen-Anhalt","29","","",""
"Ja","2002","(Fach-)Abitur","Thüringen","21","","",""
"Ja","2002","AkademikerIn","Schleswig-Holstein","21","","",""
"Ja","2002","AkademikerIn","Hamburg","16","","",""
"Ja","2002","AkademikerIn","Niedersachsen","72","0.257633684405595","0.20902897537352","0.30623839343767"
"Ja","2002","AkademikerIn","Bremen","11","","",""
"Ja","2002","AkademikerIn","Nordrhein-Westfalen","215","0.258322153628016","0.229549117541115","0.287095189714917"
"Ja","2002","AkademikerIn","Hessen","91","0.26072515674087","0.214861234566331","0.306589078915409"
"Ja","2002","AkademikerIn","Rheinland-Pfalz,Saarland","41","0.185740733387404","0.129700858157365","0.241780608617444"
"Ja","2002","AkademikerIn","Baden-Württemberg","98","0.222144215255008","0.185708262019451","0.258580168490565"
"Ja","2002","AkademikerIn","Bayern","101","0.162446531638041","0.133482063375139","0.191410999900944"
"Ja","2002","AkademikerIn","Saarland","","","",""
"Ja","2002","AkademikerIn","Berlin","88","0.321968796285022","0.264956311346525","0.378981281223518"
"Ja","2002","AkademikerIn","Brandenburg","38","0.186979691572228","0.138936068952603","0.235023314191854"
"Ja","2002","AkademikerIn","Mecklenburg-Vorpommern","28","","",""
"Ja","2002","AkademikerIn","Sachsen","72","0.168697435923802","0.131860233676057","0.205534638171548"
"Ja","2002","AkademikerIn","Sachsen-Anhalt","49","0.241368546750461","0.186066661946449","0.296670431554473"
"Ja","2002","AkademikerIn","Thüringen","36","0.193876838516722","0.135962614741509","0.251791062291935"
"Nein","2002","(noch) kein Abschluss","Schleswig-Holstein","24","","",""
"Nein","2002","(noch) kein Abschluss","Hamburg","8","","",""
