year,age_gr,bula_h,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,0-16 y.,Schleswig-Holstein,,,,,,,,,,,,
1984,0-16 y.,Hamburg,,,,,,,,,,,,
1984,0-16 y.,Lower Saxony,,,,,,,,,,,,
1984,0-16 y.,Bremen,,,,,,,,,,,,
1984,0-16 y.,North Rhine-Westphalia,,,,,,,,,,,,
1984,0-16 y.,Hesse,,,,,,,,,,,,
1984,0-16 y.,"Rhineland-Palatinate, Saarland",,,,,,,,,,,,
1984,0-16 y.,Baden-Wuerttemberg,,,,,,,,,,,,
1984,0-16 y.,Bavaria,,,,,,,,,,,,
1984,0-16 y.,Berlin,,,,,,,,,,,,
1984,17-29 y.,Schleswig-Holstein,93,6.04397,5.46317,6.62476,4.00000,7.00000,8.00000,0.00000,10.00000,7.00000,6.00000,7.00000
1984,17-29 y.,Hamburg,65,5.07824,4.40417,5.75232,2.94155,5.00000,7.00000,0.00000,10.00000,5.00000,5.00000,6.00000
1984,17-29 y.,Lower Saxony,308,6.18509,5.87259,6.49759,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,6.00000,7.00000
1984,17-29 y.,Bremen,,,,,,,,,,,,
1984,17-29 y.,North Rhine-Westphalia,927,5.85807,5.68719,6.02895,5.00000,6.00000,8.00000,0.50000,10.00000,6.00000,6.00000,6.00000
1984,17-29 y.,Hesse,360,6.01792,5.72780,6.30804,4.00000,6.00000,8.00000,0.00000,10.00000,6.00000,6.00000,7.00000
1984,17-29 y.,"Rhineland-Palatinate, Saarland",241,6.19025,5.83287,6.54762,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,6.00000,7.00000
1984,17-29 y.,Baden-Wuerttemberg,630,6.06992,5.86707,6.27277,5.00000,6.00000,8.00000,0.50000,10.00000,6.00000,6.00000,7.00000
1984,17-29 y.,Bavaria,533,6.20311,5.97486,6.43135,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,6.00000,7.00000
1984,17-29 y.,Berlin,92,6.51471,6.01055,7.01886,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,6.00000,7.00000
1984,30-45 y.,Schleswig-Holstein,143,6.27851,5.83455,6.72247,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,6.00000,7.00000
1984,30-45 y.,Hamburg,122,5.55247,5.07128,6.03367,4.00000,5.00000,8.00000,0.00000,10.00000,5.00000,5.00000,7.00000
1984,30-45 y.,Lower Saxony,390,6.51919,6.25191,6.78648,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
1984,30-45 y.,Bremen,31,5.83242,4.69647,6.96836,3.69990,5.00000,8.00000,0.00000,10.00000,5.00000,4.00000,8.00000
1984,30-45 y.,North Rhine-Westphalia,1092,6.55631,6.41016,6.70245,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
1984,30-45 y.,Hesse,368,6.66946,6.40652,6.93239,5.00000,7.00000,9.00000,0.00000,10.00000,7.00000,7.00000,7.00000
1984,30-45 y.,"Rhineland-Palatinate, Saarland",208,6.44607,6.11195,6.78018,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,6.00000,7.00000
1984,30-45 y.,Baden-Wuerttemberg,739,6.71719,6.54132,6.89306,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
1984,30-45 y.,Bavaria,668,6.55177,6.37277,6.73077,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
1984,30-45 y.,Berlin,136,6.09054,5.64192,6.53916,5.00000,6.00000,8.00000,0.50000,10.00000,6.00000,5.00000,7.00000
