year,quintil_oecd_hh,hgroom,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,1st Quintile,1 room,0.10619,102,1180,0.08860,0.12378
1984,1st Quintile,2 rooms,0.29542,291,1180,0.26937,0.32146
1984,1st Quintile,3 rooms,0.32355,449,1180,0.29684,0.35025
1984,1st Quintile,4 rooms,0.13787,194,1180,0.11819,0.15755
1984,1st Quintile,5 rooms,0.07312,99,1180,0.05826,0.08798
1984,1st Quintile,6 rooms,0.03919,45,1180,0.02811,0.05027
1984,2nd Quintile,1 room,0.04275,50,1148,0.03105,0.05446
1984,2nd Quintile,2 rooms,0.20969,239,1148,0.18613,0.23325
1984,2nd Quintile,3 rooms,0.38083,453,1148,0.35273,0.40893
1984,2nd Quintile,4 rooms,0.18961,249,1148,0.16693,0.21230
1984,2nd Quintile,5 rooms,0.07800,99,1148,0.06248,0.09352
1984,2nd Quintile,6 rooms,0.05403,58,1148,0.04094,0.06711
1984,3rd Quintile,1 room,0.04957,58,1128,0.03690,0.06224
1984,3rd Quintile,2 rooms,0.21039,227,1128,0.18659,0.23419
1984,3rd Quintile,3 rooms,0.34422,434,1128,0.31648,0.37196
1984,3rd Quintile,4 rooms,0.19449,235,1128,0.17139,0.21760
1984,3rd Quintile,5 rooms,0.10527,117,1128,0.08735,0.12319
1984,3rd Quintile,6 rooms,0.05300,57,1128,0.03992,0.06608
1984,4th Quintile,1 room,0.05157,60,1125,0.03864,0.06450
1984,4th Quintile,2 rooms,0.17345,199,1125,0.15131,0.19558
1984,4th Quintile,3 rooms,0.31252,394,1125,0.28542,0.33962
1984,4th Quintile,4 rooms,0.21916,257,1125,0.19498,0.24335
1984,4th Quintile,5 rooms,0.12400,147,1125,0.10473,0.14327
1984,4th Quintile,6 rooms,0.06441,68,1125,0.05006,0.07876
1984,5th Quintile,2 rooms,0.16678,186,1019,0.14388,0.18968
1984,5th Quintile,3 rooms,0.30317,335,1019,0.27493,0.33140
1984,5th Quintile,4 rooms,0.23866,249,1019,0.21248,0.26485
1984,5th Quintile,5 rooms,0.12623,136,1019,0.10582,0.14663
1984,5th Quintile,6 rooms,0.07763,81,1019,0.06119,0.09406
1984,5th Quintile,7 rooms,0.03200,32,1019,0.02119,0.04281
1985,1st Quintile,1 room,0.11005,88,1048,0.09110,0.12901
1985,1st Quintile,2 rooms,0.28148,245,1048,0.25424,0.30872
1985,1st Quintile,3 rooms,0.34080,408,1048,0.31209,0.36951
1985,1st Quintile,4 rooms,0.14531,189,1048,0.12396,0.16665
1985,1st Quintile,5 rooms,0.06201,80,1048,0.04740,0.07662
1985,1st Quintile,6 rooms,0.03323,38,1048,0.02237,0.04409
1985,2nd Quintile,1 room,0.04163,35,1027,0.02941,0.05385
1985,2nd Quintile,2 rooms,0.23273,215,1027,0.20687,0.25859
1985,2nd Quintile,3 rooms,0.36786,419,1027,0.33835,0.39737
1985,2nd Quintile,4 rooms,0.19065,226,1027,0.16662,0.21469
1985,2nd Quintile,5 rooms,0.06938,82,1027,0.05383,0.08493
1985,2nd Quintile,6 rooms,0.05089,50,1027,0.03744,0.06434
1985,3rd Quintile,1 room,0.04963,55,1035,0.03639,0.06286
1985,3rd Quintile,2 rooms,0.19585,192,1035,0.17166,0.22004
1985,3rd Quintile,3 rooms,0.34267,383,1035,0.31374,0.37160
1985,3rd Quintile,4 rooms,0.18585,219,1035,0.16214,0.20956
1985,3rd Quintile,5 rooms,0.10823,116,1035,0.08930,0.12717
1985,3rd Quintile,6 rooms,0.06832,70,1035,0.05294,0.08370
1985,4th Quintile,1 room,0.05387,54,994,0.03983,0.06791
