"year","hhtyp","mean","median","n","lower_confidence","upper_confidence"
"1984","(Ehe-)Paar ohne Kind(er)","3.43","2.5","2702","3.33","3.53"
"1984","1-Pers.- Haushalt","2.49","1.5","1288","2.41","2.57"
"1984","Alleinerziehende","4.04","2.5","828","3.76","4.32"
"1984","Paar mit Kind(ern)","4.56","3.5","10356","4.5","4.62"
"1984","Sonstige","4.75","4.5","1002","4.64","4.86"
"1985","(Ehe-)Paar ohne Kind(er)","3.47","2.5","2450","3.36","3.58"
"1985","1-Pers.- Haushalt","2.54","1.5","1140","2.43","2.65"
"1985","Alleinerziehende","4.15","2.5","748","3.84","4.46"
"1985","Paar mit Kind(ern)","4.6","3.5","9339","4.53","4.67"
"1985","Sonstige","4.73","4.5","921","4.61","4.85"
"1986","(Ehe-)Paar ohne Kind(er)","3.52","2.5","2410","3.42","3.62"
"1986","1-Pers.- Haushalt","2.51","1.5","1079","2.42","2.6"
"1986","Alleinerziehende","4.42","3.5","712","4.09","4.75"
"1986","Paar mit Kind(ern)","4.55","3.5","8799","4.48","4.62"
"1986","Sonstige","4.63","4.5","894","4.52","4.74"
"1987","(Ehe-)Paar ohne Kind(er)","3.57","2.5","2384","3.47","3.67"
"1987","1-Pers.- Haushalt","2.49","1.5","1078","2.42","2.56"
"1987","Alleinerziehende","4.51","3.5","705","4.18","4.84"
"1987","Paar mit Kind(ern)","4.54","3.5","8532","4.47","4.61"
"1987","Sonstige","4.51","3.5","943","4.4","4.62"
"1988","(Ehe-)Paar ohne Kind(er)","3.49","2.5","2336","3.41","3.57"
"1988","1-Pers.- Haushalt","2.63","1.5","1037","2.46","2.8"
"1988","Alleinerziehende","4.04","3.5","704","3.92","4.16"
"1988","Paar mit Kind(ern)","4.53","3.5","8110","4.47","4.59"
"1988","Sonstige","4.6","3.5","826","4.48","4.72"
"1989","(Ehe-)Paar ohne Kind(er)","3.5","2.5","2316","3.42","3.58"
"1989","1-Pers.- Haushalt","2.68","1.5","1040","2.51","2.85"
"1989","Alleinerziehende","4.12","3.5","660","4","4.24"
"1989","Paar mit Kind(ern)","4.55","3.5","7743","4.49","4.61"
"1989","Sonstige","4.6","3.5","835","4.48","4.72"
"1990","(Ehe-)Paar ohne Kind(er)","3.41","2.5","3328","3.35","3.47"
"1990","1-Pers.- Haushalt","2.52","1.5","1325","2.46","2.58"
"1990","Alleinerziehende","4.57","3.5","949","4.27","4.87"
"1990","Paar mit Kind(ern)","4.31","3.5","11625","4.27","4.35"
"1990","Sonstige","4.6","3.5","1307","4.5","4.7"
"1991","(Ehe-)Paar ohne Kind(er)","3.45","2.5","3308","3.39","3.51"
"1991","1-Pers.- Haushalt","2.53","1.5","1293","2.47","2.59"
"1991","Alleinerziehende","3.97","3.5","933","3.68","4.26"
"1991","Paar mit Kind(ern)","4.31","3.5","11346","4.28","4.34"
"1991","Sonstige","4.48","3.5","1264","4.38","4.58"
"1992","(Ehe-)Paar ohne Kind(er)","3.45","2.5","3390","3.39","3.51"
"1992","1-Pers.- Haushalt","2.56","1.5","1302","2.5","2.62"
"1992","Alleinerziehende","4.49","2.5","957","4.16","4.82"
"1992","Paar mit Kind(ern)","4.32","3.5","10961","4.29","4.35"
"1992","Sonstige","4.52","3.5","1232","4.42","4.62"
"1993","(Ehe-)Paar ohne Kind(er)","3.51","2.5","3448","3.45","3.57"
"1993","1-Pers.- Haushalt","2.61","1.5","1362","2.55","2.67"
"1993","Alleinerziehende","4.49","2.5","918","4.14","4.84"
"1993","Paar mit Kind(ern)","4.33","3.5","10565","4.3","4.36"
"1993","Sonstige","4.31","3.5","1235","4.22","4.4"
"1994","(Ehe-)Paar ohne Kind(er)","3.52","2.5","3538","3.46","3.58"
"1994","1-Pers.- Haushalt","2.63","1.5","1362","2.57","2.69"
"1994","Alleinerziehende","4.49","2.5","882","4.13","4.85"
"1994","Paar mit Kind(ern)","4.4","3.5","10166","4.36","4.44"
"1994","Sonstige","4.38","3.5","1190","4.28","4.48"
"1995","(Ehe-)Paar ohne Kind(er)","3.53","2.5","3654","3.49","3.57"
"1995","1-Pers.- Haushalt","2.6","1.5","1404","2.54","2.66"
"1995","Alleinerziehende","4.44","2.5","942","4.1","4.78"
"1995","Paar mit Kind(ern)","4.39","3.5","10523","4.35","4.43"
"1995","Sonstige","4.53","3.5","1189","4.43","4.63"
"1996","(Ehe-)Paar ohne Kind(er)","3.56","2.5","3682","3.52","3.6"
"1996","1-Pers.- Haushalt","2.62","1.5","1433","2.56","2.68"
"1996","Alleinerziehende","4.48","2.5","959","4.15","4.81"
"1996","Paar mit Kind(ern)","4.43","3.5","10157","4.39","4.47"
"1996","Sonstige","4.62","3.5","1108","4.52","4.72"
"1997","(Ehe-)Paar ohne Kind(er)","3.58","2.5","3758","3.54","3.62"
"1997","1-Pers.- Haushalt","2.62","1.5","1402","2.56","2.68"
"1997","Alleinerziehende","3.75","2.5","967","3.51","3.99"
"1997","Paar mit Kind(ern)","4.45","3.5","9806","4.41","4.49"
"1997","Sonstige","4.47","3.5","1074","4.37","4.57"
"1998","(Ehe-)Paar ohne Kind(er)","3.66","2.5","4358","3.62","3.7"
"1998","1-Pers.- Haushalt","2.61","1.5","1706","2.55","2.67"
"1998","Alleinerziehende","3.66","2.5","1105","3.58","3.74"
"1998","Paar mit Kind(ern)","4.59","3.5","10582","4.56","4.62"
"1998","Sonstige","4.76","4.5","1005","4.62","4.9"
"1999","(Ehe-)Paar ohne Kind(er)","3.67","2.5","4312","3.63","3.71"
"1999","1-Pers.- Haushalt","2.61","1.5","1638","2.55","2.67"
