year,quintil_oecd_hh,regtyp,hgroom,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,1st Quintile,No answer / don't know,1 room,0.10619,102,1180,0.08860,0.12378
1984,1st Quintile,No answer / don't know,2 rooms,0.29542,291,1180,0.26937,0.32146
1984,1st Quintile,No answer / don't know,3 rooms,0.32355,449,1180,0.29684,0.35025
1984,1st Quintile,No answer / don't know,4 rooms,0.13787,194,1180,0.11819,0.15755
1984,1st Quintile,No answer / don't know,5 rooms,0.07312,99,1180,0.05826,0.08798
1984,1st Quintile,No answer / don't know,6 rooms,0.03919,45,1180,0.02811,0.05027
1984,2nd Quintile,No answer / don't know,1 room,0.04275,50,1148,0.03105,0.05446
1984,2nd Quintile,No answer / don't know,2 rooms,0.20969,239,1148,0.18613,0.23325
1984,2nd Quintile,No answer / don't know,3 rooms,0.38083,453,1148,0.35273,0.40893
1984,2nd Quintile,No answer / don't know,4 rooms,0.18961,249,1148,0.16693,0.21230
1984,2nd Quintile,No answer / don't know,5 rooms,0.07800,99,1148,0.06248,0.09352
1984,2nd Quintile,No answer / don't know,6 rooms,0.05403,58,1148,0.04094,0.06711
1984,3rd Quintile,No answer / don't know,1 room,0.04957,58,1128,0.03690,0.06224
1984,3rd Quintile,No answer / don't know,2 rooms,0.21039,227,1128,0.18659,0.23419
1984,3rd Quintile,No answer / don't know,3 rooms,0.34422,434,1128,0.31648,0.37196
1984,3rd Quintile,No answer / don't know,4 rooms,0.19449,235,1128,0.17139,0.21760
1984,3rd Quintile,No answer / don't know,5 rooms,0.10527,117,1128,0.08735,0.12319
1984,3rd Quintile,No answer / don't know,6 rooms,0.05300,57,1128,0.03992,0.06608
1984,4th Quintile,No answer / don't know,1 room,0.05157,60,1125,0.03864,0.06450
1984,4th Quintile,No answer / don't know,2 rooms,0.17345,199,1125,0.15131,0.19558
1984,4th Quintile,No answer / don't know,3 rooms,0.31252,394,1125,0.28542,0.33962
1984,4th Quintile,No answer / don't know,4 rooms,0.21916,257,1125,0.19498,0.24335
1984,4th Quintile,No answer / don't know,5 rooms,0.12400,147,1125,0.10473,0.14327
1984,4th Quintile,No answer / don't know,6 rooms,0.06441,68,1125,0.05006,0.07876
1984,5th Quintile,No answer / don't know,2 rooms,0.16678,186,1019,0.14388,0.18968
1984,5th Quintile,No answer / don't know,3 rooms,0.30317,335,1019,0.27493,0.33140
1984,5th Quintile,No answer / don't know,4 rooms,0.23866,249,1019,0.21248,0.26485
1984,5th Quintile,No answer / don't know,5 rooms,0.12623,136,1019,0.10582,0.14663
1984,5th Quintile,No answer / don't know,6 rooms,0.07763,81,1019,0.06119,0.09406
1984,5th Quintile,No answer / don't know,7 rooms,0.03200,32,1019,0.02119,0.04281
1985,1st Quintile,Urban regions,1 room,0.14096,83,802,0.11686,0.16506
1985,1st Quintile,Urban regions,2 rooms,0.31436,211,802,0.28221,0.34651
1985,1st Quintile,Urban regions,3 rooms,0.31976,317,802,0.28746,0.35205
1985,1st Quintile,Urban regions,4 rooms,0.12515,135,802,0.10223,0.14806
1985,1st Quintile,Urban regions,5 rooms,0.05529,56,802,0.03946,0.07111
1985,1st Quintile,Rural regions,2 rooms,0.19377,34,179,0.13570,0.25183
1985,1st Quintile,Rural regions,3 rooms,0.39693,91,179,0.32506,0.46881
1985,1st Quintile,Rural regions,4 rooms,0.19908,54,179,0.14042,0.25774
1985,2nd Quintile,Urban regions,1 room,0.04806,31,781,0.03305,0.06307
1985,2nd Quintile,Urban regions,2 rooms,0.26698,191,781,0.23594,0.29803
1985,2nd Quintile,Urban regions,3 rooms,0.38273,345,781,0.34862,0.41684
1985,2nd Quintile,Urban regions,4 rooms,0.16979,162,781,0.14344,0.19614
1985,2nd Quintile,Urban regions,5 rooms,0.05485,52,781,0.03887,0.07083
1985,2nd Quintile,Rural regions,3 rooms,0.32101,74,138,0.24283,0.39919
1985,2nd Quintile,Rural regions,4 rooms,0.25637,64,138,0.18325,0.32948
1985,3rd Quintile,Urban regions,1 room,0.05847,50,826,0.04245,0.07448
1985,3rd Quintile,Urban regions,2 rooms,0.22428,169,826,0.19582,0.25275
1985,3rd Quintile,Urban regions,3 rooms,0.35584,320,826,0.32317,0.38851
1985,3rd Quintile,Urban regions,4 rooms,0.17689,166,826,0.15085,0.20293
1985,3rd Quintile,Urban regions,5 rooms,0.10508,87,826,0.08415,0.12600
1985,3rd Quintile,Urban regions,6 rooms,0.04054,34,826,0.02708,0.05400
1985,3rd Quintile,Rural regions,3 rooms,0.30160,63,152,0.22840,0.37481
1985,3rd Quintile,Rural regions,4 rooms,0.21380,53,152,0.14841,0.27920
1985,3rd Quintile,Rural regions,6 rooms,0.15497,36,152,0.09725,0.21269
1985,4th Quintile,Urban regions,1 room,0.05993,50,825,0.04373,0.07614
1985,4th Quintile,Urban regions,2 rooms,0.20703,157,825,0.17937,0.23470
1985,4th Quintile,Urban regions,3 rooms,0.32027,286,825,0.28841,0.35213
1985,4th Quintile,Urban regions,4 rooms,0.19018,176,825,0.16338,0.21697
1985,4th Quintile,Urban regions,5 rooms,0.11364,105,825,0.09197,0.13531
1985,4th Quintile,Urban regions,6 rooms,0.05909,51,825,0.04299,0.07519
1985,4th Quintile,Rural regions,3 rooms,0.25814,45,133,0.18348,0.33279
1985,4th Quintile,Rural regions,4 rooms,0.28157,48,133,0.20485,0.35830
1985,4th Quintile,Rural regions,5 rooms,0.20486,40,133,0.13601,0.27371
1985,5th Quintile,Urban regions,2 rooms,0.17726,138,725,0.14945,0.20508
1985,5th Quintile,Urban regions,3 rooms,0.30798,244,725,0.27436,0.34161
1985,5th Quintile,Urban regions,4 rooms,0.23788,190,725,0.20686,0.26889
1985,5th Quintile,Urban regions,5 rooms,0.12141,100,725,0.09762,0.14520
1985,5th Quintile,Urban regions,6 rooms,0.06473,53,725,0.04680,0.08265
1985,5th Quintile,Rural regions,3 rooms,0.22941,48,133,0.15768,0.30114
1985,5th Quintile,Rural regions,4 rooms,0.28126,47,133,0.20456,0.35797
1985,5th Quintile,Rural regions,5 rooms,0.20590,38,133,0.13692,0.27488
1986,1st Quintile,Urban regions,1 room,0.13405,77,748,0.10962,0.15848
1986,1st Quintile,Urban regions,2 rooms,0.31889,203,748,0.28547,0.35232
1986,1st Quintile,Urban regions,3 rooms,0.32206,298,748,0.28855,0.35557
1986,1st Quintile,Urban regions,4 rooms,0.11536,121,748,0.09245,0.13827
1986,1st Quintile,Urban regions,5 rooms,0.05442,49,748,0.03815,0.07068
1986,1st Quintile,Rural regions,2 rooms,0.22038,38,155,0.15492,0.28585
1986,1st Quintile,Rural regions,3 rooms,0.36432,72,155,0.28831,0.44033
1986,1st Quintile,Rural regions,4 rooms,0.20511,45,155,0.14133,0.26888
1986,2nd Quintile,Urban regions,1 room,0.05564,33,772,0.03946,0.07182
1986,2nd Quintile,Urban regions,2 rooms,0.21683,152,772,0.18774,0.24592
1986,2nd Quintile,Urban regions,3 rooms,0.37566,316,772,0.34148,0.40985
1986,2nd Quintile,Urban regions,4 rooms,0.17809,161,772,0.15109,0.20510
1986,2nd Quintile,Urban regions,5 rooms,0.08488,71,772,0.06520,0.10455
1986,2nd Quintile,Urban regions,6 rooms,0.05225,39,772,0.03654,0.06796
1986,2nd Quintile,Rural regions,3 rooms,0.29675,64,134,0.21911,0.37439
1986,2nd Quintile,Rural regions,4 rooms,0.27833,70,134,0.20216,0.35450
1986,3rd Quintile,Urban regions,1 room,0.06587,48,796,0.04863,0.08312
1986,3rd Quintile,Urban regions,2 rooms,0.25442,178,796,0.22414,0.28469
1986,3rd Quintile,Urban regions,3 rooms,0.33268,295,796,0.29993,0.36543
1986,3rd Quintile,Urban regions,4 rooms,0.18270,163,796,0.15584,0.20956
1986,3rd Quintile,Urban regions,5 rooms,0.08687,80,796,0.06729,0.10645
1986,3rd Quintile,Urban regions,6 rooms,0.03687,32,796,0.02377,0.04997
1986,3rd Quintile,Rural regions,3 rooms,0.33205,63,142,0.25432,0.40979
1986,3rd Quintile,Rural regions,4 rooms,0.23394,46,142,0.16407,0.30382
1986,3rd Quintile,Rural regions,5 rooms,0.14323,33,142,0.08540,0.20105
1986,4th Quintile,Urban regions,1 room,0.06379,48,797,0.04681,0.08077
1986,4th Quintile,Urban regions,2 rooms,0.24663,171,797,0.21669,0.27658
1986,4th Quintile,Urban regions,3 rooms,0.33361,290,797,0.30085,0.36636
1986,4th Quintile,Urban regions,4 rooms,0.17342,161,797,0.14711,0.19972
1986,4th Quintile,Urban regions,5 rooms,0.09590,85,797,0.07545,0.11636
1986,4th Quintile,Urban regions,6 rooms,0.05012,42,797,0.03496,0.06528
1986,4th Quintile,Rural regions,3 rooms,0.24830,50,131,0.17404,0.32257
1986,4th Quintile,Rural regions,4 rooms,0.21768,44,131,0.14674,0.28862
1986,4th Quintile,Rural regions,5 rooms,0.17249,37,131,0.10755,0.23744
1986,5th Quintile,Urban regions,2 rooms,0.13007,98,703,0.10519,0.15496
1986,5th Quintile,Urban regions,3 rooms,0.32875,254,703,0.29400,0.36350
1986,5th Quintile,Urban regions,4 rooms,0.23694,184,703,0.20548,0.26839
1986,5th Quintile,Urban regions,5 rooms,0.12163,103,703,0.09745,0.14581
1986,5th Quintile,Urban regions,6 rooms,0.08047,64,703,0.06035,0.10059
1986,5th Quintile,Rural regions,3 rooms,0.23531,44,120,0.15909,0.31152
1986,5th Quintile,Rural regions,4 rooms,0.26344,42,120,0.18429,0.34258
1986,5th Quintile,Rural regions,5 rooms,0.18598,34,120,0.11608,0.25589
1987,1st Quintile,Urban regions,1 room,0.15665,82,699,0.12969,0.18362
1987,1st Quintile,Urban regions,2 rooms,0.28077,176,699,0.24744,0.31411
1987,1st Quintile,Urban regions,3 rooms,0.35232,295,699,0.31688,0.38776
1987,1st Quintile,Urban regions,4 rooms,0.10833,105,699,0.08527,0.13139
1987,1st Quintile,Urban regions,5 rooms,0.04666,41,699,0.03101,0.06230
1987,1st Quintile,Rural regions,2 rooms,0.18127,34,156,0.12062,0.24192
1987,1st Quintile,Rural regions,3 rooms,0.37138,73,156,0.29532,0.44745
1987,1st Quintile,Rural regions,4 rooms,0.20120,49,156,0.13809,0.26431
1987,2nd Quintile,Urban regions,2 rooms,0.25249,162,738,0.22113,0.28386
1987,2nd Quintile,Urban regions,3 rooms,0.38552,321,738,0.35038,0.42066
1987,2nd Quintile,Urban regions,4 rooms,0.15261,148,738,0.12664,0.17857
1987,2nd Quintile,Urban regions,5 rooms,0.08615,72,738,0.06589,0.10640
1987,2nd Quintile,Urban regions,6 rooms,0.04304,35,738,0.02838,0.05769
1987,2nd Quintile,Rural regions,3 rooms,0.35155,77,135,0.27071,0.43240
1987,2nd Quintile,Rural regions,4 rooms,0.24773,58,135,0.17464,0.32082
1987,3rd Quintile,Urban regions,1 room,0.05850,45,783,0.04205,0.07495
1987,3rd Quintile,Urban regions,2 rooms,0.25204,155,783,0.22161,0.28247
1987,3rd Quintile,Urban regions,3 rooms,0.30341,285,783,0.27119,0.33563
1987,3rd Quintile,Urban regions,4 rooms,0.19388,176,783,0.16617,0.22159
1987,3rd Quintile,Urban regions,5 rooms,0.09779,87,783,0.07697,0.11861
1987,3rd Quintile,Urban regions,6 rooms,0.04884,35,783,0.03374,0.06395
1987,3rd Quintile,Rural regions,3 rooms,0.33485,62,146,0.25803,0.41166
1987,3rd Quintile,Rural regions,4 rooms,0.21655,47,146,0.14951,0.28359
1987,3rd Quintile,Rural regions,5 rooms,0.14719,37,146,0.08952,0.20485
1987,4th Quintile,Urban regions,1 room,0.06393,44,794,0.04690,0.08096
1987,4th Quintile,Urban regions,2 rooms,0.21079,168,794,0.18240,0.23918
1987,4th Quintile,Urban regions,3 rooms,0.34455,287,794,0.31148,0.37763
1987,4th Quintile,Urban regions,4 rooms,0.19688,167,794,0.16920,0.22455
1987,4th Quintile,Urban regions,5 rooms,0.09767,85,794,0.07701,0.11833
1987,4th Quintile,Urban regions,6 rooms,0.04854,43,794,0.03358,0.06350
1987,4th Quintile,Rural regions,3 rooms,0.23405,47,135,0.16236,0.30574
1987,4th Quintile,Rural regions,4 rooms,0.24621,48,135,0.17327,0.31915
1987,4th Quintile,Rural regions,5 rooms,0.19160,40,135,0.12496,0.25823
1987,5th Quintile,Urban regions,2 rooms,0.17265,126,726,0.14514,0.20017
1987,5th Quintile,Urban regions,3 rooms,0.28605,228,726,0.25315,0.31894
1987,5th Quintile,Urban regions,4 rooms,0.24031,188,726,0.20921,0.27142
1987,5th Quintile,Urban regions,5 rooms,0.13930,122,726,0.11410,0.16451
1987,5th Quintile,Urban regions,6 rooms,0.07296,62,726,0.05403,0.09189
1987,5th Quintile,Rural regions,3 rooms,0.19345,33,106,0.11790,0.26901
1987,5th Quintile,Rural regions,4 rooms,0.29794,42,106,0.21046,0.38542
1987,5th Quintile,Rural regions,5 rooms,0.19630,31,106,0.12033,0.27228
1988,1st Quintile,Urban regions,1 room,0.13402,65,695,0.10867,0.15936
1988,1st Quintile,Urban regions,2 rooms,0.28876,183,695,0.25504,0.32247
1988,1st Quintile,Urban regions,3 rooms,0.34699,292,695,0.31158,0.38241
1988,1st Quintile,Urban regions,4 rooms,0.12578,106,695,0.10110,0.15045
1988,1st Quintile,Urban regions,5 rooms,0.05278,49,695,0.03615,0.06942
1988,1st Quintile,Rural regions,2 rooms,0.18295,34,153,0.12148,0.24441
1988,1st Quintile,Rural regions,3 rooms,0.39155,74,153,0.31396,0.46915
1988,1st Quintile,Rural regions,4 rooms,0.19981,45,153,0.13624,0.26338
1988,2nd Quintile,Urban regions,1 room,0.05670,34,746,0.04009,0.07331
1988,2nd Quintile,Urban regions,2 rooms,0.23812,146,746,0.20753,0.26870
1988,2nd Quintile,Urban regions,3 rooms,0.39952,323,746,0.36435,0.43469
1988,2nd Quintile,Urban regions,4 rooms,0.14345,143,746,0.11828,0.16863
1988,2nd Quintile,Urban regions,5 rooms,0.07929,61,746,0.05988,0.09869
1988,2nd Quintile,Urban regions,6 rooms,0.05188,39,746,0.03595,0.06780
1988,2nd Quintile,Rural regions,3 rooms,0.30788,59,148,0.23326,0.38251
1988,2nd Quintile,Rural regions,4 rooms,0.25903,56,148,0.18821,0.32986
1988,2nd Quintile,Rural regions,5 rooms,0.14342,33,148,0.08676,0.20008
1988,3rd Quintile,Urban regions,1 room,0.06766,43,750,0.04967,0.08565
1988,3rd Quintile,Urban regions,2 rooms,0.23983,147,750,0.20925,0.27041
1988,3rd Quintile,Urban regions,3 rooms,0.30988,276,750,0.27676,0.34300
1988,3rd Quintile,Urban regions,4 rooms,0.18880,167,750,0.16077,0.21683
1988,3rd Quintile,Urban regions,5 rooms,0.09543,80,750,0.07438,0.11647
1988,3rd Quintile,Urban regions,6 rooms,0.04723,37,750,0.03204,0.06242
1988,3rd Quintile,Rural regions,3 rooms,0.36151,66,107,0.27005,0.45297
1988,3rd Quintile,Rural regions,4 rooms,0.19747,41,107,0.12169,0.27326
1988,4th Quintile,Urban regions,1 room,0.04310,32,746,0.02851,0.05768
