"year","regtyp","sampreg","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"1985","Ländlicher Raum","Ostdeutschland","","","","","","","","","","","","","",""
"1985","Ländlicher Raum","Westdeutschland","4.04","3.5","1082","2","3","5","6","8","3.89","4.19","1","60","4","4"
"1985","Städtischer Raum","Ostdeutschland","","","","","","","","","","","","","",""
"1985","Städtischer Raum","Westdeutschland","3.41","2.5","4190","2","2","4","5","9","3.32","3.5","0","82","3","3"
"1986","Ländlicher Raum","Ostdeutschland","","","","","","","","","","","","","",""
"1986","Ländlicher Raum","Westdeutschland","4.02","3.5","1026","2","3","5","6","8","3.87","4.17","1","60","4","4"
"1986","Städtischer Raum","Ostdeutschland","","","","","","","","","","","","","",""
"1986","Städtischer Raum","Westdeutschland","3.41","2.5","4013","2","2","4","5","8","3.32","3.5","1","82","3","3"
"1987","Ländlicher Raum","Ostdeutschland","","","","","","","","","","","","","",""
"1987","Ländlicher Raum","Westdeutschland","4.04","3.5","1011","2","3","5","6","9","3.89","4.19","1","60","4","4"
"1987","Städtischer Raum","Ostdeutschland","","","","","","","","","","","","","",""
"1987","Städtischer Raum","Westdeutschland","3.4","2.5","3964","2","2","4","5","8","3.31","3.49","1","82","3","3"
"1988","Ländlicher Raum","Ostdeutschland","","","","","","","","","","","","","",""
"1988","Ländlicher Raum","Westdeutschland","3.96","3.5","957","2","3","5","6","9","3.86","4.06","1","10","4","4"
"1988","Städtischer Raum","Ostdeutschland","","","","","","","","","","","","","",""
"1988","Städtischer Raum","Westdeutschland","3.4","2.5","3813","2","2","4","5","8","3.32","3.48","0","82","3","3"
"1989","Ländlicher Raum","Ostdeutschland","","","","","","","","","","","","","",""
"1989","Ländlicher Raum","Westdeutschland","4.03","3.5","917","2","3","5","6","9","3.92","4.14","1","11","4","4"
"1989","Städtischer Raum","Ostdeutschland","","","","","","","","","","","","","",""
"1989","Städtischer Raum","Westdeutschland","3.42","2.5","3734","2","2","4","5","8","3.34","3.5","0","82","3","3"
"1990","Ländlicher Raum","Ostdeutschland","3.16","2.5","1361","2","2","4","5","7","3.09","3.23","1","10","3","3"
"1990","Ländlicher Raum","Westdeutschland","4.01","3.5","934","2","3","5","6","9","3.85","4.17","1","60","4","4"
"1990","Städtischer Raum","Ostdeutschland","2.75","2.5","752","1","2","3","4","6","2.67","2.83","1","8","3","3"
"1990","Städtischer Raum","Westdeutschland","3.43","2.5","3658","2","2","4","5","8","3.34","3.52","0","82","3","3"
"1991","Ländlicher Raum","Ostdeutschland","3.17","2.5","1279","2","2","4","5","7","3.1","3.24","1","11","3","3"
"1991","Ländlicher Raum","Westdeutschland","3.98","3.5","953","2","3","5","6","8","3.88","4.08","1","10","4","4"
"1991","Städtischer Raum","Ostdeutschland","2.83","2.5","664","2","2","3","4","6","2.75","2.91","1","8","3","3"
"1991","Städtischer Raum","Westdeutschland","3.4","2.5","3687","2","2","4","5","8","3.33","3.47","1","80","3","3"
"1992","Ländlicher Raum","Ostdeutschland","3.21","2.5","1215","2","2","4","5","7","3.14","3.28","1","11","3","3"
"1992","Ländlicher Raum","Westdeutschland","3.97","3.5","960","2","3","5","6","9","3.87","4.07","1","10","4","4"
"1992","Städtischer Raum","Ostdeutschland","2.78","2.5","679","1","2","3","4","6","2.7","2.86","1","8","3","3"
"1992","Städtischer Raum","Westdeutschland","3.48","2.5","3690","2","2","4","6","8","3.39","3.57","0","82","3","3"
"1993","Ländlicher Raum","Ostdeutschland","3.24","2.5","1223","2","2","4","5","7","3.17","3.31","1","11","3","3"
"1993","Ländlicher Raum","Westdeutschland","3.93","3.5","983","2","3","5","6","8","3.83","4.03","1","10","4","4"
"1993","Städtischer Raum","Ostdeutschland","2.79","2.5","662","2","2","3","4","6","2.71","2.87","1","8","3","3"
"1993","Städtischer Raum","Westdeutschland","3.5","2.5","3702","2","2","4","6","8","3.41","3.59","1","82","3","3"
"1994","Ländlicher Raum","Ostdeutschland","3.22","2.5","1199","2","2","4","5","7","3.15","3.29","1","11","3","3"
"1994","Ländlicher Raum","Westdeutschland","4.03","3.5","987","2","3","5","6","9","3.92","4.14","1","10","4","4"
"1994","Städtischer Raum","Ostdeutschland","2.8","2.5","661","1","2","3","4","6","2.71","2.89","1","8","3","3"
"1994","Städtischer Raum","Westdeutschland","3.51","2.5","3649","2","2","4","6","8","3.42","3.6","1","82","3","3"
"1995","Ländlicher Raum","Ostdeutschland","3.2","2.5","1205","2","2","4","5","7","3.13","3.27","1","11","3","3"
"1995","Ländlicher Raum","Westdeutschland","4.08","3.5","1047","2","3","5","6","9","3.98","4.18","1","10","4","4"
"1995","Städtischer Raum","Ostdeutschland","2.84","2.5","621","1","2","3","4","7","2.75","2.93","1","10","3","3"
"1995","Städtischer Raum","Westdeutschland","3.46","2.5","3824","2","2","4","6","8","3.38","3.54","1","82","3","3"
"1996","Ländlicher Raum","Ostdeutschland","3.24","2.5","1200","2","2","4","5","7","3.16","3.32","1","10","3","3"
"1996","Ländlicher Raum","Westdeutschland","4.09","3.5","1040","2","3","5","6","9","3.99","4.19","1","11","4","4"
"1996","Städtischer Raum","Ostdeutschland","2.9","2.5","638","2","2","3","4","7","2.81","2.99","1","9","3","3"
"1996","Städtischer Raum","Westdeutschland","3.48","2.5","3753","2","2","4","6","8","3.4","3.56","1","82","3","3"
"1997","Ländlicher Raum","Ostdeutschland","3.24","2.5","1190","2","2","4","5","7","3.16","3.32","1","10","3","3"
"1997","Ländlicher Raum","Westdeutschland","4.06","3.5","1029","2","3","5","6","9","3.96","4.16","1","10","4","4"
"1997","Städtischer Raum","Ostdeutschland","2.84","2.5","631","1","2","3","4","6","2.75","2.93","1","8","3","3"
"1997","Städtischer Raum","Westdeutschland","3.44","2.5","3695","2","2","4","6","8","3.37","3.51","1","80","3","3"
"1998","Ländlicher Raum","Ostdeutschland","3.34","2.5","1310","2","2","4","5","8","3.26","3.42","1","13","3","3"
"1998","Ländlicher Raum","Westdeutschland","4.14","3.5","1199","2","3","5","6","9","4.04","4.24","1","18","4","4"
"1998","Städtischer Raum","Ostdeutschland","2.95","2.5","650","2","2","3","4","8","2.85","3.05","1","10","3","3"
"1998","Städtischer Raum","Westdeutschland","3.45","2.5","4258","2","2","4","6","8","3.4","3.5","1","14","3","3"
"1999","Ländlicher Raum","Ostdeutschland","3.33","2.5","1287","2","2","4","5","8","3.25","3.41","1","13","3","3"
"1999","Ländlicher Raum","Westdeutschland","4.14","3.5","1154","2","3","5","6","9","4.04","4.24","1","18","4","4"
"1999","Städtischer Raum","Ostdeutschland","3","2.5","643","2","2","4","4","8","2.9","3.1","1","14","3","3"
"1999","Städtischer Raum","Westdeutschland","3.48","2.5","4059","2","2","4","6","8","3.43","3.53","1","14","3","3"
"2000","Ländlicher Raum","Ostdeutschland","3.36","2.5","2067","2","2","4","5","8","3.3","3.42","1","13","3","3"
"2000","Ländlicher Raum","Westdeutschland","4.2","3.5","2318","2","3","5","7","10","4.13","4.27","1","18","4","4"
"2000","Städtischer Raum","Ostdeutschland","3","2.5","1007","2","2","3","4","8","2.92","3.08","1","14","3","3"
"2000","Städtischer Raum","Westdeutschland","3.56","2.5","7558","2","2","4","6","8","3.52","3.6","1","15","3","3"
"2001","Ländlicher Raum","Ostdeutschland","3.39","2.5","1888","2","2","4","5","8","3.32","3.46","1","13","3","3"
"2001","Ländlicher Raum","Westdeutschland","4.25","3.5","2040","2","3","5","7","10","4.17","4.33","1","18","4","4"
"2001","Städtischer Raum","Ostdeutschland","2.98","2.5","955","2","2","3","4","8","2.89","3.07","1","14","3","3"
"2001","Städtischer Raum","Westdeutschland","3.59","2.5","6797","2","2","4","6","8","3.55","3.63","1","15","3","3"
"2002","Ländlicher Raum","Ostdeutschland","3.34","2.5","1881","2","2","4","5","7","3.28","3.4","1","11","3","3"
"2002","Ländlicher Raum","Westdeutschland","4.25","3.5","2110","2","3","5","7","10","4.17","4.33","1","17","4","4"
"2002","Städtischer Raum","Ostdeutschland","2.93","2.5","961","2","2","3","4","7","2.84","3.02","1","11","3","3"
"2002","Städtischer Raum","Westdeutschland","3.58","2.5","7260","2","2","4","6","8","3.54","3.62","1","19","4","4"
"2003","Ländlicher Raum","Ostdeutschland","3.36","2.5","1847","2","2","4","5","8","3.29","3.43","1","12","3","3"
"2003","Ländlicher Raum","Westdeutschland","4.19","3.5","2005","2","3","5","7","9","4.1","4.28","1","16","4","4"
"2003","Städtischer Raum","Ostdeutschland","2.9","2.5","958","2","2","3","4","6","2.81","2.99","1","13","3","3"
"2003","Städtischer Raum","Westdeutschland","3.58","2.5","6994","2","2","4","6","8","3.54","3.62","1","15","4","4"
"2004","Ländlicher Raum","Ostdeutschland","3.37","2.5","1806","2","2","4","5","7","3.3","3.44","1","13","3","4"
"2004","Ländlicher Raum","Westdeutschland","4.18","3.5","1978","2","3","5","7","10","4.09","4.27","1","18","4","4"
"2004","Städtischer Raum","Ostdeutschland","2.87","2.5","955","2","2","3","4","6","2.79","2.95","1","14","3","3"
"2004","Städtischer Raum","Westdeutschland","3.6","2.5","6804","2","3","4","6","8","3.56","3.64","1","16","4","4"
"2005","Ländlicher Raum","Ostdeutschland","3.4","2.5","1752","2","2","4","5","8","3.33","3.47","1","20","3","3"
"2005","Ländlicher Raum","Westdeutschland","4.24","3.5","1921","2","3","5","7","10","4.15","4.33","1","25","4","4"
"2005","Städtischer Raum","Ostdeutschland","2.92","2.5","940","2","2","3","4","7","2.83","3.01","1","12","3","3"
