"year","quintil","regtyp","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"1995","1 Einkommensschwächstes Quintil","Laendlicher Raum","3.81","2.5","2818","3.75","3.87"
"1995","1 Einkommensschwächstes Quintil","Staedtischer Raum","3.69","2.5","4287","3.59","3.79"
"1995","2","Laendlicher Raum","4.06","3.5","1765","3.99","4.13"
"1995","2","Staedtischer Raum","3.7","2.5","3185","3.65","3.75"
"1995","3","Laendlicher Raum","4.26","3.5","983","4.16","4.36"
"1995","3","Staedtischer Raum","3.88","3.5","2034","3.81","3.95"
"1995","4","Laendlicher Raum","4.58","3.5","478","4.43","4.73"
"1995","4","Staedtischer Raum","3.88","3.5","1317","3.79","3.97"
"1995","5 Einkommensstärkstes Quintil","Laendlicher Raum","5.47","5.5","160","5.16","5.78"
"1995","5 Einkommensstärkstes Quintil","Staedtischer Raum","4.38","3.5","685","4.24","4.52"
"1996","1 Einkommensschwächstes Quintil","Laendlicher Raum","3.85","3.5","2475","3.79","3.91"
"1996","1 Einkommensschwächstes Quintil","Staedtischer Raum","3.69","2.5","3899","3.6","3.78"
"1996","2","Laendlicher Raum","4.06","3.5","1855","3.99","4.13"
"1996","2","Staedtischer Raum","3.78","2.5","3081","3.69","3.87"
"1996","3","Laendlicher Raum","4.33","3.5","1041","4.23","4.43"
"1996","3","Staedtischer Raum","3.76","2.5","2115","3.69","3.83"
"1996","4","Laendlicher Raum","4.71","4.5","490","4.55","4.87"
"1996","4","Staedtischer Raum","4.08","3.5","1411","4","4.16"
"1996","5 Einkommensstärkstes Quintil","Laendlicher Raum","5.21","4.5","213","4.96","5.46"
"1996","5 Einkommensstärkstes Quintil","Staedtischer Raum","4.22","3.5","759","4.1","4.34"
"1997","1 Einkommensschwächstes Quintil","Laendlicher Raum","3.84","3.5","2336","3.78","3.9"
"1997","1 Einkommensschwächstes Quintil","Staedtischer Raum","3.54","2.5","3651","3.45","3.63"
"1997","2","Laendlicher Raum","4.01","3.5","1866","3.94","4.08"
"1997","2","Staedtischer Raum","3.74","2.5","2961","3.69","3.79"
"1997","3","Laendlicher Raum","4.23","3.5","1036","4.13","4.33"
"1997","3","Staedtischer Raum","3.84","2.5","2255","3.78","3.9"
"1997","4","Laendlicher Raum","4.72","4.5","550","4.58","4.86"
"1997","4","Staedtischer Raum","4","3.5","1385","3.91","4.09"
"1997","5 Einkommensstärkstes Quintil","Laendlicher Raum","5.33","4.5","185","5.06","5.6"
"1997","5 Einkommensstärkstes Quintil","Staedtischer Raum","4.23","3.5","781","4.12","4.34"
"1998","1 Einkommensschwächstes Quintil","Laendlicher Raum","3.97","3.5","2582","3.91","4.03"
"1998","1 Einkommensschwächstes Quintil","Staedtischer Raum","3.58","2.5","3857","3.53","3.63"
"1998","2","Laendlicher Raum","4.19","3.5","1905","4.12","4.26"
"1998","2","Staedtischer Raum","3.7","2.5","3269","3.65","3.75"
"1998","3","Laendlicher Raum","4.34","3.5","1226","4.25","4.43"
"1998","3","Staedtischer Raum","3.9","3.5","2371","3.83","3.97"
"1998","4","Laendlicher Raum","4.87","3.5","639","4.71","5.03"
"1998","4","Staedtischer Raum","4.11","3.5","1744","4.03","4.19"
"1998","5 Einkommensstärkstes Quintil","Laendlicher Raum","5.13","4.5","267","4.92","5.34"
"1998","5 Einkommensstärkstes Quintil","Staedtischer Raum","4.41","3.5","896","4.29","4.53"
"1999","1 Einkommensschwächstes Quintil","Laendlicher Raum","3.99","3.5","2102","3.92","4.06"
"1999","1 Einkommensschwächstes Quintil","Staedtischer Raum","3.53","2.5","3156","3.48","3.58"
"1999","2","Laendlicher Raum","4.16","3.5","2066","4.09","4.23"
"1999","2","Staedtischer Raum","3.74","2.5","3237","3.69","3.79"
"1999","3","Laendlicher Raum","4.35","3.5","1231","4.24","4.46"
"1999","3","Staedtischer Raum","4.03","3.5","2432","3.97","4.09"
"1999","4","Laendlicher Raum","4.37","3.5","691","4.24","4.5"
"1999","4","Staedtischer Raum","4.07","3.5","1747","3.99","4.15"
"1999","5 Einkommensstärkstes Quintil","Laendlicher Raum","6.03","4.5","281","5.75","6.31"
"1999","5 Einkommensstärkstes Quintil","Staedtischer Raum","4.47","3.5","1045","4.35","4.59"
"2000","1 Einkommensschwächstes Quintil","Laendlicher Raum","3.97","3.5","3506","3.91","4.03"
"2000","1 Einkommensschwächstes Quintil","Staedtischer Raum","3.53","2.5","5183","3.49","3.57"
"2000","2","Laendlicher Raum","4.3","3.5","3437","4.24","4.36"
"2000","2","Staedtischer Raum","3.83","3.5","5277","3.79","3.87"
"2000","3","Laendlicher Raum","4.33","3.5","2264","4.26","4.4"
"2000","3","Staedtischer Raum","4.05","3.5","4474","4","4.1"
"2000","4","Laendlicher Raum","4.69","3.5","1325","4.59","4.79"
"2000","4","Staedtischer Raum","4.09","3.5","3427","4.03","4.15"
"2000","5 Einkommensstärkstes Quintil","Laendlicher Raum","5.17","4.5","617","5.01","5.33"
"2000","5 Einkommensstärkstes Quintil","Staedtischer Raum","4.51","3.5","2297","4.43","4.59"
"2001","1 Einkommensschwächstes Quintil","Laendlicher Raum","4.07","3.5","2945","4.01","4.13"
"2001","1 Einkommensschwächstes Quintil","Staedtischer Raum","3.56","2.5","4332","3.51","3.61"
"2001","2","Laendlicher Raum","4.31","3.5","2971","4.25","4.37"
"2001","2","Staedtischer Raum","3.89","3.5","4676","3.84","3.94"
"2001","3","Laendlicher Raum","4.37","3.5","2117","4.3","4.44"
"2001","3","Staedtischer Raum","4.09","3.5","4188","4.04","4.14"
"2001","4","Laendlicher Raum","4.56","3.5","1318","4.46","4.66"
"2001","4","Staedtischer Raum","4.12","3.5","3318","4.06","4.18"
"2001","5 Einkommensstärkstes Quintil","Laendlicher Raum","5.2","4.5","625","5.04","5.36"
"2001","5 Einkommensstärkstes Quintil","Staedtischer Raum","4.45","3.5","2238","4.38","4.52"
"2002","1 Einkommensschwächstes Quintil","Laendlicher Raum","4.08","3.5","2521","4.02","4.14"
"2002","1 Einkommensschwächstes Quintil","Staedtischer Raum","3.54","2.5","3725","3.49","3.59"
"2002","2","Laendlicher Raum","4.24","3.5","2494","4.17","4.31"
"2002","2","Staedtischer Raum","3.86","3.5","4086","3.81","3.91"
"2002","3","Laendlicher Raum","4.4","3.5","2091","4.33","4.47"
"2002","3","Staedtischer Raum","3.97","3.5","3874","3.92","4.02"
"2002","4","Laendlicher Raum","4.55","3.5","1848","4.47","4.63"
"2002","4","Staedtischer Raum","3.99","3.5","4011","3.94","4.04"
"2002","5 Einkommensstärkstes Quintil","Laendlicher Raum","5.21","4.5","1169","5.09","5.33"
"2002","5 Einkommensstärkstes Quintil","Staedtischer Raum","4.56","3.5","4297","4.5","4.62"
"2003","1 Einkommensschwächstes Quintil","Laendlicher Raum","4.03","3.5","2342","3.96","4.1"
"2003","1 Einkommensschwächstes Quintil","Staedtischer Raum","3.48","2.5","3438","3.43","3.53"
"2003","2","Laendlicher Raum","4.27","3.5","2314","4.2","4.34"
"2003","2","Staedtischer Raum","3.79","2.5","3812","3.74","3.84"
"2003","3","Laendlicher Raum","4.36","3.5","2167","4.29","4.43"
"2003","3","Staedtischer Raum","4.08","3.5","3965","4.03","4.13"
"2003","4","Laendlicher Raum","4.47","3.5","1768","4.38","4.56"
"2003","4","Staedtischer Raum","4.01","3.5","4070","3.96","4.06"
"2003","5 Einkommensstärkstes Quintil","Laendlicher Raum","5.02","4.5","1049","4.9","5.14"
"2003","5 Einkommensstärkstes Quintil","Staedtischer Raum","4.6","3.5","3867","4.54","4.66"
"2004","1 Einkommensschwächstes Quintil","Laendlicher Raum","4.02","3.5","2240","3.95","4.09"
"2004","1 Einkommensschwächstes Quintil","Staedtischer Raum","3.5","2.5","3325","3.45","3.55"
"2004","2","Laendlicher Raum","4.21","3.5","2208","4.14","4.28"
"2004","2","Staedtischer Raum","3.89","3.5","3715","3.84","3.94"
"2004","3","Laendlicher Raum","4.35","3.5","2111","4.27","4.43"
"2004","3","Staedtischer Raum","4","3.5","3776","3.95","4.05"
"2004","4","Laendlicher Raum","4.43","3.5","1722","4.34","4.52"
"2004","4","Staedtischer Raum","4.04","3.5","3965","3.99","4.09"
