"year","hhtyp","regtyp","mean","median","n","lower_confidence","upper_confidence"
"1985","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","3.95","3.5","524","3.63","4.27"
"1985","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","3.32","2.5","1926","3.22","3.42"
"1985","1-Pers.- Haushalt","Laendlicher Raum","3.15","2.5","184","2.7","3.6"
"1985","1-Pers.- Haushalt","Staedtischer Raum","2.4","1.5","956","2.3","2.5"
"1985","Alleinerziehende","Laendlicher Raum","3.99","3.5","152","3.74","4.24"
"1985","Alleinerziehende","Staedtischer Raum","4.21","2.5","596","3.83","4.59"
"1985","Paar mit Kind(ern)","Laendlicher Raum","4.73","3.5","1989","4.67","4.79"
"1985","Paar mit Kind(ern)","Staedtischer Raum","4.55","3.5","7350","4.46","4.64"
"1985","Sonstige","Laendlicher Raum","5.3","4.5","291","5.08","5.52"
"1985","Sonstige","Staedtischer Raum","4.37","3.5","630","4.24","4.5"
"1986","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","4.07","3.5","480","3.72","4.42"
"1986","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","3.36","2.5","1930","3.27","3.45"
"1986","1-Pers.- Haushalt","Laendlicher Raum","2.93","2.5","171","2.74","3.12"
"1986","1-Pers.- Haushalt","Staedtischer Raum","2.41","1.5","908","2.31","2.51"
"1986","Alleinerziehende","Laendlicher Raum","4.14","3.5","151","3.87","4.41"
"1986","Alleinerziehende","Staedtischer Raum","4.51","3.5","561","4.1","4.92"
"1986","Paar mit Kind(ern)","Laendlicher Raum","4.76","3.5","1898","4.69","4.83"
"1986","Paar mit Kind(ern)","Staedtischer Raum","4.47","3.5","6901","4.39","4.55"
"1986","Sonstige","Laendlicher Raum","5.01","4.5","298","4.81","5.21"
"1986","Sonstige","Staedtischer Raum","4.37","3.5","596","4.24","4.5"
"1987","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","4.13","3.5","494","3.79","4.47"
"1987","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","3.41","2.5","1890","3.32","3.5"
"1987","1-Pers.- Haushalt","Laendlicher Raum","2.95","2.5","170","2.76","3.14"
"1987","1-Pers.- Haushalt","Staedtischer Raum","2.39","1.5","908","2.32","2.46"
"1987","Alleinerziehende","Laendlicher Raum","4.2","3.5","167","3.94","4.46"
"1987","Alleinerziehende","Staedtischer Raum","4.62","3.5","538","4.19","5.05"
"1987","Paar mit Kind(ern)","Laendlicher Raum","4.74","3.5","1831","4.67","4.81"
"1987","Paar mit Kind(ern)","Staedtischer Raum","4.47","3.5","6701","4.39","4.55"
"1987","Sonstige","Laendlicher Raum","5.1","4.5","277","4.9","5.3"
"1987","Sonstige","Staedtischer Raum","4.18","3.5","666","4.06","4.3"
"1988","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","3.85","3.5","470","3.72","3.98"
"1988","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","3.39","2.5","1866","3.3","3.48"
"1988","1-Pers.- Haushalt","Laendlicher Raum","3.01","2.5","170","2.79","3.23"
"1988","1-Pers.- Haushalt","Staedtischer Raum","2.55","1.5","867","2.35","2.75"
"1988","Alleinerziehende","Laendlicher Raum","4.26","3.5","162","4","4.52"
"1988","Alleinerziehende","Staedtischer Raum","3.96","2.5","542","3.82","4.1"
"1988","Paar mit Kind(ern)","Laendlicher Raum","4.7","3.5","1720","4.63","4.77"
"1988","Paar mit Kind(ern)","Staedtischer Raum","4.47","3.5","6390","4.4","4.54"
"1988","Sonstige","Laendlicher Raum","5.41","4.5","235","5.2","5.62"
"1988","Sonstige","Staedtischer Raum","4.14","3.5","591","4.01","4.27"
"1989","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","3.93","3.5","476","3.8","4.06"
"1989","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","3.38","2.5","1840","3.29","3.47"
"1989","1-Pers.- Haushalt","Laendlicher Raum","3.07","2.5","166","2.86","3.28"
"1989","1-Pers.- Haushalt","Staedtischer Raum","2.59","1.5","874","2.4","2.78"
"1989","Alleinerziehende","Laendlicher Raum","4.31","3.5","140","4.03","4.59"
"1989","Alleinerziehende","Staedtischer Raum","4.05","3.5","520","3.91","4.19"
"1989","Paar mit Kind(ern)","Laendlicher Raum","4.82","4.5","1614","4.74","4.9"
"1989","Paar mit Kind(ern)","Staedtischer Raum","4.46","3.5","6129","4.38","4.54"
"1989","Sonstige","Laendlicher Raum","5.34","4.5","217","5.14","5.54"
"1989","Sonstige","Staedtischer Raum","4.25","3.5","618","4.11","4.39"
"1990","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","3.61","2.5","1130","3.53","3.69"
