year,quintil_oecd_hh,rentown,hgroom,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,1st Quintile,Owner,2 rooms,0.14260,31,242,0.09845,0.18675
1984,1st Quintile,Owner,3 rooms,0.26014,65,242,0.20475,0.31553
1984,1st Quintile,Owner,4 rooms,0.23065,62,242,0.17746,0.28383
1984,1st Quintile,Owner,5 rooms,0.16836,53,242,0.12112,0.21560
1984,1st Quintile,Owner,6 rooms,0.11093,31,242,0.07128,0.15058
1984,1st Quintile,Tenant,1 room,0.14301,99,921,0.12039,0.16563
1984,1st Quintile,Tenant,2 rooms,0.35862,260,921,0.32763,0.38961
1984,1st Quintile,Tenant,3 rooms,0.34978,384,921,0.31896,0.38059
1984,1st Quintile,Tenant,4 rooms,0.09950,132,921,0.08016,0.11885
1984,1st Quintile,Tenant,5 rooms,0.03373,46,921,0.02206,0.04539
1984,2nd Quintile,Owner,3 rooms,0.24948,81,303,0.20068,0.29828
1984,2nd Quintile,Owner,4 rooms,0.28406,117,303,0.23320,0.33493
1984,2nd Quintile,Owner,5 rooms,0.13960,57,303,0.10051,0.17868
1984,2nd Quintile,Owner,6 rooms,0.12299,48,303,0.08595,0.16003
1984,2nd Quintile,Tenant,1 room,0.06496,48,807,0.04795,0.08198
1984,2nd Quintile,Tenant,2 rooms,0.28193,213,807,0.25086,0.31299
1984,2nd Quintile,Tenant,3 rooms,0.46080,372,807,0.42639,0.49522
1984,2nd Quintile,Tenant,4 rooms,0.13211,132,807,0.10873,0.15549
1984,2nd Quintile,Tenant,5 rooms,0.04050,42,807,0.02689,0.05411
1984,3rd Quintile,Owner,3 rooms,0.22729,88,338,0.18254,0.27203
1984,3rd Quintile,Owner,4 rooms,0.26403,112,338,0.21696,0.31109
1984,3rd Quintile,Owner,5 rooms,0.21997,89,338,0.17574,0.26420
1984,3rd Quintile,Owner,6 rooms,0.12286,49,338,0.08781,0.15791
1984,3rd Quintile,Tenant,1 room,0.07368,55,733,0.05475,0.09260
1984,3rd Quintile,Tenant,2 rooms,0.30850,209,733,0.27504,0.34196
1984,3rd Quintile,Tenant,3 rooms,0.41879,346,733,0.38305,0.45454
1984,3rd Quintile,Tenant,4 rooms,0.15015,123,733,0.12427,0.17603
1984,4th Quintile,Owner,3 rooms,0.18731,79,365,0.14722,0.22739
1984,4th Quintile,Owner,4 rooms,0.27643,119,365,0.23048,0.32237
1984,4th Quintile,Owner,5 rooms,0.23617,112,365,0.19254,0.27981
1984,4th Quintile,Owner,6 rooms,0.12447,55,365,0.09056,0.15838
1984,4th Quintile,Tenant,1 room,0.08012,56,724,0.06033,0.09991
1984,4th Quintile,Tenant,2 rooms,0.26213,180,724,0.23007,0.29418
1984,4th Quintile,Tenant,3 rooms,0.40422,315,724,0.36844,0.43999
1984,4th Quintile,Tenant,4 rooms,0.17723,138,724,0.14939,0.20506
1984,4th Quintile,Tenant,5 rooms,0.04185,35,724,0.02726,0.05645
1984,5th Quintile,Owner,3 rooms,0.22322,112,467,0.18541,0.26103
1984,5th Quintile,Owner,4 rooms,0.28312,149,467,0.24221,0.32402
1984,5th Quintile,Owner,5 rooms,0.18102,103,467,0.14606,0.21598
1984,5th Quintile,Owner,6 rooms,0.13312,72,467,0.10227,0.16396
1984,5th Quintile,Owner,7 rooms,0.05905,31,467,0.03765,0.08045
1984,5th Quintile,Tenant,2 rooms,0.28725,158,514,0.24810,0.32641
1984,5th Quintile,Tenant,3 rooms,0.39244,223,514,0.35018,0.43469
1984,5th Quintile,Tenant,4 rooms,0.18903,100,514,0.15514,0.22291
1984,5th Quintile,Tenant,5 rooms,0.06504,33,514,0.04370,0.08638
1985,1st Quintile,Owner,3 rooms,0.25829,52,163,0.19089,0.32570
1985,1st Quintile,Owner,4 rooms,0.25323,67,163,0.18626,0.32019
1985,1st Quintile,Owner,5 rooms,0.15748,44,163,0.10139,0.21358
1985,1st Quintile,Tenant,1 room,0.15284,88,820,0.12819,0.17748
1985,1st Quintile,Tenant,2 rooms,0.32892,218,820,0.29675,0.36110
1985,1st Quintile,Tenant,3 rooms,0.37287,356,820,0.33976,0.40599
1985,1st Quintile,Tenant,4 rooms,0.10335,122,820,0.08250,0.12420
1985,1st Quintile,Tenant,5 rooms,0.02490,36,820,0.01423,0.03557
1985,2nd Quintile,Owner,3 rooms,0.24954,75,263,0.19714,0.30195
1985,2nd Quintile,Owner,4 rooms,0.28589,98,263,0.23118,0.34060
1985,2nd Quintile,Owner,5 rooms,0.13427,48,263,0.09299,0.17556
1985,2nd Quintile,Owner,6 rooms,0.12869,42,263,0.08814,0.16923
1985,2nd Quintile,Tenant,1 room,0.05718,33,735,0.04038,0.07398
1985,2nd Quintile,Tenant,2 rooms,0.31395,196,735,0.28038,0.34753
1985,2nd Quintile,Tenant,3 rooms,0.42831,344,735,0.39251,0.46411
1985,2nd Quintile,Tenant,4 rooms,0.14199,128,735,0.11674,0.16725
1985,2nd Quintile,Tenant,5 rooms,0.03622,34,735,0.02271,0.04974
1985,3rd Quintile,Owner,3 rooms,0.22844,78,326,0.18280,0.27409
1985,3rd Quintile,Owner,4 rooms,0.24691,102,326,0.20002,0.29379
1985,3rd Quintile,Owner,5 rooms,0.21902,89,326,0.17405,0.26398
1985,3rd Quintile,Owner,6 rooms,0.14237,57,326,0.10438,0.18036
1985,3rd Quintile,Tenant,1 room,0.07397,52,649,0.05381,0.09412
1985,3rd Quintile,Tenant,2 rooms,0.29269,175,649,0.25765,0.32772
1985,3rd Quintile,Tenant,3 rooms,0.41982,305,649,0.38182,0.45782
1985,3rd Quintile,Tenant,4 rooms,0.14462,117,649,0.11754,0.17170
1985,4th Quintile,Owner,3 rooms,0.18416,77,352,0.14361,0.22472
1985,4th Quintile,Owner,4 rooms,0.26089,110,352,0.21495,0.30683
1985,4th Quintile,Owner,5 rooms,0.23743,111,352,0.19292,0.28195
1985,4th Quintile,Owner,6 rooms,0.12354,54,352,0.08912,0.15797
1985,4th Quintile,Tenant,1 room,0.08056,48,600,0.05877,0.10236
1985,4th Quintile,Tenant,2 rooms,0.27294,150,600,0.23726,0.30861
1985,4th Quintile,Tenant,3 rooms,0.40885,254,600,0.36948,0.44822
1985,4th Quintile,Tenant,4 rooms,0.16359,114,600,0.13397,0.19321
1985,4th Quintile,Tenant,5 rooms,0.04448,34,600,0.02797,0.06099
1985,5th Quintile,Owner,3 rooms,0.21492,98,411,0.17516,0.25468
1985,5th Quintile,Owner,4 rooms,0.28820,140,411,0.24436,0.33204
1985,5th Quintile,Owner,5 rooms,0.20433,106,411,0.16530,0.24336
1985,5th Quintile,Owner,6 rooms,0.12267,67,411,0.09091,0.15442
