"year","quintil","mean","median","n","lower_confidence","upper_confidence"
"1995","1 Einkommensschwächstes Quintil","3.73","2.5","7105","3.67","3.79"
"1995","2","3.82","3.5","4950","3.78","3.86"
"1995","3","3.99","3.5","3017","3.93","4.05"
"1995","4","4.06","3.5","1795","3.99","4.13"
"1995","5 Einkommensstärkstes Quintil","4.58","3.5","845","4.45","4.71"
"1996","1 Einkommensschwächstes Quintil","3.75","2.5","6374","3.69","3.81"
"1996","2","3.88","3.5","4936","3.82","3.94"
"1996","3","3.92","3.5","3156","3.86","3.98"
"1996","4","4.23","3.5","1901","4.16","4.3"
"1996","5 Einkommensstärkstes Quintil","4.42","3.5","972","4.31","4.53"
"1997","1 Einkommensschwächstes Quintil","3.65","2.5","5987","3.59","3.71"
"1997","2","3.84","3.5","4827","3.8","3.88"
"1997","3","3.94","3.5","3291","3.89","3.99"
"1997","4","4.19","3.5","1935","4.12","4.26"
"1997","5 Einkommensstärkstes Quintil","4.42","3.5","967","4.31","4.53"
"1998","1 Einkommensschwächstes Quintil","3.73","2.5","6439","3.69","3.77"
"1998","2","3.87","3.5","5174","3.83","3.91"
"1998","3","4.03","3.5","3597","3.98","4.08"
"1998","4","4.29","3.5","2383","4.22","4.36"
"1998","5 Einkommensstärkstes Quintil","4.57","3.5","1163","4.47","4.67"
"1999","1 Einkommensschwächstes Quintil","3.7","2.5","5258","3.66","3.74"
"1999","2","3.89","3.5","5303","3.85","3.93"
"1999","3","4.13","3.5","3663","4.07","4.19"
"1999","4","4.14","3.5","2438","4.07","4.21"
"1999","5 Einkommensstärkstes Quintil","4.79","3.5","1326","4.68","4.9"
"2000","1 Einkommensschwächstes Quintil","3.7","2.5","8689","3.67","3.73"
"2000","2","4.01","3.5","8714","3.98","4.04"
"2000","3","4.14","3.5","6738","4.1","4.18"
"2000","4","4.23","3.5","4752","4.18","4.28"
"2000","5 Einkommensstärkstes Quintil","4.64","3.5","2914","4.57","4.71"
"2001","1 Einkommensschwächstes Quintil","3.75","2.5","7277","3.71","3.79"
"2001","2","4.05","3.5","7647","4.01","4.09"
"2001","3","4.18","3.5","6305","4.14","4.22"
"2001","4","4.23","3.5","4636","4.18","4.28"
"2001","5 Einkommensstärkstes Quintil","4.6","3.5","2863","4.53","4.67"
"2002","1 Einkommensschwächstes Quintil","3.75","2.5","6246","3.71","3.79"
"2002","2","4","3.5","6580","3.96","4.04"
"2002","3","4.11","3.5","5965","4.07","4.15"
"2002","4","4.15","3.5","5859","4.1","4.2"
"2002","5 Einkommensstärkstes Quintil","4.69","3.5","5466","4.64","4.74"
"2003","1 Einkommensschwächstes Quintil","3.69","2.5","5780","3.65","3.73"
"2003","2","3.95","3.5","6126","3.91","3.99"
"2003","3","4.17","3.5","6132","4.13","4.21"
"2003","4","4.14","3.5","5838","4.09","4.19"
"2003","5 Einkommensstärkstes Quintil","4.68","3.5","4916","4.63","4.73"
