"year","hhtyp","sampreg","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"1984","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","","","","","","","","","","","","","",""
"1984","(Ehe-)Paar ohne Kind(er)","Westdeutschland","3.43","2.5","2702","2","3","4","5","7","3.33","3.53","1","60","3","3"
"1984","1-Pers.- Haushalt","Ostdeutschland","","","","","","","","","","","","","",""
"1984","1-Pers.- Haushalt","Westdeutschland","2.49","1.5","1288","1","2","3","4","6","2.41","2.57","0","35","2","2"
"1984","Alleinerziehende","Ostdeutschland","","","","","","","","","","","","","",""
"1984","Alleinerziehende","Westdeutschland","4.04","2.5","828","2","3","4","6","9","3.76","4.32","1","82","3","3"
"1984","Paar mit Kind(ern)","Ostdeutschland","","","","","","","","","","","","","",""
"1984","Paar mit Kind(ern)","Westdeutschland","4.56","3.5","10356","3","3","5","7","10","4.5","4.62","0","80","4","4"
"1984","Sonstige","Ostdeutschland","","","","","","","","","","","","","",""
"1984","Sonstige","Westdeutschland","4.75","4.5","1002","3","3","6","7","10","4.64","4.86","1","11","4","4"
"1985","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","","","","","","","","","","","","","",""
"1985","(Ehe-)Paar ohne Kind(er)","Westdeutschland","3.47","2.5","2450","2","3","4","5","7","3.36","3.58","0","60","3","3"
"1985","1-Pers.- Haushalt","Ostdeutschland","","","","","","","","","","","","","",""
"1985","1-Pers.- Haushalt","Westdeutschland","2.54","1.5","1140","1","2","3","4","6","2.43","2.65","1","42","2","2"
"1985","Alleinerziehende","Ostdeutschland","","","","","","","","","","","","","",""
"1985","Alleinerziehende","Westdeutschland","4.15","2.5","748","2","3","5","6","9","3.84","4.46","0","82","3","3"
"1985","Paar mit Kind(ern)","Ostdeutschland","","","","","","","","","","","","","",""
"1985","Paar mit Kind(ern)","Westdeutschland","4.6","3.5","9339","3","3","5","7","10","4.53","4.67","0","80","4","4"
"1985","Sonstige","Ostdeutschland","","","","","","","","","","","","","",""
"1985","Sonstige","Westdeutschland","4.73","4.5","921","3","3","6","7","10","4.61","4.85","2","11","4","4"
"1986","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","","","","","","","","","","","","","",""
"1986","(Ehe-)Paar ohne Kind(er)","Westdeutschland","3.52","2.5","2410","2","3","4","5","8","3.42","3.62","1","60","3","3"
"1986","1-Pers.- Haushalt","Ostdeutschland","","","","","","","","","","","","","",""
"1986","1-Pers.- Haushalt","Westdeutschland","2.51","1.5","1079","1","2","3","4","6","2.42","2.6","1","35","2","2"
"1986","Alleinerziehende","Ostdeutschland","","","","","","","","","","","","","",""
"1986","Alleinerziehende","Westdeutschland","4.42","3.5","712","3","3","5","7","9","4.09","4.75","1","82","3","4"
"1986","Paar mit Kind(ern)","Ostdeutschland","","","","","","","","","","","","","",""
