"year","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"1984","4.02","3.5","16176","3.97","4.07"
"1985","4.04","3.5","14598","3.99","4.09"
"1986","4.02","3.5","13894","3.97","4.07"
"1987","4.01","3.5","13642","3.96","4.06"
"1988","3.98","3.5","13013","3.94","4.02"
"1989","3.99","3.5","12594","3.94","4.04"
"1990","3.87","2.5","18534","3.83","3.91"
"1991","3.84","3.5","18144","3.81","3.87"
"1992","3.88","3.5","17842","3.85","3.91"
"1993","3.88","3.5","17528","3.85","3.91"
"1994","3.92","3.5","17138","3.89","3.95"
"1995","3.9","3.5","17712","3.87","3.93"
"1996","3.93","3.5","17339","3.9","3.96"
"1997","3.89","3.5","17007","3.86","3.92"
"1998","3.97","3.5","18756","3.95","3.99"
"1999","4.01","3.5","17988","3.99","4.03"
"2000","4.06","3.5","31807","4.04","4.08"
"2001","4.1","3.5","28728","4.08","4.12"
"2002","4.07","3.5","30116","4.05","4.09"
"2003","4.06","3.5","28792","4.04","4.08"
"2004","4.07","3.5","27931","4.05","4.09"
"2005","4.08","3.5","26706","4.06","4.1"
"2006","4.06","3.5","28668","4.04","4.08"
"2007","4.11","3.5","26618","4.09","4.13"
"2008","4.15","3.5","24877","4.13","4.17"
"2009","4.16","3.5","23221","4.14","4.18"
"2010","4.15","3.5","37468","4.13","4.17"
"2011","4.16","3.5","44001","4.14","4.18"
"2012","4.18","3.5","42406","4.16","4.2"
"2013","4.13","3.5","47665","4.11","4.15"
"2014","4.14","3.5","41507","4.12","4.16"
"2015","4.13","3.5","41052","4.11","4.15"
"2016","4.16","3.5","45074","4.14","4.18"
"2017","4.15","3.5","50141","4.13","4.17"
"2018","4.17","3.5","48126","4.15","4.19"
"2019","4.19","3.5","48657","4.17","4.21"
"2020","4.26","3.5","49931","4.24","4.28"
