"year","sampreg","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"1984","Ostdeutschland","","","","","","","","","","","","","",""
"1984","Westdeutschland","3.54","2.5","5863","2","2","4","6","8","3.47","3.61","0","82","3","3"
"1985","Ostdeutschland","","","","","","","","","","","","","",""
"1985","Westdeutschland","3.56","2.5","5272","2","2","4","6","9","3.48","3.64","0","82","3","3"
"1986","Ostdeutschland","","","","","","","","","","","","","",""
"1986","Westdeutschland","3.55","2.5","5039","2","2","4","6","8","3.47","3.63","1","82","3","3"
"1987","Ostdeutschland","","","","","","","","","","","","","",""
"1987","Westdeutschland","3.54","2.5","4975","2","2","4","6","8","3.46","3.62","1","82","3","3"
"1988","Ostdeutschland","","","","","","","","","","","","","",""
"1988","Westdeutschland","3.53","2.5","4770","2","2","4","6","8","3.46","3.6","0","82","3","3"
"1989","Ostdeutschland","","","","","","","","","","","","","",""
"1989","Westdeutschland","3.55","2.5","4651","2","2","4","6","8","3.48","3.62","0","82","3","3"
"1990","Ostdeutschland","3","2.5","2158","2","2","4","5","7","2.95","3.05","1","10","3","3"
"1990","Westdeutschland","3.56","2.5","4592","2","2","4","6","8","3.48","3.64","0","82","3","3"
"1991","Ostdeutschland","3.04","2.5","1987","2","2","4","5","7","2.99","3.09","1","11","3","3"
"1991","Westdeutschland","3.53","2.5","4642","2","2","4","6","8","3.47","3.59","1","80","3","3"
"1992","Ostdeutschland","3.04","2.5","1946","2","2","4","5","7","2.99","3.09","1","11","3","3"
"1992","Westdeutschland","3.59","2.5","4657","2","2","4","6","8","3.52","3.66","0","82","3","3"
"1993","Ostdeutschland","3.07","2.5","1885","2","2","4","5","7","3.01","3.13","1","11","3","3"
"1993","Westdeutschland","3.6","2.5","4685","2","2","4","6","8","3.53","3.67","1","82","3","3"
"1994","Ostdeutschland","3.06","2.5","1860","2","2","4","5","7","3","3.12","1","11","3","3"
"1994","Westdeutschland","3.63","2.5","4636","2","2","4","6","8","3.56","3.7","1","82","3","3"
"1995","Ostdeutschland","3.08","2.5","1826","2","2","4","5","7","3.02","3.14","1","11","3","3"
"1995","Westdeutschland","3.6","2.5","4871","2","2","4","6","8","3.53","3.67","1","82","3","3"
"1996","Ostdeutschland","3.12","2.5","1838","2","2","4","5","7","3.06","3.18","1","10","3","3"
"1996","Westdeutschland","3.62","2.5","4793","2","2","4","6","8","3.55","3.69","1","82","3","3"
"1997","Ostdeutschland","3.1","2.5","1821","2","2","4","5","7","3.04","3.16","1","10","3","3"
"1997","Westdeutschland","3.58","2.5","4725","2","2","4","6","8","3.52","3.64","1","80","3","3"
"1998","Ostdeutschland","3.21","2.5","1960","2","2","4","5","8","3.15","3.27","1","13","3","3"
"1998","Westdeutschland","3.6","2.5","5457","2","2","4","6","9","3.56","3.64","1","18","3","3"
"1999","Ostdeutschland","3.22","2.5","1930","2","2","4","5","8","3.16","3.28","1","14","3","3"
"1999","Westdeutschland","3.63","2.5","5213","2","2","4","6","9","3.59","3.67","1","18","3","3"
"2000","Ostdeutschland","3.24","2.5","3074","2","2","4","5","8","3.19","3.29","1","14","3","3"
"2000","Westdeutschland","3.71","2.5","9876","2","3","5","6","9","3.68","3.74","1","18","4","4"
"2001","Ostdeutschland","3.25","2.5","2843","2","2","4","5","8","3.2","3.3","1","14","3","3"
"2001","Westdeutschland","3.74","2.5","8837","2","3","5","6","9","3.7","3.78","1","18","4","4"
"2002","Ostdeutschland","3.2","2.5","2842","2","2","4","5","7","3.15","3.25","1","11","3","3"
"2002","Westdeutschland","3.73","2.5","9370","2","3","5","6","9","3.69","3.77","1","19","4","4"
"2003","Ostdeutschland","3.21","2.5","2805","2","2","4","5","8","3.16","3.26","1","13","3","3"
"2003","Westdeutschland","3.72","2.5","8999","2","3","5","6","9","3.68","3.76","1","16","4","4"
"2004","Ostdeutschland","3.2","2.5","2761","2","2","4","5","7","3.15","3.25","1","14","3","3"
"2004","Westdeutschland","3.73","2.5","8782","2","3","5","6","9","3.69","3.77","1","18","4","4"
"2005","Ostdeutschland","3.23","2.5","2692","2","2","4","5","8","3.17","3.29","1","20","3","3"
"2005","Westdeutschland","3.74","2.5","8507","2","3","5","6","9","3.7","3.78","1","25","4","4"
"2006","Ostdeutschland","3.18","2.5","2928","2","2","4","5","7","3.13","3.23","1","15","3","3"
"2006","Westdeutschland","3.73","2.5","9337","2","3","5","6","9","3.69","3.77","1","22","4","4"
"2007","Ostdeutschland","3.24","2.5","2760","2","2","4","5","8","3.19","3.29","1","12","3","3"
"2007","Westdeutschland","3.78","2.5","8693","2","3","5","6","9","3.74","3.82","1","22","4","4"
"2008","Ostdeutschland","3.25","2.5","2651","2","2","4","5","8","3.2","3.3","1","14","3","3"
