year,sex,pld0045,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2003,male,Very often,0.03307,440,10605,0.02966,0.03647
2003,male,Often,0.06477,868,10605,0.06008,0.06945
2003,male,Sometimes,0.08544,1144,10605,0.08012,0.09077
2003,male,Seldom,0.15212,2004,10605,0.14529,0.15896
2003,male,Never,0.48396,6149,10605,0.47444,0.49347
2003,female,Very often,0.04354,600,11411,0.03980,0.04729
2003,female,Often,0.06191,915,11411,0.05749,0.06633
2003,female,Sometimes,0.08114,1149,11411,0.07613,0.08615
2003,female,Seldom,0.13043,1916,11411,0.12425,0.13661
2003,female,Never,0.51642,6831,11411,0.50725,0.52559
2008,male,Very often,0.04008,438,9147,0.03606,0.04410
2008,male,Often,0.07267,808,9147,0.06735,0.07799
2008,male,Sometimes,0.08364,965,9147,0.07797,0.08932
2008,male,Seldom,0.15371,1710,9147,0.14632,0.16110
2008,male,Never,0.47514,5226,9147,0.46490,0.48537
2008,female,Very often,0.04398,566,10040,0.03997,0.04799
2008,female,Often,0.07422,907,10040,0.06909,0.07934
2008,female,Sometimes,0.08389,1019,10040,0.07847,0.08932
2008,female,Seldom,0.13565,1644,10040,0.12895,0.14235
2008,female,Never,0.50448,5904,10040,0.49470,0.51426
2013,male,Very often,0.03692,654,11472,0.03346,0.04037
2013,male,Often,0.07104,1236,11472,0.06634,0.07574
2013,male,Sometimes,0.08054,1305,11472,0.07556,0.08552
2013,male,Seldom,0.14586,2249,11472,0.13940,0.15232
2013,male,Never,0.41513,6028,11472,0.40611,0.42414
2013,female,Very often,0.04583,1043,13883,0.04235,0.04931
2013,female,Often,0.07530,1606,13883,0.07091,0.07969
2013,female,Sometimes,0.07789,1541,13883,0.07343,0.08235
2013,female,Seldom,0.13107,2303,13883,0.12546,0.13669
2013,female,Never,0.43968,7390,13883,0.43143,0.44794
2018,male,Very often,0.04614,712,11756,0.04235,0.04993
2018,male,Often,0.07619,1163,11756,0.07139,0.08099
2018,male,Sometimes,0.09328,1304,11756,0.08803,0.09854
2018,male,Seldom,0.15720,2119,11756,0.15062,0.16378
2018,male,Never,0.45258,6458,11756,0.44358,0.46158
2018,female,Very often,0.06083,1070,13755,0.05683,0.06482
2018,female,Often,0.08446,1461,13755,0.07982,0.08911
2018,female,Sometimes,0.09153,1494,13755,0.08671,0.09635
2018,female,Seldom,0.13402,2167,13755,0.12833,0.13972
2018,female,Never,0.46954,7563,13755,0.46120,0.47788
