year,bula_h,pld0045,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2003,Schleswig-Holstein,Often,0.08106,51,639,0.05988,0.10224
2003,Schleswig-Holstein,Sometimes,0.06707,49,639,0.04766,0.08649
2003,Schleswig-Holstein,Seldom,0.16934,120,639,0.14023,0.19844
2003,Schleswig-Holstein,Never,0.47450,419,639,0.43575,0.51325
2003,Hamburg,Seldom,0.20381,73,232,0.15186,0.25576
2003,Hamburg,Never,0.51457,159,232,0.45012,0.57902
2003,Lower Saxony,Very often,0.04327,118,1900,0.03412,0.05242
2003,Lower Saxony,Often,0.06636,178,1900,0.05517,0.07756
2003,Lower Saxony,Sometimes,0.10824,257,1900,0.09427,0.12222
2003,Lower Saxony,Seldom,0.15663,372,1900,0.14029,0.17298
2003,Lower Saxony,Never,0.44781,975,1900,0.42544,0.47018
2003,Bremen,Never,0.63423,126,126,0.54980,0.71867
2003,North Rhine-Westphalia,Very often,0.03170,176,4636,0.02665,0.03674
2003,North Rhine-Westphalia,Often,0.05243,314,4636,0.04601,0.05885
2003,North Rhine-Westphalia,Sometimes,0.08041,448,4636,0.07258,0.08824
2003,North Rhine-Westphalia,Seldom,0.12603,745,4636,0.11648,0.13559
2003,North Rhine-Westphalia,Never,0.53455,2953,4636,0.52019,0.54891
2003,Hesse,Very often,0.04715,90,1485,0.03637,0.05793
2003,Hesse,Often,0.05935,123,1485,0.04733,0.07137
2003,Hesse,Sometimes,0.07168,154,1485,0.05856,0.08481
2003,Hesse,Seldom,0.12793,241,1485,0.11093,0.14492
2003,Hesse,Never,0.49797,877,1485,0.47253,0.52341
2003,"Rhineland-Palatinate, Saarland",Very often,0.04638,82,1327,0.03506,0.05770
2003,"Rhineland-Palatinate, Saarland",Often,0.07258,122,1327,0.05862,0.08655
2003,"Rhineland-Palatinate, Saarland",Sometimes,0.06255,108,1327,0.04952,0.07558
2003,"Rhineland-Palatinate, Saarland",Seldom,0.11983,198,1327,0.10235,0.13731
2003,"Rhineland-Palatinate, Saarland",Never,0.49822,817,1327,0.47131,0.52514
2003,Baden-Wuerttemberg,Very often,0.03581,118,2670,0.02876,0.04286
2003,Baden-Wuerttemberg,Often,0.06994,237,2670,0.06027,0.07962
2003,Baden-Wuerttemberg,Sometimes,0.08097,263,2670,0.07062,0.09132
2003,Baden-Wuerttemberg,Seldom,0.12644,470,2670,0.11383,0.13905
2003,Baden-Wuerttemberg,Never,0.48600,1582,2670,0.46704,0.50496
2003,Bavaria,Very often,0.06023,227,3113,0.05187,0.06859
2003,Bavaria,Often,0.07654,326,3113,0.06720,0.08588
2003,Bavaria,Sometimes,0.09096,362,3113,0.08085,0.10106
2003,Bavaria,Seldom,0.16261,613,3113,0.14965,0.17558
2003,Bavaria,Never,0.44202,1585,3113,0.42457,0.45947
2003,Berlin,Often,0.04071,42,796,0.02697,0.05445
2003,Berlin,Sometimes,0.07186,71,796,0.05391,0.08982
2003,Berlin,Seldom,0.13127,149,796,0.10779,0.15474
2003,Berlin,Never,0.55953,534,796,0.52502,0.59404
