year,pld0045,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2003,Very often,0.03841,1040,22016,0.03587,0.04094
2003,Often,0.06331,1783,22016,0.06009,0.06653
2003,Sometimes,0.08325,2293,22016,0.07960,0.08690
2003,Seldom,0.14107,3920,22016,0.13647,0.14567
2003,Never,0.50050,12980,22016,0.49390,0.50711
2008,Very often,0.04207,1004,19187,0.03923,0.04491
2008,Often,0.07346,1715,19187,0.06977,0.07715
2008,Sometimes,0.08377,1984,19187,0.07985,0.08769
2008,Seldom,0.14452,3354,19187,0.13954,0.14949
2008,Never,0.49007,11130,19187,0.48300,0.49715
2013,Very often,0.04146,1697,25355,0.03900,0.04391
2013,Often,0.07321,2842,25355,0.07001,0.07642
2013,Sometimes,0.07919,2846,25355,0.07587,0.08251
2013,Seldom,0.13833,4552,25355,0.13408,0.14258
2013,Never,0.42763,13418,25355,0.42154,0.43372
2018,Very often,0.05355,1782,25511,0.05079,0.05631
2018,Often,0.08036,2624,25511,0.07702,0.08369
2018,Sometimes,0.09239,2798,25511,0.08883,0.09594
2018,Seldom,0.14548,4286,25511,0.14115,0.14981
2018,Never,0.46109,14021,25511,0.45497,0.46721
