year,age_gr,bula_h,pld0045,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2003,17-29 y.,Schleswig-Holstein,Never,0.57816,64,64,0.45621,0.70011
2003,17-29 y.,Lower Saxony,Sometimes,0.18088,48,277,0.13547,0.22629
2003,17-29 y.,Lower Saxony,Seldom,0.19593,69,277,0.14911,0.24276
2003,17-29 y.,Lower Saxony,Never,0.47901,160,277,0.42008,0.53795
2003,17-29 y.,North Rhine-Westphalia,Very often,0.05307,44,772,0.03724,0.06889
2003,17-29 y.,North Rhine-Westphalia,Often,0.08198,63,772,0.06262,0.10135
2003,17-29 y.,North Rhine-Westphalia,Sometimes,0.12708,91,772,0.10357,0.15059
2003,17-29 y.,North Rhine-Westphalia,Seldom,0.16241,139,772,0.13638,0.18845
2003,17-29 y.,North Rhine-Westphalia,Never,0.56158,435,772,0.52656,0.59661
2003,17-29 y.,Hesse,Seldom,0.16321,40,184,0.10966,0.21675
2003,17-29 y.,Hesse,Never,0.59746,144,184,0.52641,0.66852
2003,17-29 y.,"Rhineland-Palatinate, Saarland",Seldom,0.14523,36,166,0.09147,0.19900
2003,17-29 y.,"Rhineland-Palatinate, Saarland",Never,0.58664,130,166,0.51150,0.66178
2003,17-29 y.,Baden-Wuerttemberg,Often,0.12638,53,496,0.09711,0.15565
2003,17-29 y.,Baden-Wuerttemberg,Sometimes,0.07283,37,496,0.04994,0.09572
2003,17-29 y.,Baden-Wuerttemberg,Seldom,0.17747,104,496,0.14381,0.21113
2003,17-29 y.,Baden-Wuerttemberg,Never,0.59194,302,496,0.54865,0.63524
2003,17-29 y.,Bavaria,Very often,0.08746,48,561,0.06406,0.11086
2003,17-29 y.,Bavaria,Often,0.08144,54,561,0.05879,0.10410
2003,17-29 y.,Bavaria,Sometimes,0.12962,73,561,0.10180,0.15744
2003,17-29 y.,Bavaria,Seldom,0.22592,120,561,0.19128,0.26056
2003,17-29 y.,Bavaria,Never,0.46801,266,561,0.42669,0.50934
2003,17-29 y.,Berlin,Seldom,0.23575,40,142,0.16569,0.30582
2003,17-29 y.,Berlin,Never,0.57847,102,142,0.49697,0.65998
2003,17-29 y.,Brandenburg,Seldom,0.18631,36,146,0.12294,0.24969
2003,17-29 y.,Brandenburg,Never,0.56767,110,146,0.48703,0.64830
2003,17-29 y.,Mecklenburg-Western Pomerania,Never,0.55582,58,58,0.42683,0.68481
2003,17-29 y.,Saxony,Sometimes,0.11888,37,266,0.07991,0.15785
2003,17-29 y.,Saxony,Seldom,0.21683,55,266,0.16722,0.26645
2003,17-29 y.,Saxony,Never,0.55233,174,266,0.49246,0.61220
2003,17-29 y.,Saxony-Anhalt,Seldom,0.18358,35,124,0.11516,0.25200
2003,17-29 y.,Saxony-Anhalt,Never,0.48736,89,124,0.39903,0.57570
2003,17-29 y.,Thuringa,Seldom,0.23983,50,159,0.17325,0.30641
2003,17-29 y.,Thuringa,Never,0.49261,109,159,0.41466,0.57057
2003,30-45 y.,Schleswig-Holstein,Seldom,0.23216,36,122,0.15693,0.30740
2003,30-45 y.,Schleswig-Holstein,Never,0.39357,86,122,0.30653,0.48062
