year,age_gr,quintil_oecd,pld0045,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2003,17-29 y.,1st Quintile,Very often,0.07659,57,852,0.05872,0.09446
2003,17-29 y.,1st Quintile,Often,0.07410,69,852,0.05650,0.09170
2003,17-29 y.,1st Quintile,Sometimes,0.09960,82,852,0.07948,0.11972
2003,17-29 y.,1st Quintile,Seldom,0.16418,151,852,0.13929,0.18907
2003,17-29 y.,1st Quintile,Never,0.57504,493,852,0.54182,0.60825
2003,17-29 y.,2nd Quintile,Very often,0.04403,34,765,0.02948,0.05858
2003,17-29 y.,2nd Quintile,Often,0.09231,66,765,0.07178,0.11283
2003,17-29 y.,2nd Quintile,Sometimes,0.10721,80,765,0.08528,0.12915
2003,17-29 y.,2nd Quintile,Seldom,0.19173,144,765,0.16381,0.21964
2003,17-29 y.,2nd Quintile,Never,0.55065,441,765,0.51538,0.58593
2003,17-29 y.,3rd Quintile,Often,0.08915,63,726,0.06841,0.10990
2003,17-29 y.,3rd Quintile,Sometimes,0.09693,69,726,0.07540,0.11847
2003,17-29 y.,3rd Quintile,Seldom,0.20718,154,726,0.17768,0.23669
2003,17-29 y.,3rd Quintile,Never,0.56782,440,726,0.53176,0.60388
2003,17-29 y.,4th Quintile,Very often,0.05228,50,790,0.03675,0.06781
2003,17-29 y.,4th Quintile,Often,0.09869,76,790,0.07788,0.11950
2003,17-29 y.,4th Quintile,Sometimes,0.14186,104,790,0.11752,0.16621
2003,17-29 y.,4th Quintile,Seldom,0.20884,166,790,0.18048,0.23721
2003,17-29 y.,4th Quintile,Never,0.48994,394,790,0.45505,0.52482
2003,17-29 y.,5th Quintile,Very often,0.05259,52,818,0.03729,0.06790
2003,17-29 y.,5th Quintile,Often,0.09422,71,818,0.07419,0.11425
2003,17-29 y.,5th Quintile,Sometimes,0.13044,109,818,0.10734,0.15353
2003,17-29 y.,5th Quintile,Seldom,0.19487,169,818,0.16770,0.22203
2003,17-29 y.,5th Quintile,Never,0.52507,417,818,0.49083,0.55932
2003,30-45 y.,1st Quintile,Very often,0.04519,45,949,0.03197,0.05842
2003,30-45 y.,1st Quintile,Often,0.09484,94,949,0.07619,0.11349
2003,30-45 y.,1st Quintile,Sometimes,0.11069,100,949,0.09072,0.13067
2003,30-45 y.,1st Quintile,Seldom,0.15936,148,949,0.13606,0.18266
2003,30-45 y.,1st Quintile,Never,0.58116,562,949,0.54976,0.61257
2003,30-45 y.,2nd Quintile,Very often,0.05507,66,1249,0.04241,0.06772
2003,30-45 y.,2nd Quintile,Often,0.10824,131,1249,0.09100,0.12547
2003,30-45 y.,2nd Quintile,Sometimes,0.11439,147,1249,0.09673,0.13204
2003,30-45 y.,2nd Quintile,Seldom,0.18734,230,1249,0.16569,0.20898
2003,30-45 y.,2nd Quintile,Never,0.53090,675,1249,0.50321,0.55859
2003,30-45 y.,3rd Quintile,Very often,0.06561,86,1363,0.05246,0.07876
2003,30-45 y.,3rd Quintile,Often,0.08362,117,1363,0.06892,0.09832
2003,30-45 y.,3rd Quintile,Sometimes,0.11960,168,1363,0.10237,0.13684
2003,30-45 y.,3rd Quintile,Seldom,0.20863,278,1363,0.18705,0.23021
2003,30-45 y.,3rd Quintile,Never,0.51500,714,1363,0.48846,0.54155
2003,30-45 y.,4th Quintile,Very often,0.05908,85,1486,0.04709,0.07107
2003,30-45 y.,4th Quintile,Often,0.10161,139,1486,0.08624,0.11698
2003,30-45 y.,4th Quintile,Sometimes,0.12764,189,1486,0.11067,0.14461
2003,30-45 y.,4th Quintile,Seldom,0.21521,325,1486,0.19431,0.23612
2003,30-45 y.,4th Quintile,Never,0.49294,748,1486,0.46751,0.51837
2003,30-45 y.,5th Quintile,Very often,0.05352,107,1854,0.04327,0.06377
2003,30-45 y.,5th Quintile,Often,0.10804,195,1854,0.09391,0.12218
2003,30-45 y.,5th Quintile,Sometimes,0.11566,222,1854,0.10110,0.13023
2003,30-45 y.,5th Quintile,Seldom,0.19992,384,1854,0.18171,0.21814
2003,30-45 y.,5th Quintile,Never,0.51428,946,1854,0.49153,0.53704
2003,46-65 y.,1st Quintile,Often,0.04391,45,855,0.03017,0.05766
2003,46-65 y.,1st Quintile,Sometimes,0.06687,63,855,0.05012,0.08363
2003,46-65 y.,1st Quintile,Seldom,0.15253,128,855,0.12841,0.17664
2003,46-65 y.,1st Quintile,Never,0.70301,619,855,0.67236,0.73365
2003,46-65 y.,2nd Quintile,Often,0.05823,63,934,0.04320,0.07325
2003,46-65 y.,2nd Quintile,Sometimes,0.08420,80,934,0.06638,0.10201
2003,46-65 y.,2nd Quintile,Seldom,0.16435,150,934,0.14057,0.18813
2003,46-65 y.,2nd Quintile,Never,0.65838,641,934,0.62795,0.68881
2003,46-65 y.,3rd Quintile,Very often,0.03757,51,1229,0.02693,0.04821
2003,46-65 y.,3rd Quintile,Often,0.05913,73,1229,0.04594,0.07233
2003,46-65 y.,3rd Quintile,Sometimes,0.10285,131,1229,0.08586,0.11984
2003,46-65 y.,3rd Quintile,Seldom,0.15551,204,1229,0.13524,0.17577
2003,46-65 y.,3rd Quintile,Never,0.64171,770,1229,0.61489,0.66853
2003,46-65 y.,4th Quintile,Very often,0.04506,76,1566,0.03478,0.05534
2003,46-65 y.,4th Quintile,Often,0.06237,116,1566,0.05039,0.07435
2003,46-65 y.,4th Quintile,Sometimes,0.10453,161,1566,0.08937,0.11969
2003,46-65 y.,4th Quintile,Seldom,0.16051,275,1566,0.14232,0.17869
2003,46-65 y.,4th Quintile,Never,0.62295,938,1566,0.59893,0.64696
2003,46-65 y.,5th Quintile,Very often,0.04626,125,2890,0.03860,0.05392
2003,46-65 y.,5th Quintile,Often,0.09872,279,2890,0.08784,0.10960
2003,46-65 y.,5th Quintile,Sometimes,0.09954,320,2890,0.08862,0.11045
2003,46-65 y.,5th Quintile,Seldom,0.18632,576,2890,0.17212,0.20052
2003,46-65 y.,5th Quintile,Never,0.56271,1590,2890,0.54462,0.58080
2003,66 and older,1st Quintile,Sometimes,0.07162,49,637,0.05158,0.09166
2003,66 and older,1st Quintile,Seldom,0.13256,90,637,0.10621,0.15892
