year,quintil_oecd,pld0045,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2003,1st Quintile,Very often,0.03619,149,3367,0.02988,0.04249
2003,1st Quintile,Often,0.04801,235,3367,0.04079,0.05523
2003,1st Quintile,Sometimes,0.06856,294,3367,0.06002,0.07710
2003,1st Quintile,Seldom,0.12010,517,3367,0.10912,0.13109
2003,1st Quintile,Never,0.51020,2172,3367,0.49332,0.52709
2003,2nd Quintile,Very often,0.03066,152,3840,0.02520,0.03611
2003,2nd Quintile,Often,0.06262,313,3840,0.05495,0.07028
2003,2nd Quintile,Sometimes,0.07164,359,3840,0.06349,0.07980
2003,2nd Quintile,Seldom,0.12770,620,3840,0.11714,0.13826
2003,2nd Quintile,Never,0.49676,2396,3840,0.48095,0.51258
2003,3rd Quintile,Very often,0.03675,189,4101,0.03099,0.04251
2003,3rd Quintile,Often,0.05438,281,4101,0.04744,0.06132
2003,3rd Quintile,Sometimes,0.08073,418,4101,0.07239,0.08907
2003,3rd Quintile,Seldom,0.14052,729,4101,0.12989,0.15116
2003,3rd Quintile,Never,0.50229,2484,4101,0.48699,0.51760
2003,4th Quintile,Very often,0.04726,247,4405,0.04100,0.05353
2003,4th Quintile,Often,0.06864,369,4405,0.06117,0.07611
2003,4th Quintile,Sometimes,0.09862,505,4405,0.08981,0.10742
2003,4th Quintile,Seldom,0.15292,827,4405,0.14229,0.16355
2003,4th Quintile,Never,0.48785,2457,4405,0.47309,0.50261
2003,5th Quintile,Very often,0.04108,302,6299,0.03618,0.04598
2003,5th Quintile,Often,0.08300,585,6299,0.07618,0.08981
2003,5th Quintile,Sometimes,0.09675,716,6299,0.08945,0.10405
2003,5th Quintile,Seldom,0.16431,1227,6299,0.15515,0.17346
2003,5th Quintile,Never,0.50497,3469,6299,0.49262,0.51732
2008,1st Quintile,Very often,0.03811,151,2987,0.03125,0.04498
2008,1st Quintile,Often,0.06950,245,2987,0.06038,0.07862
2008,1st Quintile,Sometimes,0.07237,269,2987,0.06308,0.08166
2008,1st Quintile,Seldom,0.10662,424,2987,0.09555,0.11769
2008,1st Quintile,Never,0.50629,1898,2987,0.48836,0.52422
2008,2nd Quintile,Very often,0.04336,173,3333,0.03645,0.05028
2008,2nd Quintile,Often,0.06423,270,3333,0.05590,0.07255
2008,2nd Quintile,Sometimes,0.06363,284,3333,0.05534,0.07192
2008,2nd Quintile,Seldom,0.13468,562,3333,0.12308,0.14627
2008,2nd Quintile,Never,0.50067,2044,3333,0.48369,0.51764
2008,3rd Quintile,Very often,0.03748,188,3748,0.03140,0.04357
2008,3rd Quintile,Often,0.07059,319,3748,0.06239,0.07879
2008,3rd Quintile,Sometimes,0.08839,387,3748,0.07930,0.09748
2008,3rd Quintile,Seldom,0.13934,641,3748,0.12825,0.15043
2008,3rd Quintile,Never,0.49105,2213,3748,0.47504,0.50705
2008,4th Quintile,Very often,0.03975,195,3914,0.03363,0.04587
2008,4th Quintile,Often,0.07262,350,3914,0.06448,0.08075
2008,4th Quintile,Sometimes,0.09055,425,3914,0.08156,0.09954
2008,4th Quintile,Seldom,0.16681,755,3914,0.15513,0.17849
2008,4th Quintile,Never,0.48288,2189,3914,0.46722,0.49854
2008,5th Quintile,Very often,0.05168,297,5203,0.04566,0.05769
2008,5th Quintile,Often,0.08969,530,5203,0.08192,0.09745
2008,5th Quintile,Sometimes,0.10396,618,5203,0.09567,0.11226
2008,5th Quintile,Seldom,0.17533,972,5203,0.16499,0.18566
2008,5th Quintile,Never,0.46984,2786,5203,0.45628,0.48340
2013,1st Quintile,Very often,0.04602,362,5098,0.04027,0.05177
2013,1st Quintile,Often,0.07116,518,5098,0.06410,0.07822
2013,1st Quintile,Sometimes,0.07685,504,5098,0.06954,0.08417
2013,1st Quintile,Seldom,0.11845,718,5098,0.10958,0.12733
2013,1st Quintile,Never,0.48753,2996,5098,0.47381,0.50125
2013,2nd Quintile,Very often,0.04304,336,5117,0.03748,0.04860
2013,2nd Quintile,Often,0.07010,540,5117,0.06311,0.07710
2013,2nd Quintile,Sometimes,0.08328,558,5117,0.07571,0.09085
2013,2nd Quintile,Seldom,0.14162,894,5117,0.13207,0.15117
2013,2nd Quintile,Never,0.48196,2789,5117,0.46827,0.49566
2013,3rd Quintile,Very often,0.03997,348,4870,0.03447,0.04547
2013,3rd Quintile,Often,0.07580,583,4870,0.06836,0.08323
2013,3rd Quintile,Sometimes,0.08206,536,4870,0.07436,0.08977
2013,3rd Quintile,Seldom,0.14645,847,4870,0.13652,0.15638
2013,3rd Quintile,Never,0.48738,2556,4870,0.47334,0.50142
2013,4th Quintile,Very often,0.05356,331,4841,0.04721,0.05990
2013,4th Quintile,Often,0.09547,584,4841,0.08720,0.10375
2013,4th Quintile,Sometimes,0.09058,556,4841,0.08249,0.09866
2013,4th Quintile,Seldom,0.16472,988,4841,0.15427,0.17517
2013,4th Quintile,Never,0.45120,2382,4841,0.43718,0.46522
2013,5th Quintile,Very often,0.04633,320,5425,0.04073,0.05192
2013,5th Quintile,Often,0.09015,617,5425,0.08253,0.09777
2013,5th Quintile,Sometimes,0.10264,690,5425,0.09456,0.11071
2013,5th Quintile,Seldom,0.18829,1105,5425,0.17789,0.19869
2013,5th Quintile,Never,0.46059,2693,5425,0.44733,0.47386
2018,1st Quintile,Very often,0.05044,359,4645,0.04414,0.05673
2018,1st Quintile,Often,0.07025,464,4645,0.06290,0.07760
2018,1st Quintile,Sometimes,0.06568,423,4645,0.05855,0.07280
2018,1st Quintile,Seldom,0.11504,643,4645,0.10586,0.12422
2018,1st Quintile,Never,0.46198,2756,4645,0.44764,0.47632
2018,2nd Quintile,Very often,0.05066,338,5223,0.04471,0.05661
2018,2nd Quintile,Often,0.07191,523,5223,0.06490,0.07892
2018,2nd Quintile,Sometimes,0.08762,533,5223,0.07995,0.09529
2018,2nd Quintile,Seldom,0.12665,788,5223,0.11763,0.13567
2018,2nd Quintile,Never,0.48024,3041,5223,0.46669,0.49379
2018,3rd Quintile,Very often,0.04856,331,4730,0.04244,0.05469
2018,3rd Quintile,Often,0.08896,540,4730,0.08084,0.09707
2018,3rd Quintile,Sometimes,0.08685,496,4730,0.07882,0.09488
2018,3rd Quintile,Seldom,0.14926,826,4730,0.13911,0.15942
2018,3rd Quintile,Never,0.46174,2537,4730,0.44753,0.47595
2018,4th Quintile,Very often,0.05907,355,4600,0.05225,0.06588
2018,4th Quintile,Often,0.09182,501,4600,0.08348,0.10017
2018,4th Quintile,Sometimes,0.10947,596,4600,0.10044,0.11849
2018,4th Quintile,Seldom,0.15774,845,4600,0.14721,0.16828
2018,4th Quintile,Never,0.44714,2303,4600,0.43277,0.46151
2018,5th Quintile,Very often,0.06157,339,5070,0.05495,0.06818
2018,5th Quintile,Often,0.08420,530,5070,0.07656,0.09185
2018,5th Quintile,Sometimes,0.11663,648,5070,0.10780,0.12547
2018,5th Quintile,Seldom,0.18885,1056,5070,0.17807,0.19962
2018,5th Quintile,Never,0.44099,2497,5070,0.42732,0.45466
