year,sampreg,pld0045,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2003,West,Very often,0.04042,858,16701,0.03743,0.04340
2003,West,Often,0.06458,1409,16701,0.06085,0.06831
2003,West,Sometimes,0.08250,1725,16701,0.07832,0.08667
2003,West,Seldom,0.13935,2935,16701,0.13409,0.14460
2003,West,Never,0.49182,9774,16701,0.48424,0.49941
2003,East,Very often,0.02931,182,5315,0.02477,0.03384
2003,East,Often,0.05755,374,5315,0.05129,0.06381
2003,East,Sometimes,0.08666,568,5315,0.07910,0.09423
2003,East,Seldom,0.14886,985,5315,0.13929,0.15843
2003,East,Never,0.53975,3206,5315,0.52635,0.55315
2008,West,Very often,0.04381,790,14450,0.04047,0.04715
2008,West,Often,0.07504,1334,14450,0.07074,0.07933
2008,West,Sometimes,0.08413,1512,14450,0.07960,0.08865
2008,West,Seldom,0.14429,2516,14450,0.13856,0.15002
2008,West,Never,0.47905,8298,14450,0.47090,0.48719
2008,East,Very often,0.03404,214,4737,0.02888,0.03921
2008,East,Often,0.06619,381,4737,0.05911,0.07327
2008,East,Sometimes,0.08214,472,4737,0.07432,0.08996
2008,East,Seldom,0.14554,838,4737,0.13550,0.15558
2008,East,Never,0.54081,2832,4737,0.52661,0.55500
2013,West,Very often,0.04316,1434,19669,0.04032,0.04600
2013,West,Often,0.07371,2321,19669,0.07006,0.07736
2013,West,Sometimes,0.07759,2243,19669,0.07385,0.08132
2013,West,Seldom,0.13551,3497,19669,0.13073,0.14030
2013,West,Never,0.41381,10174,19669,0.40693,0.42069
2013,East,Very often,0.03341,263,5686,0.02873,0.03808
2013,East,Often,0.07087,521,5686,0.06420,0.07754
2013,East,Sometimes,0.08676,603,5686,0.07944,0.09408
2013,East,Seldom,0.15160,1055,5686,0.14228,0.16092
2013,East,Never,0.49278,3244,5686,0.47979,0.50578
2018,West,Very often,0.05600,1498,20041,0.05282,0.05919
2018,West,Often,0.08126,2117,20041,0.07748,0.08504
2018,West,Sometimes,0.09450,2233,20041,0.09045,0.09855
2018,West,Seldom,0.14954,3437,20041,0.14460,0.15448
2018,West,Never,0.45101,10756,20041,0.44412,0.45790
2018,East,Very often,0.04172,284,5470,0.03642,0.04702
2018,East,Often,0.07601,507,5470,0.06899,0.08303
2018,East,Sometimes,0.08220,565,5470,0.07492,0.08948
2018,East,Seldom,0.12590,849,5470,0.11711,0.13469
2018,East,Never,0.50969,3265,5470,0.49644,0.52293
