year,regtyp,pld0045,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2003,Urban regions,Very often,0.03651,673,14630,0.03347,0.03955
2003,Urban regions,Often,0.05857,1105,14630,0.05477,0.06238
2003,Urban regions,Sometimes,0.07659,1389,14630,0.07228,0.08090
2003,Urban regions,Seldom,0.13345,2438,14630,0.12794,0.13896
2003,Urban regions,Never,0.52019,9025,14630,0.51209,0.52828
2003,Rural regions,Very often,0.04250,367,7386,0.03790,0.04710
2003,Rural regions,Often,0.07351,678,7386,0.06756,0.07947
2003,Rural regions,Sometimes,0.09760,904,7386,0.09083,0.10437
2003,Rural regions,Seldom,0.15749,1482,7386,0.14918,0.16580
2003,Rural regions,Never,0.45808,3955,7386,0.44672,0.46945
2008,Urban regions,Very often,0.03774,600,12589,0.03441,0.04107
2008,Urban regions,Often,0.06756,1035,12589,0.06318,0.07195
2008,Urban regions,Sometimes,0.07970,1231,12589,0.07497,0.08443
2008,Urban regions,Seldom,0.13729,2099,12589,0.13128,0.14330
2008,Urban regions,Never,0.50943,7624,12589,0.50070,0.51816
2008,Rural regions,Very often,0.05130,404,6598,0.04597,0.05662
2008,Rural regions,Often,0.08605,680,6598,0.07929,0.09282
2008,Rural regions,Sometimes,0.09248,753,6598,0.08549,0.09947
2008,Rural regions,Seldom,0.15995,1255,6598,0.15111,0.16880
2008,Rural regions,Never,0.44872,3506,6598,0.43672,0.46073
2013,Urban regions,Very often,0.03938,1041,16091,0.03637,0.04239
2013,Urban regions,Often,0.06624,1707,16091,0.06240,0.07008
2013,Urban regions,Sometimes,0.07093,1699,16091,0.06696,0.07490
2013,Urban regions,Seldom,0.12871,2768,16091,0.12354,0.13389
2013,Urban regions,Never,0.43752,8876,16091,0.42985,0.44518
2013,Rural regions,Very often,0.04575,656,9264,0.04149,0.05000
2013,Rural regions,Often,0.08763,1135,9264,0.08187,0.09339
2013,Rural regions,Sometimes,0.09627,1147,9264,0.09026,0.10228
2013,Rural regions,Seldom,0.15820,1784,9264,0.15077,0.16563
2013,Rural regions,Never,0.40718,4542,9264,0.39718,0.41719
2018,Urban regions,Very often,0.05290,1148,16577,0.04949,0.05631
2018,Urban regions,Often,0.07385,1580,16577,0.06987,0.07783
2018,Urban regions,Sometimes,0.08769,1715,16577,0.08339,0.09200
2018,Urban regions,Seldom,0.13952,2694,16577,0.13425,0.14480
2018,Urban regions,Never,0.47779,9440,16577,0.47019,0.48540
2018,Rural regions,Very often,0.05498,634,8934,0.05025,0.05971
2018,Rural regions,Often,0.09471,1044,8934,0.08863,0.10078
2018,Rural regions,Sometimes,0.10275,1083,8934,0.09645,0.10904
2018,Rural regions,Seldom,0.15862,1592,8934,0.15104,0.16619
2018,Rural regions,Never,0.42424,4581,8934,0.41399,0.43449
