year,migback,pld0045,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2003,No migration background,Very often,0.03908,878,18660,0.03630,0.04186
2003,No migration background,Often,0.06550,1545,18660,0.06195,0.06905
2003,No migration background,Sometimes,0.08741,1983,18660,0.08336,0.09146
2003,No migration background,Seldom,0.14613,3411,18660,0.14106,0.15120
2003,No migration background,Never,0.50769,10843,18660,0.50052,0.51487
2003,Direct migration background,Very often,0.04075,119,2591,0.03314,0.04836
2003,Direct migration background,Often,0.06367,178,2591,0.05427,0.07307
2003,Direct migration background,Sometimes,0.08520,253,2591,0.07445,0.09595
2003,Direct migration background,Seldom,0.14303,360,2591,0.12954,0.15651
2003,Direct migration background,Never,0.60508,1681,2591,0.58626,0.62391
2003,Indirect migration background,Very often,0.02571,43,765,0.01449,0.03693
2003,Indirect migration background,Often,0.03469,60,765,0.02172,0.04767
2003,Indirect migration background,Sometimes,0.02685,57,765,0.01539,0.03832
2003,Indirect migration background,Seldom,0.07313,149,765,0.05467,0.09160
2003,Indirect migration background,Never,0.22553,456,765,0.19589,0.25516
2008,No migration background,Very often,0.04185,869,16541,0.03880,0.04490
2008,No migration background,Often,0.07567,1504,16541,0.07164,0.07970
2008,No migration background,Sometimes,0.08668,1711,16541,0.08239,0.09096
2008,No migration background,Seldom,0.15146,2954,16541,0.14600,0.15692
2008,No migration background,Never,0.49378,9503,16541,0.48616,0.50140
2008,Direct migration background,Very often,0.04821,87,1885,0.03854,0.05789
2008,Direct migration background,Often,0.07279,139,1885,0.06106,0.08452
2008,Direct migration background,Sometimes,0.08851,191,1885,0.07568,0.10133
2008,Direct migration background,Seldom,0.15067,299,1885,0.13451,0.16682
2008,Direct migration background,Never,0.60538,1169,1885,0.58331,0.62745
2008,Indirect migration background,Very often,0.03574,48,761,0.02254,0.04894
2008,Indirect migration background,Often,0.05168,72,761,0.03594,0.06742
2008,Indirect migration background,Sometimes,0.04738,82,761,0.03227,0.06248
2008,Indirect migration background,Seldom,0.06468,101,761,0.04720,0.08217
2008,Indirect migration background,Never,0.29197,458,761,0.25964,0.32429
2013,No migration background,Very often,0.04582,1439,21503,0.04303,0.04862
2013,No migration background,Often,0.08289,2449,21503,0.07920,0.08657
2013,No migration background,Sometimes,0.08776,2426,21503,0.08398,0.09155
2013,No migration background,Seldom,0.15625,3946,21503,0.15140,0.16111
2013,No migration background,Never,0.47006,11243,21503,0.46339,0.47673
2013,Direct migration background,Very often,0.02871,153,2736,0.02245,0.03497
2013,Direct migration background,Often,0.04559,290,2736,0.03777,0.05340
2013,Direct migration background,Sometimes,0.05256,294,2736,0.04420,0.06092
2013,Direct migration background,Seldom,0.08312,407,2736,0.07277,0.09346
2013,Direct migration background,Never,0.33496,1592,2736,0.31727,0.35265
2013,Indirect migration background,Very often,0.01802,105,1116,0.01021,0.02583
2013,Indirect migration background,Often,0.02033,103,1116,0.01205,0.02862
2013,Indirect migration background,Sometimes,0.03565,126,1116,0.02477,0.04653
2013,Indirect migration background,Seldom,0.04654,199,1116,0.03418,0.05891
2013,Indirect migration background,Never,0.15240,583,1116,0.13130,0.17349
2018,No migration background,Very often,0.05491,1377,19370,0.05170,0.05812
2018,No migration background,Often,0.08509,2059,19370,0.08116,0.08902
2018,No migration background,Sometimes,0.09881,2212,19370,0.09461,0.10301
2018,No migration background,Seldom,0.15423,3412,19370,0.14914,0.15931
2018,No migration background,Never,0.46736,10310,19370,0.46034,0.47439
2018,Direct migration background,Very often,0.05854,279,4523,0.05169,0.06538
2018,Direct migration background,Often,0.07366,391,4523,0.06605,0.08128
2018,Direct migration background,Sometimes,0.08680,432,4523,0.07860,0.09501
2018,Direct migration background,Seldom,0.13354,592,4523,0.12363,0.14346
2018,Direct migration background,Never,0.54289,2829,4523,0.52837,0.55741
2018,Indirect migration background,Very often,0.03486,126,1618,0.02592,0.04380
2018,Indirect migration background,Often,0.05179,174,1618,0.04099,0.06259
2018,Indirect migration background,Sometimes,0.04829,154,1618,0.03785,0.05874
2018,Indirect migration background,Seldom,0.09201,282,1618,0.07792,0.10610
2018,Indirect migration background,Never,0.28583,882,1618,0.26381,0.30786
