"year","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"1984","0.59","0","16176","0.57","0.61"
"1985","0.54","0","14598","0.52","0.56"
"1986","0.55","0","13894","0.53","0.57"
"1987","0.56","0","13642","0.54","0.58"
"1988","0.56","0","13013","0.54","0.58"
"1989","0.58","0","12594","0.56","0.6"
"1990","0.62","0","18534","0.6","0.64"
"1991","0.64","0","18144","0.62","0.66"
"1992","0.64","0","17842","0.63","0.65"
"1993","0.63","0","17528","0.62","0.64"
"1994","0.64","0","17138","0.63","0.65"
"1995","0.64","0","17712","0.63","0.65"
"1996","0.63","0","17339","0.61","0.65"
"1997","0.63","0","17007","0.61","0.65"
"1998","0.63","0","18756","0.62","0.64"
"1999","0.62","0","17988","0.61","0.63"
"2000","0.6","0","31807","0.59","0.61"
"2001","0.58","0","28728","0.57","0.59"
"2002","0.56","0","30116","0.55","0.57"
"2003","0.56","0","28792","0.55","0.57"
"2004","0.52","0","27931","0.51","0.53"
"2005","0.51","0","26706","0.5","0.52"
"2006","0.52","0","28668","0.51","0.53"
"2007","0.51","0","26618","0.5","0.52"
"2008","0.49","0","24877","0.48","0.5"
"2009","0.48","0","23221","0.47","0.49"
"2010","0.47","0","37468","0.46","0.48"
"2011","0.48","0","44001","0.47","0.49"
"2012","0.47","0","42406","0.46","0.48"
"2013","0.46","0","47665","0.45","0.47"
"2014","0.47","0","41507","0.46","0.48"
"2015","0.47","0","41052","0.46","0.48"
"2016","0.49","0","45088","0.48","0.5"
"2017","0.49","0","50153","0.48","0.5"
"2018","0.49","0","48143","0.48","0.5"
"2019","0.5","0","48664","0.49","0.51"
"2020","0.51","0","49931","0.5","0.52"
