"year","hhtyp","sampreg","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"1984","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","","","","","","","","","","","","","",""
"1984","(Ehe-)Paar ohne Kind(er)","Westdeutschland","","","","","","","","","","","","","",""
"1984","1-Pers.- Haushalt","Ostdeutschland","","","","","","","","","","","","","",""
"1984","1-Pers.- Haushalt","Westdeutschland","","","","","","","","","","","","","",""
"1984","Alleinerziehende","Ostdeutschland","","","","","","","","","","","","","",""
"1984","Alleinerziehende","Westdeutschland","0.52","0","828","0","0","1","2","3","0.45","0.59","0","5","0","0"
"1984","Paar mit Kind(ern)","Ostdeutschland","","","","","","","","","","","","","",""
"1984","Paar mit Kind(ern)","Westdeutschland","","","","","","","","","","","","","",""
"1984","Sonstige","Ostdeutschland","","","","","","","","","","","","","",""
"1984","Sonstige","Westdeutschland","","","","","","","","","","","","","",""
"1985","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","","","","","","","","","","","","","",""
"1985","(Ehe-)Paar ohne Kind(er)","Westdeutschland","","","","","","","","","","","","","",""
"1985","1-Pers.- Haushalt","Ostdeutschland","","","","","","","","","","","","","",""
"1985","1-Pers.- Haushalt","Westdeutschland","","","","","","","","","","","","","",""
"1985","Alleinerziehende","Ostdeutschland","","","","","","","","","","","","","",""
"1985","Alleinerziehende","Westdeutschland","0.44","0","748","0","0","1","1","4","0.38","0.5","0","4","0","0"
"1985","Paar mit Kind(ern)","Ostdeutschland","","","","","","","","","","","","","",""
"1985","Paar mit Kind(ern)","Westdeutschland","0.94","0.5","9339","0","0","2","2","4","0.92","0.96","0","7","1","1"
"1985","Sonstige","Ostdeutschland","","","","","","","","","","","","","",""
"1985","Sonstige","Westdeutschland","0.48","0","921","0","0","1","2","4","0.41","0.55","0","4","0","0"
"1986","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","","","","","","","","","","","","","",""
"1986","(Ehe-)Paar ohne Kind(er)","Westdeutschland","","","","","","","","","","","","","",""
"1986","1-Pers.- Haushalt","Ostdeutschland","","","","","","","","","","","","","",""
"1986","1-Pers.- Haushalt","Westdeutschland","","","","","","","","","","","","","",""
"1986","Alleinerziehende","Ostdeutschland","","","","","","","","","","","","","",""
"1986","Alleinerziehende","Westdeutschland","0.53","0","712","0","0","1","2","4","0.47","0.59","0","4","0","0"
"1986","Paar mit Kind(ern)","Ostdeutschland","","","","","","","","","","","","","",""
"1986","Paar mit Kind(ern)","Westdeutschland","0.95","0.5","8799","0","0","2","2","4","0.93","0.97","0","6","1","1"
"1986","Sonstige","Ostdeutschland","","","","","","","","","","","","","",""
"1986","Sonstige","Westdeutschland","0.5","0","894","0","0","1","2","3","0.43","0.57","0","4","0","1"
"1987","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","","","","","","","","","","","","","",""
"1987","(Ehe-)Paar ohne Kind(er)","Westdeutschland","","","","","","","","","","","","","",""
"1987","1-Pers.- Haushalt","Ostdeutschland","","","","","","","","","","","","","",""
"1987","1-Pers.- Haushalt","Westdeutschland","","","","","","","","","","","","","",""
"1987","Alleinerziehende","Ostdeutschland","","","","","","","","","","","","","",""
"1987","Alleinerziehende","Westdeutschland","0.49","0","705","0","0","1","1","4","0.43","0.55","0","4","0","0"
"1987","Paar mit Kind(ern)","Ostdeutschland","","","","","","","","","","","","","",""
"1987","Paar mit Kind(ern)","Westdeutschland","0.96","0.5","8532","0","0","2","2","4","0.94","0.98","0","7","1","1"
"1987","Sonstige","Ostdeutschland","","","","","","","","","","","","","",""
"1987","Sonstige","Westdeutschland","0.62","0","943","0","0","1","2","3","0.53","0.71","0","7","1","1"
"1988","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","","","","","","","","","","","","","",""
"1988","(Ehe-)Paar ohne Kind(er)","Westdeutschland","","","","","","","","","","","","","",""
"1988","1-Pers.- Haushalt","Ostdeutschland","","","","","","","","","","","","","",""
"1988","1-Pers.- Haushalt","Westdeutschland","","","","","","","","","","","","","",""
"1988","Alleinerziehende","Ostdeutschland","","","","","","","","","","","","","",""
"1988","Alleinerziehende","Westdeutschland","0.49","0","704","0","0","1","2","3","0.43","0.55","0","4","0","0"
"1988","Paar mit Kind(ern)","Ostdeutschland","","","","","","","","","","","","","",""
"1988","Paar mit Kind(ern)","Westdeutschland","0.98","0.5","8110","0","0","2","2","4","0.96","1","0","7","1","1"
"1988","Sonstige","Ostdeutschland","","","","","","","","","","","","","",""
"1988","Sonstige","Westdeutschland","0.7","0","826","0","0","1","2","4","0.61","0.79","0","7","1","1"
"1989","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","","","","","","","","","","","","","",""
"1989","(Ehe-)Paar ohne Kind(er)","Westdeutschland","","","","","","","","","","","","","",""
"1989","1-Pers.- Haushalt","Ostdeutschland","","","","","","","","","","","","","",""
"1989","1-Pers.- Haushalt","Westdeutschland","","","","","","","","","","","","","",""
"1989","Alleinerziehende","Ostdeutschland","","","","","","","","","","","","","",""
"1989","Alleinerziehende","Westdeutschland","0.51","0","660","0","0","1","2","3","0.44","0.58","0","4","0","0"
"1989","Paar mit Kind(ern)","Ostdeutschland","","","","","","","","","","","","","",""
"1989","Paar mit Kind(ern)","Westdeutschland","1.01","0.5","7743","0","0","2","2","4","0.99","1.03","0","6","1","1"
"1989","Sonstige","Ostdeutschland","","","","","","","","","","","","","",""
"1989","Sonstige","Westdeutschland","0.76","0","835","0","0","1","2","4","0.66","0.86","0","8","1","1"
"1990","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","0","0","960","0","0","0","0","0","0","0","0","0","0","0"
"1990","(Ehe-)Paar ohne Kind(er)","Westdeutschland","","","","","","","","","","","","","",""
"1990","1-Pers.- Haushalt","Ostdeutschland","0","0","324","0","0","0","0","0","0","0","0","0","0","0"
"1990","1-Pers.- Haushalt","Westdeutschland","","","","","","","","","","","","","",""
"1990","Alleinerziehende","Ostdeutschland","0.82","0.5","309","0","0","1","2","4","0.71","0.93","0","4","1","1"
"1990","Alleinerziehende","Westdeutschland","0.49","0","640","0","0","1","2","3","0.42","0.56","0","4","0","0"
"1990","Paar mit Kind(ern)","Ostdeutschland","1.11","0.5","4099","0","0","2","2","3","1.08","1.14","0","5","1","1"
"1990","Paar mit Kind(ern)","Westdeutschland","1.05","0.5","7526","0","0","2","2","4","1.03","1.07","0","6","1","1"
"1990","Sonstige","Ostdeutschland","0.49","0","409","0","0","1","2","4","0.41","0.57","0","4","0","1"
"1990","Sonstige","Westdeutschland","0.9","0.5","898","0","0","1","2","4","0.81","0.99","0","6","1","1"
"1991","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","0","0","892","0","0","0","0","0","0","0","0","0","0","0"
"1991","(Ehe-)Paar ohne Kind(er)","Westdeutschland","","","","","","","","","","","","","",""
"1991","1-Pers.- Haushalt","Ostdeutschland","","","","","","","","","","","","","",""
"1991","1-Pers.- Haushalt","Westdeutschland","","","","","","","","","","","","","",""
"1991","Alleinerziehende","Ostdeutschland","","","","","","","","","","","","","",""
"1991","Alleinerziehende","Westdeutschland","0.5","0","659","0","0","1","2","3","0.43","0.57","0","5","0","0"
"1991","Paar mit Kind(ern)","Ostdeutschland","1.12","0.5","3859","0","0","2","2","3","1.09","1.15","0","5","1","1"
"1991","Paar mit Kind(ern)","Westdeutschland","1.08","0.5","7487","0","0","2","3","4","1.06","1.1","0","5","1","1"
"1991","Sonstige","Ostdeutschland","0.59","0","357","0","0","1","2","4","0.49","0.69","0","4","0","1"
"1991","Sonstige","Westdeutschland","0.91","0.5","907","0","0","1","2","4","0.81","1.01","0","7","1","1"
"1992","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","0","0","932","0","0","0","0","0","0","0","0","0","0","0"
"1992","(Ehe-)Paar ohne Kind(er)","Westdeutschland","","","","","","","","","","","","","",""
"1992","1-Pers.- Haushalt","Ostdeutschland","","","","","","","","","","","","","",""
"1992","1-Pers.- Haushalt","Westdeutschland","","","","","","","","","","","","","",""
"1992","Alleinerziehende","Ostdeutschland","","","","","","","","","","","","","",""
"1992","Alleinerziehende","Westdeutschland","0.6","0","666","0","0","1","2","5","0.53","0.67","0","5","0","0"
"1992","Paar mit Kind(ern)","Ostdeutschland","1.12","0.5","3528","0","0","2","2","3","1.09","1.15","0","5","1","1"
"1992","Paar mit Kind(ern)","Westdeutschland","1.1","0.5","7433","0","0","2","3","4","1.08","1.12","0","5","1","1"
"1992","Sonstige","Ostdeutschland","0.6","0","354","0","0","1","2","2","0.52","0.68","0","3","0","1"
"1992","Sonstige","Westdeutschland","0.88","0.5","878","0","0","1","3","4","0.8","0.96","0","6","1","1"
"1993","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","0","0","954","0","0","0","0","0","0","0","0","0","0","0"
"1993","(Ehe-)Paar ohne Kind(er)","Westdeutschland","","","","","","","","","","","","","",""
"1993","1-Pers.- Haushalt","Ostdeutschland","0","0","300","0","0","0","0","0","0","0","0","0","0","0"
"1993","1-Pers.- Haushalt","Westdeutschland","","","","","","","","","","","","","",""
"1993","Alleinerziehende","Ostdeutschland","","","","","","","","","","","","","",""
"1993","Alleinerziehende","Westdeutschland","0.58","0","621","0","0","1","2","4","0.51","0.65","0","4","0","0"
"1993","Paar mit Kind(ern)","Ostdeutschland","1.09","0.5","3299","0","0","2","2","3","1.06","1.12","0","5","1","1"
"1993","Paar mit Kind(ern)","Westdeutschland","1.12","0.5","7266","0","0","2","3","4","1.1","1.14","0","5","1","1"
"1993","Sonstige","Ostdeutschland","0.65","0","317","0","0","1","2","3","0.56","0.74","0","3","0","1"
"1993","Sonstige","Westdeutschland","0.73","0","918","0","0","1","2","3","0.66","0.8","0","6","1","1"
"1994","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","0","0","984","0","0","0","0","0","0","0","0","0","0","0"
"1994","(Ehe-)Paar ohne Kind(er)","Westdeutschland","","","","","","","","","","","","","",""
"1994","1-Pers.- Haushalt","Ostdeutschland","0","0","315","0","0","0","0","0","0","0","0","0","0","0"
"1994","1-Pers.- Haushalt","Westdeutschland","","","","","","","","","","","","","",""
"1994","Alleinerziehende","Ostdeutschland","","","","","","","","","","","","","",""
