"year","quintil","mean","median","n","lower_confidence","upper_confidence"
"1984","1","0.46","0","11083","0.45","0.47"
"1984","2","0.99","0","5093","0.95","1.03"
"1984","3","","","","",""
"1984","4","","","","",""
"1984","5","","","","",""
"1985","1","0.44","0","9956","0.42","0.46"
"1985","2","0.91","0","4642","0.87","0.95"
"1985","3","","","","",""
"1985","4","","","","",""
"1985","5","","","","",""
"1986","1","0.43","0","9386","0.41","0.45"
"1986","2","0.94","0","4508","0.9","0.98"
"1986","3","","","","",""
"1986","4","","","","",""
"1986","5","","","","",""
"1987","1","0.43","0","9299","0.41","0.45"
"1987","2","0.98","0","4343","0.94","1.02"
"1987","3","","","","",""
"1987","4","","","","",""
"1987","5","","","","",""
"1988","1","0.44","0","8966","0.42","0.46"
"1988","2","1.02","0","4047","0.98","1.06"
"1988","3","","","","",""
"1988","4","","","","",""
"1988","5","","","","",""
"1989","1","0.45","0","8627","0.43","0.47"
"1989","2","1.07","0","3967","1.02","1.12"
"1989","3","","","","",""
"1989","4","","","","",""
"1989","5","","","","",""
"1990","1","0.49","0","13490","0.48","0.5"
"1990","2","1.17","0","5044","1.13","1.21"
"1990","3","","","","",""
"1990","4","","","","",""
"1990","5","","","","",""
"1991","1","0.49","0","13319","0.48","0.5"
"1991","2","1.23","0.5","4825","1.19","1.27"
"1991","3","","","","",""
"1991","4","","","","",""
"1991","5","","","","",""
"1992","1","0.49","0","13237","0.48","0.5"
"1992","2","1.31","0.5","4605","1.27","1.35"
"1992","3","","","","",""
"1992","4","","","","",""
"1992","5","","","","",""
"1993","1","0.49","0","13033","0.48","0.5"
"1993","2","1.29","0.5","4495","1.25","1.33"
"1993","3","","","","",""
"1993","4","","","","",""
"1993","5","","","","",""
"1994","1","0.48","0","12837","0.47","0.49"
"1994","2","1.36","0.5","4301","1.32","1.4"
"1994","3","","","","",""
"1994","4","","","","",""
"1994","5","","","","",""
"1995","1","","","","",""
"1995","2","0.89","0","6654","0.86","0.92"
"1995","3","0.61","0","6305","0.59","0.63"
