"year","hhtyp","regtyp","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"1985","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","0","0","524","0","0","0","0","0","0","0","0","0","0","0"
"1985","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","0","0","1926","0","0","0","0","0","0","0","0","0","0","0"
"1985","1-Pers.- Haushalt","Laendlicher Raum","0","0","184","0","0","0","0","0","0","0","0","0","0","0"
"1985","1-Pers.- Haushalt","Staedtischer Raum","0","0","956","0","0","0","0","0","0","0","0","0","0","0"
"1985","Alleinerziehende","Laendlicher Raum","0.27","0","152","0","0","1","1","1","0.2","0.34","0","1","0","0"
"1985","Alleinerziehende","Staedtischer Raum","0.49","0","596","0","0","1","2","4","0.42","0.56","0","4","0","0"
"1985","Paar mit Kind(ern)","Laendlicher Raum","1","0.5","1989","0","0","2","2","4","0.95","1.05","0","6","1","1"
"1985","Paar mit Kind(ern)","Staedtischer Raum","0.92","0.5","7350","0","0","2","2","4","0.9","0.94","0","7","1","1"
"1985","Sonstige","Laendlicher Raum","0.64","0","291","0","0","1","2","4","0.49","0.79","0","4","0","1"
"1985","Sonstige","Staedtischer Raum","0.39","0","630","0","0","1","2","3","0.32","0.46","0","4","0","0"
"1986","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","0","0","480","0","0","0","0","0","0","0","0","0","0","0"
"1986","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","0","0","1930","0","0","0","0","0","0","0","0","0","0","0"
"1986","1-Pers.- Haushalt","Laendlicher Raum","0","0","171","0","0","0","0","0","0","0","0","0","0","0"
"1986","1-Pers.- Haushalt","Staedtischer Raum","0","0","908","0","0","0","0","0","0","0","0","0","0","0"
"1986","Alleinerziehende","Laendlicher Raum","0.39","0","151","0","0","1","1","1","0.31","0.47","0","1","0","0"
"1986","Alleinerziehende","Staedtischer Raum","0.58","0","561","0","0","1","2","4","0.5","0.66","0","4","0","0"
"1986","Paar mit Kind(ern)","Laendlicher Raum","0.98","0.5","1898","0","0","2","2","4","0.93","1.03","0","5","1","1"
