"year","sampreg","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"1984","Ostdeutschland","","","","","","","","","","","","","",""
"1984","Westdeutschland","0.59","0","16176","0","0","1","2","3","0.57","0.61","0","7","0","0"
"1985","Ostdeutschland","","","","","","","","","","","","","",""
"1985","Westdeutschland","0.54","0","14598","0","0","1","2","3","0.52","0.56","0","7","0","0"
"1986","Ostdeutschland","","","","","","","","","","","","","",""
"1986","Westdeutschland","0.55","0","13894","0","0","1","2","4","0.53","0.57","0","6","0","0"
"1987","Ostdeutschland","","","","","","","","","","","","","",""
"1987","Westdeutschland","0.56","0","13642","0","0","1","2","3","0.54","0.58","0","7","0","0"
"1988","Ostdeutschland","","","","","","","","","","","","","",""
"1988","Westdeutschland","0.56","0","13013","0","0","1","2","4","0.54","0.58","0","7","0","0"
"1989","Ostdeutschland","","","","","","","","","","","","","",""
"1989","Westdeutschland","0.58","0","12594","0","0","1","2","4","0.56","0.6","0","8","0","0"
"1990","Ostdeutschland","0.69","0","6101","0","0","1","2","3","0.67","0.71","0","5","1","1"
"1990","Westdeutschland","0.61","0","12433","0","0","1","2","4","0.59","0.63","0","6","0","0"
"1991","Ostdeutschland","0.7","0","5667","0","0","1","2","3","0.67","0.73","0","5","1","1"
"1991","Westdeutschland","0.62","0","12477","0","0","1","2","4","0.6","0.64","0","7","0","0"
"1992","Ostdeutschland","0.68","0","5401","0","0","1","2","3","0.65","0.71","0","5","0","1"
"1992","Westdeutschland","0.63","0","12441","0","0","1","2","4","0.61","0.65","0","6","0","0"
"1993","Ostdeutschland","0.67","0","5167","0","0","1","2","3","0.64","0.7","0","5","0","1"
"1993","Westdeutschland","0.63","0","12361","0","0","1","2","4","0.61","0.65","0","6","0","0"
"1994","Ostdeutschland","0.63","0","5032","0","0","1","2","3","0.6","0.66","0","5","0","0"
"1994","Westdeutschland","0.64","0","12106","0","0","1","2","4","0.62","0.66","0","5","0","0"
"1995","Ostdeutschland","0.59","0","4861","0","0","1","2","3","0.57","0.61","0","4","0","0"
"1995","Westdeutschland","0.65","0","12851","0","0","1","2","4","0.63","0.67","0","8","0","0"
"1996","Ostdeutschland","0.57","0","4797","0","0","1","2","3","0.55","0.59","0","4","0","0"
"1996","Westdeutschland","0.65","0","12542","0","0","1","2","4","0.63","0.67","0","7","0","0"
"1997","Ostdeutschland","0.55","0","4683","0","0","1","2","3","0.53","0.57","0","4","0","0"
"1997","Westdeutschland","0.65","0","12324","0","0","1","2","4","0.63","0.67","0","7","0","0"
"1998","Ostdeutschland","0.53","0","4934","0","0","1","2","3","0.51","0.55","0","4","0","0"
"1998","Westdeutschland","0.65","0","13822","0","0","1","2","4","0.63","0.67","0","6","0","0"
