"year","regtyp","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"1985","Laendlicher Raum","0.61","0","3140","0.57","0.65"
"1985","Staedtischer Raum","0.52","0","11458","0.5","0.54"
"1986","Laendlicher Raum","0.62","0","2998","0.58","0.66"
"1986","Staedtischer Raum","0.53","0","10896","0.51","0.55"
"1987","Laendlicher Raum","0.65","0","2939","0.61","0.69"
"1987","Staedtischer Raum","0.53","0","10703","0.51","0.55"
"1988","Laendlicher Raum","0.64","0","2757","0.6","0.68"
"1988","Staedtischer Raum","0.54","0","10256","0.52","0.56"
"1989","Laendlicher Raum","0.65","0","2613","0.6","0.7"
"1989","Staedtischer Raum","0.56","0","9981","0.54","0.58"
"1990","Laendlicher Raum","0.66","0","6545","0.63","0.69"
"1990","Staedtischer Raum","0.61","0","11859","0.59","0.63"
"1991","Laendlicher Raum","0.69","0","6380","0.66","0.72"
"1991","Staedtischer Raum","0.61","0","11629","0.59","0.63"
"1992","Laendlicher Raum","0.71","0","6141","0.68","0.74"
"1992","Staedtischer Raum","0.61","0","11522","0.59","0.63"
"1993","Laendlicher Raum","0.68","0","6119","0.65","0.71"
"1993","Staedtischer Raum","0.61","0","11409","0.59","0.63"
"1994","Laendlicher Raum","0.67","0","5997","0.64","0.7"
"1994","Staedtischer Raum","0.62","0","11141","0.6","0.64"
"1995","Laendlicher Raum","0.68","0","6204","0.66","0.7"
"1995","Staedtischer Raum","0.62","0","11508","0.6","0.64"
"1996","Laendlicher Raum","0.66","0","6074","0.64","0.68"
"1996","Staedtischer Raum","0.62","0","11265","0.6","0.64"
"1997","Laendlicher Raum","0.67","0","5973","0.65","0.69"
"1997","Staedtischer Raum","0.61","0","11033","0.59","0.63"
"1998","Laendlicher Raum","0.68","0","6619","0.66","0.7"
"1998","Staedtischer Raum","0.61","0","12137","0.59","0.63"
"1999","Laendlicher Raum","0.65","0","6371","0.63","0.67"
"1999","Staedtischer Raum","0.6","0","11617","0.58","0.62"
"2000","Laendlicher Raum","0.6","0","11149","0.58","0.62"
"2000","Staedtischer Raum","0.59","0","20658","0.58","0.6"
"2001","Laendlicher Raum","0.57","0","9976","0.55","0.59"
"2001","Staedtischer Raum","0.58","0","18752","0.57","0.59"
"2002","Laendlicher Raum","0.57","0","10123","0.55","0.59"
"2002","Staedtischer Raum","0.56","0","19993","0.55","0.57"
"2003","Laendlicher Raum","0.54","0","9640","0.52","0.56"
"2003","Staedtischer Raum","0.56","0","19152","0.55","0.57"
"2004","Laendlicher Raum","0.52","0","9366","0.5","0.54"
"2004","Staedtischer Raum","0.53","0","18565","0.52","0.54"
"2005","Laendlicher Raum","0.51","0","8954","0.49","0.53"
"2005","Staedtischer Raum","0.52","0","17752","0.51","0.53"
"2006","Laendlicher Raum","0.52","0","9853","0.5","0.54"
"2006","Staedtischer Raum","0.52","0","18815","0.51","0.53"
"2007","Laendlicher Raum","0.49","0","9163","0.47","0.51"
"2007","Staedtischer Raum","0.51","0","17455","0.5","0.52"
"2008","Laendlicher Raum","0.48","0","8563","0.46","0.5"
"2008","Staedtischer Raum","0.5","0","16314","0.49","0.51"
"2009","Laendlicher Raum","0.49","0","8182","0.47","0.51"
"2009","Staedtischer Raum","0.47","0","15039","0.46","0.48"
"2010","Laendlicher Raum","0.47","0","13142","0.45","0.49"
"2010","Staedtischer Raum","0.48","0","24326","0.46","0.5"
"2011","Laendlicher Raum","0.47","0","15821","0.45","0.49"
"2011","Staedtischer Raum","0.48","0","28180","0.47","0.49"
"2012","Laendlicher Raum","0.45","0","15455","0.43","0.47"
"2012","Staedtischer Raum","0.48","0","26951","0.47","0.49"
"2013","Laendlicher Raum","0.43","0","16152","0.41","0.45"
"2013","Staedtischer Raum","0.48","0","31513","0.47","0.49"
"2014","Laendlicher Raum","0.44","0","14364","0.42","0.46"
"2014","Staedtischer Raum","0.48","0","27143","0.47","0.49"
"2015","Laendlicher Raum","0.46","0","14124","0.44","0.48"
"2015","Staedtischer Raum","0.47","0","26928","0.46","0.48"
"2016","Laendlicher Raum","0.47","0","15361","0.45","0.49"
"2016","Staedtischer Raum","0.49","0","29727","0.47","0.51"
"2017","Laendlicher Raum","0.47","0","17162","0.45","0.49"
"2017","Staedtischer Raum","0.51","0","32991","0.5","0.52"
"2018","Laendlicher Raum","0.47","0","15974","0.45","0.49"
"2018","Staedtischer Raum","0.49","0","32169","0.48","0.5"
"2019","Laendlicher Raum","0.47","0","15955","0.45","0.49"
"2019","Staedtischer Raum","0.51","0","31907","0.5","0.52"
"2020","Laendlicher Raum","0.51","0","15663","0.49","0.53"
"2020","Staedtischer Raum","0.5","0","34268","0.49","0.51"
