,Unnamed: 0,year,quintil_oecd_hh,hgroom,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1984,1st Quintile,1 room,0.10942,101,5600,0.10196,0.11859
1,1,1984,1st Quintile,2 rooms,0.30033,291,5600,0.27929,0.31945
2,2,1984,1st Quintile,3 rooms,0.33562,448,5600,0.30839,0.35566
3,3,1984,1st Quintile,4 rooms,0.14141,192,5600,0.12722,0.1538
4,4,1984,1st Quintile,5 rooms,0.07209,96,5600,0.06381,0.07943
5,5,1984,1st Quintile,6 rooms,0.04113,46,5600,0.03635,0.04575
6,6,1984,2nd Quintile,1 room,0.04635,53,5600,0.03768,0.05372
7,7,1984,2nd Quintile,2 rooms,0.22141,241,5600,0.20304,0.24242
8,8,1984,2nd Quintile,3 rooms,0.39836,452,5600,0.37576,0.42026
9,9,1984,2nd Quintile,4 rooms,0.19343,245,5600,0.18187,0.20548
10,10,1984,2nd Quintile,5 rooms,0.08461,101,5600,0.07882,0.0914
11,11,1984,2nd Quintile,6 rooms,0.05584,57,5600,0.05296,0.05906
12,12,1984,3rd Quintile,1 room,0.04987,57,5600,0.04234,0.05705
13,13,1984,3rd Quintile,2 rooms,0.22233,227,5600,0.20647,0.23885
14,14,1984,3rd Quintile,3 rooms,0.35367,431,5600,0.33429,0.37205
15,15,1984,3rd Quintile,4 rooms,0.2076,235,5600,0.19721,0.21742
16,16,1984,3rd Quintile,5 rooms,0.10715,115,5600,0.10051,0.11216
17,17,1984,3rd Quintile,6 rooms,0.05939,62,5600,0.05482,0.06381
18,18,1984,4th Quintile,1 room,0.05431,59,5600,0.04663,0.06322
19,19,1984,4th Quintile,2 rooms,0.1821,200,5600,0.16615,0.19628
20,20,1984,4th Quintile,3 rooms,0.33606,399,5600,0.31634,0.35643
21,21,1984,4th Quintile,4 rooms,0.2307,261,5600,0.21986,0.24229
22,22,1984,4th Quintile,5 rooms,0.13186,148,5600,0.12417,0.13869
23,23,1984,4th Quintile,6 rooms,0.06496,66,5600,0.06155,0.06806
24,24,1984,5th Quintile,2 rooms,0.17627,183,5600,0.16154,0.18971
25,25,1984,5th Quintile,3 rooms,0.31826,335,5600,0.30368,0.33386
26,26,1984,5th Quintile,4 rooms,0.25464,251,5600,0.24449,0.2638
27,27,1984,5th Quintile,5 rooms,0.13587,138,5600,0.12974,0.14095
28,28,1984,5th Quintile,6 rooms,0.08108,78,5600,0.07664,0.08498
29,29,1984,5th Quintile,7 rooms,0.03388,32,5600,0.03073,0.03649
30,30,1985,1st Quintile,1 room,0.11032,86,5027,0.09674,0.12288
31,31,1985,1st Quintile,2 rooms,0.28625,243,5027,0.26288,0.3079
32,32,1985,1st Quintile,3 rooms,0.3526,405,5027,0.32909,0.38043
33,33,1985,1st Quintile,4 rooms,0.15103,189,5027,0.13581,0.16496
34,34,1985,1st Quintile,5 rooms,0.06558,81,5027,0.05718,0.07328
35,35,1985,1st Quintile,6 rooms,0.03423,39,5027,0.02825,0.03909
36,36,1985,2nd Quintile,1 room,0.04536,36,5027,0.03782,0.05251
37,37,1985,2nd Quintile,2 rooms,0.22766,203,5027,0.2071,0.24624
38,38,1985,2nd Quintile,3 rooms,0.40383,439,5027,0.37853,0.43185
39,39,1985,2nd Quintile,4 rooms,0.18824,218,5027,0.17381,0.20234
40,40,1985,2nd Quintile,5 rooms,0.07824,87,5027,0.0716,0.0847
41,41,1985,2nd Quintile,6 rooms,0.05667,52,5027,0.0505,0.06136
42,42,1985,3rd Quintile,1 room,0.05206,55,5027,0.04202,0.0647
43,43,1985,3rd Quintile,2 rooms,0.22502,206,5027,0.20464,0.24409
44,44,1985,3rd Quintile,3 rooms,0.33379,353,5027,0.30716,0.3566
45,45,1985,3rd Quintile,4 rooms,0.21589,232,5027,0.20095,0.22725
46,46,1985,3rd Quintile,5 rooms,0.10524,109,5027,0.09874,0.11158
47,47,1985,3rd Quintile,6 rooms,0.068,66,5027,0.0629,0.07268
48,48,1985,4th Quintile,1 room,0.05287,53,5027,0.04548,0.06134
49,49,1985,4th Quintile,2 rooms,0.17603,166,5027,0.16083,0.1916
50,50,1985,4th Quintile,3 rooms,0.33261,351,5027,0.31212,0.35289
51,51,1985,4th Quintile,4 rooms,0.20355,219,5027,0.18993,0.2132
52,52,1985,4th Quintile,5 rooms,0.13245,146,5027,0.12429,0.142
53,53,1985,4th Quintile,6 rooms,0.07209,71,5027,0.06805,0.07611
54,54,1985,4th Quintile,7 rooms,0.0304,32,5027,0.02698,0.03348
55,55,1985,5th Quintile,2 rooms,0.19143,160,5027,0.17544,0.20587
56,56,1985,5th Quintile,3 rooms,0.3102,285,5027,0.29344,0.32543
57,57,1985,5th Quintile,4 rooms,0.2696,237,5027,0.26102,0.28179
58,58,1985,5th Quintile,5 rooms,0.15509,138,5027,0.14644,0.16301
59,59,1985,5th Quintile,6 rooms,0.07368,70,5027,0.06895,0.07835
60,60,1986,1st Quintile,1 room,0.11254,83,4796,0.10064,0.12251
61,61,1986,1st Quintile,2 rooms,0.29809,235,4796,0.27629,0.32557
62,62,1986,1st Quintile,3 rooms,0.34937,372,4796,0.32295,0.3787
63,63,1986,1st Quintile,4 rooms,0.14106,166,4796,0.1253,0.15685
64,64,1986,1st Quintile,5 rooms,0.0572,65,4796,0.05025,0.06543
65,65,1986,1st Quintile,6 rooms,0.04174,43,4796,0.03649,0.04725
66,66,1986,2nd Quintile,1 room,0.04842,37,4796,0.03866,0.05794
67,67,1986,2nd Quintile,2 rooms,0.20736,177,4796,0.18294,0.22923
68,68,1986,2nd Quintile,3 rooms,0.37204,381,4796,0.34462,0.39862
69,69,1986,2nd Quintile,4 rooms,0.20804,225,4796,0.19044,0.22209
70,70,1986,2nd Quintile,5 rooms,0.09962,101,4796,0.09153,0.11118
71,71,1986,2nd Quintile,6 rooms,0.06453,61,4796,0.05735,0.07139
72,72,1986,3rd Quintile,1 room,0.05442,50,4796,0.04488,0.06471
73,73,1986,3rd Quintile,2 rooms,0.21972,194,4796,0.20251,0.23945
74,74,1986,3rd Quintile,3 rooms,0.3391,358,4796,0.31988,0.35953
75,75,1986,3rd Quintile,4 rooms,0.19409,204,4796,0.18037,0.2054
76,76,1986,3rd Quintile,5 rooms,0.10081,114,4796,0.09294,0.10754
77,77,1986,3rd Quintile,6 rooms,0.0628,62,4796,0.05814,0.06708
78,78,1986,3rd Quintile,7 rooms,0.02906,32,4796,0.0253,0.03316
79,79,1986,4th Quintile,1 room,0.06536,55,4796,0.05657,0.07373
80,80,1986,4th Quintile,2 rooms,0.23025,192,4796,0.20999,0.24712
81,81,1986,4th Quintile,3 rooms,0.33065,342,4796,0.31079,0.35217
82,82,1986,4th Quintile,4 rooms,0.20034,216,4796,0.18529,0.21161
83,83,1986,4th Quintile,5 rooms,0.11443,119,4796,0.10747,0.12181
84,84,1986,4th Quintile,6 rooms,0.05898,59,4796,0.05446,0.06298
85,85,1986,5th Quintile,2 rooms,0.13246,109,4796,0.11691,0.14696
86,86,1986,5th Quintile,3 rooms,0.34245,293,4796,0.32339,0.35904
87,87,1986,5th Quintile,4 rooms,0.27262,226,4796,0.25883,0.28508
88,88,1986,5th Quintile,5 rooms,0.15317,139,4796,0.144,0.16254
89,89,1986,5th Quintile,6 rooms,0.0993,86,4796,0.09388,0.10546
90,90,1987,1st Quintile,1 room,0.13052,89,4676,0.1147,0.14318
91,91,1987,1st Quintile,2 rooms,0.26404,210,4676,0.24552,0.28657
92,92,1987,1st Quintile,3 rooms,0.37067,367,4676,0.34042,0.39565
93,93,1987,1st Quintile,4 rooms,0.13526,150,4676,0.12231,0.15116
94,94,1987,1st Quintile,5 rooms,0.05659,58,4676,0.049,0.06366
95,95,1987,1st Quintile,6 rooms,0.04292,41,4676,0.03777,0.04766
96,96,1987,2nd Quintile,2 rooms,0.24497,185,4676,0.22314,0.26828
97,97,1987,2nd Quintile,3 rooms,0.4142,400,4676,0.38432,0.44175
98,98,1987,2nd Quintile,4 rooms,0.19022,210,4676,0.17346,0.20555
99,99,1987,2nd Quintile,5 rooms,0.10196,98,4676,0.09223,0.11124
100,100,1987,2nd Quintile,6 rooms,0.04865,47,4676,0.04318,0.05418
101,101,1987,3rd Quintile,1 room,0.05167,49,4676,0.04088,0.06315
102,102,1987,3rd Quintile,2 rooms,0.22963,180,4676,0.20715,0.24935
103,103,1987,3rd Quintile,3 rooms,0.32456,343,4676,0.29769,0.35096
104,104,1987,3rd Quintile,4 rooms,0.21185,219,4676,0.1984,0.22633
