year,quintil_oecd_hh,sampreg,hgroom,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,1st Quintile,West,1 room,0.10596,102,1180,0.08839,0.12352
1984,1st Quintile,West,2 rooms,0.29476,291,1180,0.26874,0.32079
1984,1st Quintile,West,3 rooms,0.32283,449,1180,0.29615,0.34952
1984,1st Quintile,West,4 rooms,0.13757,194,1180,0.11791,0.15723
1984,1st Quintile,West,5 rooms,0.07296,99,1180,0.05811,0.08780
1984,1st Quintile,West,6 rooms,0.03911,45,1180,0.02804,0.05017
1984,2nd Quintile,West,1 room,0.04275,50,1148,0.03105,0.05446
1984,2nd Quintile,West,2 rooms,0.20969,239,1148,0.18613,0.23325
1984,2nd Quintile,West,3 rooms,0.38083,453,1148,0.35273,0.40893
1984,2nd Quintile,West,4 rooms,0.18961,249,1148,0.16693,0.21230
1984,2nd Quintile,West,5 rooms,0.07800,99,1148,0.06248,0.09352
1984,2nd Quintile,West,6 rooms,0.05403,58,1148,0.04094,0.06711
1984,3rd Quintile,West,1 room,0.04957,58,1128,0.03690,0.06224
1984,3rd Quintile,West,2 rooms,0.21039,227,1128,0.18659,0.23419
1984,3rd Quintile,West,3 rooms,0.34422,434,1128,0.31648,0.37196
1984,3rd Quintile,West,4 rooms,0.19449,235,1128,0.17139,0.21760
1984,3rd Quintile,West,5 rooms,0.10527,117,1128,0.08735,0.12319
1984,3rd Quintile,West,6 rooms,0.05300,57,1128,0.03992,0.06608
1984,4th Quintile,West,1 room,0.05153,60,1125,0.03861,0.06446
1984,4th Quintile,West,2 rooms,0.17331,199,1125,0.15118,0.19544
1984,4th Quintile,West,3 rooms,0.31227,394,1125,0.28518,0.33937
1984,4th Quintile,West,4 rooms,0.21899,257,1125,0.19481,0.24317
1984,4th Quintile,West,5 rooms,0.12390,147,1125,0.10464,0.14316
1984,4th Quintile,West,6 rooms,0.06436,68,1125,0.05001,0.07870
1984,5th Quintile,West,2 rooms,0.16660,186,1019,0.14371,0.18949
1984,5th Quintile,West,3 rooms,0.30284,335,1019,0.27462,0.33107
1984,5th Quintile,West,4 rooms,0.23840,249,1019,0.21223,0.26458
1984,5th Quintile,West,5 rooms,0.12609,136,1019,0.10570,0.14648
1984,5th Quintile,West,6 rooms,0.07754,81,1019,0.06111,0.09397
1984,5th Quintile,West,7 rooms,0.03197,32,1019,0.02116,0.04277
1985,1st Quintile,West,1 room,0.11005,88,1048,0.09110,0.12901
1985,1st Quintile,West,2 rooms,0.28148,245,1048,0.25424,0.30872
1985,1st Quintile,West,3 rooms,0.34080,408,1048,0.31209,0.36951
1985,1st Quintile,West,4 rooms,0.14531,189,1048,0.12396,0.16665
1985,1st Quintile,West,5 rooms,0.06201,80,1048,0.04740,0.07662
1985,1st Quintile,West,6 rooms,0.03323,38,1048,0.02237,0.04409
1985,2nd Quintile,West,1 room,0.04162,35,1027,0.02940,0.05384
1985,2nd Quintile,West,2 rooms,0.23268,215,1027,0.20683,0.25854
1985,2nd Quintile,West,3 rooms,0.36779,419,1027,0.33828,0.39730
1985,2nd Quintile,West,4 rooms,0.19062,226,1027,0.16658,0.21465
1985,2nd Quintile,West,5 rooms,0.06936,82,1027,0.05382,0.08491
1985,2nd Quintile,West,6 rooms,0.05088,50,1027,0.03743,0.06433
1985,3rd Quintile,West,1 room,0.04957,55,1035,0.03634,0.06280
1985,3rd Quintile,West,2 rooms,0.19563,192,1035,0.17145,0.21981
1985,3rd Quintile,West,3 rooms,0.34229,383,1035,0.31337,0.37121
1985,3rd Quintile,West,4 rooms,0.18564,219,1035,0.16194,0.20934
1985,3rd Quintile,West,5 rooms,0.10811,116,1035,0.08918,0.12704
1985,3rd Quintile,West,6 rooms,0.06825,70,1035,0.05288,0.08362
1985,4th Quintile,West,1 room,0.05386,54,994,0.03982,0.06790
1985,4th Quintile,West,2 rooms,0.18393,173,994,0.15983,0.20802
1985,4th Quintile,West,3 rooms,0.30890,331,994,0.28016,0.33764
