,Unnamed: 0,year,quintil_oecd_hh,rentown,hgroom,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1984,1st Quintile,Owner,2 rooms,0.15486,31,5442,0.14242,0.16539
1,1,1984,1st Quintile,Owner,3 rooms,0.28975,67,5442,0.2741,0.30963
2,2,1984,1st Quintile,Owner,4 rooms,0.25559,63,5442,0.23678,0.27512
3,3,1984,1st Quintile,Owner,5 rooms,0.17267,50,5442,0.15682,0.18891
4,4,1984,1st Quintile,Owner,6 rooms,0.12712,33,5442,0.12076,0.13595
5,5,1984,1st Quintile,Tenant,1 room,0.14628,98,5442,0.13379,0.15876
6,6,1984,1st Quintile,Tenant,2 rooms,0.36136,260,5442,0.33239,0.38881
7,7,1984,1st Quintile,Tenant,3 rooms,0.35865,381,5442,0.32928,0.39681
8,8,1984,1st Quintile,Tenant,4 rooms,0.09942,129,5442,0.08539,0.11209
9,9,1984,1st Quintile,Tenant,5 rooms,0.03428,46,5442,0.02635,0.04136
10,10,1984,2nd Quintile,Owner,3 rooms,0.31924,82,5442,0.29539,0.34161
11,11,1984,2nd Quintile,Owner,4 rooms,0.34161,113,5442,0.32368,0.36123
12,12,1984,2nd Quintile,Owner,5 rooms,0.18229,59,5442,0.1739,0.19064
13,13,1984,2nd Quintile,Owner,6 rooms,0.15685,48,5442,0.14827,0.16453
14,14,1984,2nd Quintile,Tenant,1 room,0.06839,51,5442,0.05696,0.07974
15,15,1984,2nd Quintile,Tenant,2 rooms,0.28889,215,5442,0.26213,0.32199
16,16,1984,2nd Quintile,Tenant,3 rooms,0.46516,370,5442,0.43669,0.49748
17,17,1984,2nd Quintile,Tenant,4 rooms,0.1347,132,5442,0.1185,0.15112
18,18,1984,2nd Quintile,Tenant,5 rooms,0.04287,42,5442,0.03558,0.05029
19,19,1984,3rd Quintile,Owner,3 rooms,0.27007,87,5442,0.25204,0.28774
20,20,1984,3rd Quintile,Owner,4 rooms,0.32682,113,5442,0.31077,0.34301
21,21,1984,3rd Quintile,Owner,5 rooms,0.25075,84,5442,0.24147,0.26018
22,22,1984,3rd Quintile,Owner,6 rooms,0.15235,52,5442,0.14386,0.161
23,23,1984,3rd Quintile,Tenant,1 room,0.07228,54,5442,0.06105,0.08457
24,24,1984,3rd Quintile,Tenant,2 rooms,0.31959,209,5442,0.29075,0.34239
25,25,1984,3rd Quintile,Tenant,3 rooms,0.4194,344,5442,0.3911,0.44713
26,26,1984,3rd Quintile,Tenant,4 rooms,0.1541,122,5442,0.13936,0.16906
27,27,1984,3rd Quintile,Tenant,5 rooms,0.03463,31,5442,0.02705,0.04194
28,28,1984,4th Quintile,Owner,3 rooms,0.22183,77,5442,0.20424,0.23846
29,29,1984,4th Quintile,Owner,4 rooms,0.33585,120,5442,0.31938,0.34973
30,30,1984,4th Quintile,Owner,5 rooms,0.29926,117,5442,0.28402,0.31446
31,31,1984,4th Quintile,Owner,6 rooms,0.14306,52,5442,0.13611,0.15112
32,32,1984,4th Quintile,Tenant,1 room,0.08205,55,5442,0.06802,0.0941
33,33,1984,4th Quintile,Tenant,2 rooms,0.26971,182,5442,0.24724,0.29085
34,34,1984,4th Quintile,Tenant,3 rooms,0.42939,322,5442,0.3995,0.45901
35,35,1984,4th Quintile,Tenant,4 rooms,0.18141,141,5442,0.16473,0.19801
36,36,1984,4th Quintile,Tenant,5 rooms,0.03744,31,5442,0.0306,0.04546
37,37,1984,5th Quintile,Owner,3 rooms,0.25298,112,5442,0.23932,0.26863
38,38,1984,5th Quintile,Owner,4 rooms,0.32298,150,5442,0.31222,0.33189
39,39,1984,5th Quintile,Owner,5 rooms,0.20785,104,5442,0.19828,0.21872
40,40,1984,5th Quintile,Owner,6 rooms,0.14913,70,5442,0.14138,0.1567
41,41,1984,5th Quintile,Owner,7 rooms,0.06706,31,5442,0.06215,0.07208
42,42,1984,5th Quintile,Tenant,2 rooms,0.30526,154,5442,0.2754,0.32961
43,43,1984,5th Quintile,Tenant,3 rooms,0.41655,223,5442,0.38694,0.44302
44,44,1984,5th Quintile,Tenant,4 rooms,0.20586,101,5442,0.18984,0.22442
45,45,1984,5th Quintile,Tenant,5 rooms,0.07233,34,5442,0.06941,0.07585
46,46,1985,1st Quintile,Owner,3 rooms,0.37978,53,4767,0.34682,0.41793
47,47,1985,1st Quintile,Owner,4 rooms,0.38535,68,4767,0.34989,0.42397
48,48,1985,1st Quintile,Owner,5 rooms,0.23486,44,4767,0.20923,0.26084
49,49,1985,1st Quintile,Tenant,1 room,0.15237,86,4767,0.13868,0.16542
50,50,1985,1st Quintile,Tenant,2 rooms,0.33319,216,4767,0.30512,0.36073
51,51,1985,1st Quintile,Tenant,3 rooms,0.38379,352,4767,0.35341,0.41686
52,52,1985,1st Quintile,Tenant,4 rooms,0.10388,121,4767,0.08693,0.11752
53,53,1985,1st Quintile,Tenant,5 rooms,0.02675,37,4767,0.01975,0.03399
54,54,1985,2nd Quintile,Owner,3 rooms,0.31706,77,4767,0.29307,0.34461
55,55,1985,2nd Quintile,Owner,4 rooms,0.32584,93,4767,0.30303,0.3489
56,56,1985,2nd Quintile,Owner,5 rooms,0.18487,54,4767,0.17034,0.19868
57,57,1985,2nd Quintile,Owner,6 rooms,0.17223,44,4767,0.15789,0.18973
58,58,1985,2nd Quintile,Tenant,1 room,0.06153,34,4767,0.04924,0.07305
59,59,1985,2nd Quintile,Tenant,2 rooms,0.29973,185,4767,0.26658,0.32684
60,60,1985,2nd Quintile,Tenant,3 rooms,0.46316,362,4767,0.42665,0.49248
61,61,1985,2nd Quintile,Tenant,4 rooms,0.1391,125,4767,0.12176,0.15338
62,62,1985,2nd Quintile,Tenant,5 rooms,0.03648,33,4767,0.02987,0.04323
63,63,1985,3rd Quintile,Owner,3 rooms,0.2616,72,4767,0.24232,0.27924
64,64,1985,3rd Quintile,Owner,4 rooms,0.33179,109,4767,0.31227,0.3466
65,65,1985,3rd Quintile,Owner,5 rooms,0.24069,81,4767,0.22429,0.25604
66,66,1985,3rd Quintile,Owner,6 rooms,0.16592,54,4767,0.15298,0.17747
67,67,1985,3rd Quintile,Tenant,1 room,0.07879,52,4767,0.06344,0.0968
68,68,1985,3rd Quintile,Tenant,2 rooms,0.33462,186,4767,0.30378,0.3696
69,69,1985,3rd Quintile,Tenant,3 rooms,0.41429,281,4767,0.38499,0.44436
70,70,1985,3rd Quintile,Tenant,4 rooms,0.1723,123,4767,0.15327,0.18977
71,71,1985,4th Quintile,Owner,3 rooms,0.23998,81,4767,0.21828,0.26027
72,72,1985,4th Quintile,Owner,4 rooms,0.3089,108,4767,0.29405,0.3241
