year,bula_h,rentown,hgroom,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,Owner,4 rooms,0.38433,37,37,0.22543,0.54323
1984,Schleswig-Holstein,Tenant,3 rooms,0.40576,43,43,0.25725,0.55427
1984,Hamburg,Tenant,2 rooms,0.32400,42,122,0.24062,0.40739
1984,Hamburg,Tenant,3 rooms,0.52879,80,122,0.43985,0.61773
1984,Lower Saxony,Owner,3 rooms,0.17667,43,209,0.12484,0.22850
1984,Lower Saxony,Owner,4 rooms,0.28357,73,209,0.22232,0.34483
1984,Lower Saxony,Owner,5 rooms,0.18792,52,209,0.13483,0.24101
1984,Lower Saxony,Owner,6 rooms,0.16329,41,209,0.11306,0.21352
1984,Lower Saxony,Tenant,2 rooms,0.29349,78,285,0.24053,0.34645
1984,Lower Saxony,Tenant,3 rooms,0.42274,150,285,0.36528,0.48019
1984,Lower Saxony,Tenant,4 rooms,0.14463,57,285,0.10372,0.18554
1984,North Rhine-Westphalia,Owner,3 rooms,0.21955,86,364,0.17696,0.26213
1984,North Rhine-Westphalia,Owner,4 rooms,0.27828,131,364,0.23218,0.32439
1984,North Rhine-Westphalia,Owner,5 rooms,0.18785,94,364,0.14766,0.22803
1984,North Rhine-Westphalia,Owner,6 rooms,0.11861,53,364,0.08535,0.15187
1984,North Rhine-Westphalia,Tenant,1 room,0.08165,85,1120,0.06561,0.09770
1984,North Rhine-Westphalia,Tenant,2 rooms,0.32935,329,1120,0.30182,0.35689
1984,North Rhine-Westphalia,Tenant,3 rooms,0.40290,489,1120,0.37416,0.43163
1984,North Rhine-Westphalia,Tenant,4 rooms,0.12968,170,1120,0.11000,0.14937
1984,North Rhine-Westphalia,Tenant,5 rooms,0.03203,47,1120,0.02171,0.04235
1984,Hesse,Owner,3 rooms,0.22633,37,82,0.13520,0.31746
1984,Hesse,Owner,4 rooms,0.25265,45,82,0.15802,0.34728
1984,Hesse,Tenant,1 room,0.08211,32,385,0.05465,0.10957
1984,Hesse,Tenant,2 rooms,0.25186,103,385,0.20845,0.29528
1984,Hesse,Tenant,3 rooms,0.41137,176,385,0.36215,0.46059
1984,Hesse,Tenant,4 rooms,0.18600,74,385,0.14708,0.22491
1984,"Rhineland-Palatinate, Saarland",Owner,4 rooms,0.22089,44,127,0.14846,0.29333
1984,"Rhineland-Palatinate, Saarland",Owner,5 rooms,0.20660,43,127,0.13591,0.27729
1984,"Rhineland-Palatinate, Saarland",Owner,6 rooms,0.19977,40,127,0.12995,0.26958
1984,"Rhineland-Palatinate, Saarland",Tenant,2 rooms,0.30651,56,134,0.22816,0.38487
1984,"Rhineland-Palatinate, Saarland",Tenant,3 rooms,0.36662,78,134,0.28473,0.44852
1984,Baden-Wuerttemberg,Owner,3 rooms,0.27387,97,326,0.22539,0.32236
1984,Baden-Wuerttemberg,Owner,4 rooms,0.25029,100,326,0.20320,0.29739
1984,Baden-Wuerttemberg,Owner,5 rooms,0.19438,78,326,0.15136,0.23740
1984,Baden-Wuerttemberg,Owner,6 rooms,0.12478,51,326,0.08885,0.16071
1984,Baden-Wuerttemberg,Tenant,1 room,0.07530,44,659,0.05513,0.09546
1984,Baden-Wuerttemberg,Tenant,2 rooms,0.28361,161,659,0.24917,0.31805
1984,Baden-Wuerttemberg,Tenant,3 rooms,0.40521,301,659,0.36770,0.44272
1984,Baden-Wuerttemberg,Tenant,4 rooms,0.15755,113,659,0.12972,0.18539
1984,Baden-Wuerttemberg,Tenant,5 rooms,0.05491,40,659,0.03750,0.07231
1984,Bavaria,Owner,3 rooms,0.24594,91,336,0.19983,0.29206
1984,Bavaria,Owner,4 rooms,0.27312,115,336,0.22541,0.32084
1984,Bavaria,Owner,5 rooms,0.22400,94,336,0.17935,0.26864
1984,Bavaria,Owner,6 rooms,0.08653,36,336,0.05642,0.11663
1984,Bavaria,Tenant,1 room,0.08737,41,571,0.06419,0.11055
1984,Bavaria,Tenant,2 rooms,0.25654,142,571,0.22069,0.29240
1984,Bavaria,Tenant,3 rooms,0.41215,242,571,0.37174,0.45256
1984,Bavaria,Tenant,4 rooms,0.16900,111,571,0.13824,0.19977
1984,Bavaria,Tenant,5 rooms,0.05783,35,571,0.03866,0.07699
1984,Berlin,Tenant,2 rooms,0.39410,74,167,0.31976,0.46844
1984,Berlin,Tenant,3 rooms,0.25518,57,167,0.18886,0.32150
1984,Berlin,Tenant,4 rooms,0.14358,36,167,0.09024,0.19693
1985,Schleswig-Holstein,Owner,4 rooms,0.36245,32,32,0.19323,0.53168
1985,Schleswig-Holstein,Tenant,3 rooms,0.40939,41,41,0.25701,0.56178
1985,Hamburg,Tenant,2 rooms,0.36388,46,118,0.27670,0.45106
1985,Hamburg,Tenant,3 rooms,0.47285,72,118,0.38238,0.56332
1985,Lower Saxony,Owner,3 rooms,0.17160,37,191,0.11799,0.22521
1985,Lower Saxony,Owner,4 rooms,0.27779,65,191,0.21410,0.34148
1985,Lower Saxony,Owner,5 rooms,0.19777,50,191,0.14113,0.25441
1985,Lower Saxony,Owner,6 rooms,0.16261,39,191,0.11014,0.21508
1985,Lower Saxony,Tenant,2 rooms,0.29010,65,249,0.23362,0.34658
1985,Lower Saxony,Tenant,3 rooms,0.43344,135,249,0.37176,0.49511
1985,Lower Saxony,Tenant,4 rooms,0.14502,49,249,0.10119,0.18884
1985,North Rhine-Westphalia,Owner,3 rooms,0.19969,72,338,0.15701,0.24237
1985,North Rhine-Westphalia,Owner,4 rooms,0.29258,127,338,0.24401,0.34116
1985,North Rhine-Westphalia,Owner,5 rooms,0.18291,86,338,0.14164,0.22419
