,Unnamed: 0,year,sampreg,hgroom,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1984,West,1 room,0.05587,299,5807,0.05266,0.05959
1,1,1984,West,2 rooms,0.21348,1149,5807,0.20711,0.22068
2,2,1984,West,3 rooms,0.33674,2073,5807,0.32839,0.345
3,3,1984,West,4 rooms,0.19689,1184,5807,0.19142,0.20213
4,4,1984,West,5 rooms,0.1018,598,5807,0.09854,0.1044
5,5,1984,West,6 rooms,0.05824,310,5807,0.05658,0.06023
6,6,1984,West,7 rooms,0.02315,123,5807,0.02201,0.02432
7,7,1984,West,8 rooms,0.01383,71,5807,0.01318,0.01477
8,8,1985,West,1 room,0.0582,261,5215,0.05383,0.06186
9,9,1985,West,2 rooms,0.21335,980,5215,0.20446,0.22144
10,10,1985,West,3 rooms,0.33346,1834,5215,0.32114,0.34152
11,11,1985,West,4 rooms,0.19676,1095,5215,0.19119,0.20162
12,12,1985,West,5 rooms,0.10282,562,5215,0.09956,0.10618
13,13,1985,West,6 rooms,0.05837,298,5215,0.05582,0.06038
14,14,1985,West,7 rooms,0.02414,122,5215,0.0228,0.02534
15,15,1985,West,8 rooms,0.01291,63,5215,0.01201,0.01397
16,16,1986,West,1 room,0.06208,254,4990,0.05785,0.06644
17,17,1986,West,2 rooms,0.21026,908,4990,0.2026,0.22023
18,18,1986,West,3 rooms,0.33237,1746,4990,0.32297,0.34253
19,19,1986,West,4 rooms,0.19365,1037,4990,0.18823,0.2002
20,20,1986,West,5 rooms,0.09989,538,4990,0.0969,0.10354
21,21,1986,West,6 rooms,0.06222,311,4990,0.05985,0.06463
22,22,1986,West,7 rooms,0.02383,120,4990,0.02207,0.02517
23,23,1986,West,8 rooms,0.0157,76,4990,0.01456,0.01677
24,24,1987,West,1 room,0.06153,244,4929,0.05689,0.06587
25,25,1987,West,2 rooms,0.20955,896,4929,0.2009,0.21798
26,26,1987,West,3 rooms,0.33065,1709,4929,0.32178,0.34056
27,27,1987,West,4 rooms,0.19455,1028,4929,0.18756,0.20023
28,28,1987,West,5 rooms,0.10584,561,4929,0.10205,0.10958
29,29,1987,West,6 rooms,0.05969,297,4929,0.05754,0.06189
30,30,1987,West,7 rooms,0.02383,123,4929,0.02214,0.02528
31,31,1987,West,8 rooms,0.01435,71,4929,0.01334,0.01539
32,32,1988,West,1 room,0.05997,223,4721,0.05485,0.06414
33,33,1988,West,2 rooms,0.20795,849,4721,0.19927,0.21592
34,34,1988,West,3 rooms,0.33489,1654,4721,0.32526,0.34472
35,35,1988,West,4 rooms,0.18963,970,4721,0.18378,0.19534
36,36,1988,West,5 rooms,0.10456,526,4721,0.10061,0.10771
37,37,1988,West,6 rooms,0.06541,308,4721,0.06305,0.06801
38,38,1988,West,7 rooms,0.02387,121,4721,0.02241,0.02543
39,39,1988,West,8 rooms,0.01373,70,4721,0.0125,0.01491
40,40,1989,West,1 room,0.05627,206,4600,0.05242,0.06093
41,41,1989,West,2 rooms,0.21263,848,4600,0.20406,0.2215
42,42,1989,West,3 rooms,0.3256,1578,4600,0.31577,0.33557
43,43,1989,West,4 rooms,0.19446,955,4600,0.18722,0.20174
44,44,1989,West,5 rooms,0.10687,518,4600,0.10291,0.11068
45,45,1989,West,6 rooms,0.06564,305,4600,0.06259,0.0682
46,46,1989,West,7 rooms,0.02398,118,4600,0.02212,0.02545
47,47,1989,West,8 rooms,0.01456,72,4600,0.01319,0.01592
48,48,1990,West,1 room,0.05661,203,6673,0.0522,0.06115
49,49,1990,West,2 rooms,0.21106,824,6673,0.20117,0.21998
50,50,1990,West,3 rooms,0.32846,1579,6673,0.31666,0.34023
51,51,1990,West,4 rooms,0.18969,934,6673,0.18333,0.19492
52,52,1990,West,5 rooms,0.10833,509,6673,0.10444,0.11309
53,53,1990,West,6 rooms,0.06674,303,6673,0.06355,0.07007
54,54,1990,West,7 rooms,0.02541,125,6673,0.02355,0.02733
55,55,1990,West,8 rooms,0.0137,70,6673,0.01251,0.01516
56,56,1990,East,1 room,0.0716,83,6673,0.06555,0.07638
57,57,1990,East,2 rooms,0.29309,466,6673,0.2798,0.30549
58,58,1990,East,3 rooms,0.37964,882,6673,0.36789,0.39264
59,59,1990,East,4 rooms,0.16625,446,6673,0.15883,0.17309
60,60,1990,East,5 rooms,0.0651,177,6673,0.06058,0.06995
61,61,1990,East,6 rooms,0.02432,72,6673,0.02203,0.02683
62,62,1991,West,1 room,0.05361,199,6560,0.04931,0.05864
