year,hhtyp,hgroom,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Single-person household,1 room,0.15743,256,1240,0.13715,0.17771
1984,Single-person household,2 rooms,0.41417,525,1240,0.38674,0.44160
1984,Single-person household,3 rooms,0.31328,373,1240,0.28745,0.33911
1984,Single-person household,4 rooms,0.07583,86,1240,0.06109,0.09057
1984,Couple without children,2 rooms,0.22371,352,1305,0.20109,0.24633
1984,Couple without children,3 rooms,0.40644,537,1305,0.37978,0.43309
1984,Couple without children,4 rooms,0.21601,269,1305,0.19368,0.23835
1984,Couple without children,5 rooms,0.08237,100,1305,0.06745,0.09729
1984,Couple without children,6 rooms,0.04058,47,1305,0.02987,0.05129
1984,Single parent,2 rooms,0.13281,57,295,0.09401,0.17160
1984,Single parent,3 rooms,0.43219,142,295,0.37556,0.48881
1984,Single parent,4 rooms,0.21063,61,295,0.16402,0.25724
1984,Single parent,5 rooms,0.11131,35,295,0.07536,0.14726
1984,Couple with children,2 rooms,0.03580,195,2586,0.02864,0.04297
1984,Couple with children,3 rooms,0.28756,940,2586,0.27011,0.30501
1984,Couple with children,4 rooms,0.29431,714,2586,0.27674,0.31188
1984,Couple with children,5 rooms,0.18458,399,2586,0.16962,0.19953
1984,Couple with children,6 rooms,0.10487,204,2586,0.09306,0.11668
1984,Couple with children,7 rooms,0.04446,84,2586,0.03651,0.05240
1984,Couple with children,8 rooms,0.02722,50,2586,0.02095,0.03349
1984,Other Combinations,3 rooms,0.38430,52,52,0.25079,0.51780
1985,Single-person household,1 room,0.16235,228,1094,0.14049,0.18421
1985,Single-person household,2 rooms,0.40240,455,1094,0.37333,0.43148
1985,Single-person household,3 rooms,0.31434,331,1094,0.28681,0.34186
1985,Single-person household,4 rooms,0.07839,80,1094,0.06246,0.09433
1985,Couple without children,2 rooms,0.21250,298,1184,0.18919,0.23581
1985,Couple without children,3 rooms,0.40684,490,1184,0.37884,0.43483
1985,Couple without children,4 rooms,0.22239,255,1184,0.19869,0.24609
1985,Couple without children,5 rooms,0.08685,95,1184,0.07081,0.10290
1985,Couple without children,6 rooms,0.04314,46,1184,0.03156,0.05471
1985,Single parent,2 rooms,0.13143,47,264,0.09060,0.17227
1985,Single parent,3 rooms,0.39556,120,264,0.33647,0.45466
1985,Single parent,4 rooms,0.23031,63,264,0.17942,0.28119
1985,Single parent,5 rooms,0.12695,34,264,0.08672,0.16719
1985,Couple with children,2 rooms,0.03577,158,2326,0.02822,0.04332
1985,Couple with children,3 rooms,0.27988,818,2326,0.26163,0.29813
1985,Couple with children,4 rooms,0.29336,651,2326,0.27485,0.31186
1985,Couple with children,5 rooms,0.18579,371,2326,0.16998,0.20160
1985,Couple with children,6 rooms,0.10885,198,2326,0.09619,0.12151
1985,Couple with children,7 rooms,0.04845,85,2326,0.03972,0.05717
1985,Couple with children,8 rooms,0.02614,45,2326,0.01965,0.03263
1985,Other Combinations,3 rooms,0.35435,47,47,0.21612,0.49257
1986,Single-person household,1 room,0.17159,227,1027,0.14852,0.19466
1986,Single-person household,2 rooms,0.39179,412,1027,0.36192,0.42166
1986,Single-person household,3 rooms,0.30345,300,1027,0.27532,0.33158
1986,Single-person household,4 rooms,0.08620,88,1027,0.06902,0.10337
1986,Couple without children,2 rooms,0.21287,291,1161,0.18931,0.23642
1986,Couple without children,3 rooms,0.40491,479,1161,0.37666,0.43316
1986,Couple without children,4 rooms,0.21858,249,1161,0.19479,0.24236
1986,Couple without children,5 rooms,0.08132,90,1161,0.06559,0.09705
1986,Couple without children,6 rooms,0.04788,52,1161,0.03559,0.06016
1986,Single parent,2 rooms,0.10326,38,243,0.06492,0.14160
1986,Single parent,3 rooms,0.39143,112,243,0.32994,0.45293
1986,Single parent,4 rooms,0.23048,58,243,0.17742,0.28354
1986,Single parent,5 rooms,0.12123,35,243,0.08011,0.16236
1986,Couple with children,2 rooms,0.03677,148,2202,0.02891,0.04463
1986,Couple with children,3 rooms,0.28776,780,2202,0.26885,0.30667
1986,Couple with children,4 rooms,0.28452,594,2202,0.26567,0.30337
1986,Couple with children,5 rooms,0.18203,346,2202,0.16591,0.19815
1986,Couple with children,6 rooms,0.11703,204,2202,0.10360,0.13046
1986,Couple with children,7 rooms,0.04509,79,2202,0.03642,0.05376
1986,Couple with children,8 rooms,0.02891,51,2202,0.02191,0.03592
1986,Other Combinations,3 rooms,0.37504,47,47,0.23514,0.51495
1987,Single-person household,1 room,0.16599,212,1026,0.14321,0.18877
1987,Single-person household,2 rooms,0.39773,422,1026,0.36776,0.42769
1987,Single-person household,3 rooms,0.29962,298,1026,0.27158,0.32767
1987,Single-person household,4 rooms,0.09067,94,1026,0.07309,0.10825
1987,Couple without children,2 rooms,0.19916,273,1146,0.17603,0.22229
1987,Couple without children,3 rooms,0.39825,465,1146,0.36990,0.42661
1987,Couple without children,4 rooms,0.22407,247,1146,0.19992,0.24822
1987,Couple without children,5 rooms,0.08790,101,1146,0.07150,0.10430
1987,Couple without children,6 rooms,0.05542,60,1146,0.04217,0.06868
1987,Single parent,2 rooms,0.09893,33,234,0.06059,0.13727
1987,Single parent,3 rooms,0.40977,114,234,0.34662,0.47292
1987,Single parent,4 rooms,0.19735,54,234,0.14624,0.24845
1987,Single parent,5 rooms,0.12520,33,234,0.08270,0.16769
1987,Couple with children,2 rooms,0.03660,148,2161,0.02868,0.04452
1987,Couple with children,3 rooms,0.28869,759,2161,0.26958,0.30780
1987,Couple with children,4 rooms,0.28162,582,2161,0.26265,0.30059
1987,Couple with children,5 rooms,0.19489,356,2161,0.17818,0.21159
1987,Couple with children,6 rooms,0.10441,182,2161,0.09151,0.11730
1987,Couple with children,7 rooms,0.04965,86,2161,0.04049,0.05881
1987,Couple with children,8 rooms,0.02799,48,2161,0.02103,0.03494
1987,Other Combinations,3 rooms,0.36134,43,43,0.21606,0.50663
1988,Single-person household,1 room,0.15900,190,1007,0.13640,0.18159
1988,Single-person household,2 rooms,0.38421,392,1007,0.35415,0.41426
1988,Single-person household,3 rooms,0.31107,303,1007,0.28246,0.33967
1988,Single-person household,4 rooms,0.08774,89,1007,0.07026,0.10522
1988,Single-person household,5 rooms,0.03114,33,1007,0.02040,0.04187
1988,Couple without children,2 rooms,0.20866,284,1118,0.18483,0.23249
1988,Couple without children,3 rooms,0.40087,460,1118,0.37213,0.42961
1988,Couple without children,4 rooms,0.21109,226,1118,0.18716,0.23503
1988,Couple without children,5 rooms,0.08489,92,1118,0.06854,0.10123
1988,Couple without children,6 rooms,0.05486,56,1118,0.04151,0.06822
