year,regtyp,sampreg,hgroom,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No answer / don't know,West,1 room,0.05533,299,5807,0.04945,0.06122
1984,No answer / don't know,West,2 rooms,0.21145,1149,5807,0.20095,0.22195
1984,No answer / don't know,West,3 rooms,0.33353,2073,5807,0.32141,0.34566
1984,No answer / don't know,West,4 rooms,0.19502,1184,5807,0.18483,0.20521
1984,No answer / don't know,West,5 rooms,0.10083,598,5807,0.09309,0.10858
1984,No answer / don't know,West,6 rooms,0.05769,310,5807,0.05169,0.06368
1984,No answer / don't know,West,7 rooms,0.02293,123,5807,0.01908,0.02678
1984,No answer / don't know,West,8 rooms,0.01370,71,5807,0.01071,0.01668
1985,Urban regions,West,1 room,0.06857,242,4158,0.06088,0.07625
1985,Urban regions,West,2 rooms,0.23639,867,4158,0.22348,0.24931
1985,Urban regions,West,3 rooms,0.33639,1513,4158,0.32203,0.35076
1985,Urban regions,West,4 rooms,0.18091,829,4158,0.16921,0.19261
1985,Urban regions,West,5 rooms,0.09116,401,4158,0.08241,0.09991
1985,Urban regions,West,6 rooms,0.04646,190,4158,0.04006,0.05285
1985,Urban regions,West,7 rooms,0.02004,80,4158,0.01578,0.02430
1985,Urban regions,West,8 rooms,0.00968,36,4158,0.00670,0.01266
1985,Rural regions,West,2 rooms,0.12579,113,1011,0.10534,0.14625
1985,Rural regions,West,3 rooms,0.30875,321,1011,0.28026,0.33724
1985,Rural regions,West,4 rooms,0.24197,266,1011,0.21556,0.26838
1985,Rural regions,West,5 rooms,0.13769,161,1011,0.11644,0.15894
1985,Rural regions,West,6 rooms,0.09625,108,1011,0.07806,0.11443
1985,Rural regions,West,7 rooms,0.03700,42,1011,0.02536,0.04864
1986,Urban regions,West,1 room,0.07189,234,3987,0.06387,0.07990
1986,Urban regions,West,2 rooms,0.23243,803,3987,0.21932,0.24554
1986,Urban regions,West,3 rooms,0.33789,1453,3987,0.32321,0.35257
1986,Urban regions,West,4 rooms,0.17793,790,3987,0.16606,0.18980
1986,Urban regions,West,5 rooms,0.08916,388,3987,0.08031,0.09801
1986,Urban regions,West,6 rooms,0.04999,200,3987,0.04323,0.05676
1986,Urban regions,West,7 rooms,0.01920,75,3987,0.01494,0.02346
1986,Urban regions,West,8 rooms,0.01170,44,3987,0.00836,0.01504
1986,Rural regions,West,2 rooms,0.12439,105,983,0.10375,0.14503
1986,Rural regions,West,3 rooms,0.29902,293,983,0.27039,0.32766
1986,Rural regions,West,4 rooms,0.23980,247,983,0.21310,0.26651
1986,Rural regions,West,5 rooms,0.13258,150,983,0.11137,0.15379
1986,Rural regions,West,6 rooms,0.10194,111,983,0.08301,0.12086
1986,Rural regions,West,7 rooms,0.03886,45,983,0.02677,0.05095
1986,Rural regions,West,8 rooms,0.02884,32,983,0.01837,0.03930
1987,Urban regions,West,1 room,0.07151,225,3939,0.06346,0.07956
1987,Urban regions,West,2 rooms,0.23208,788,3939,0.21889,0.24526
1987,Urban regions,West,3 rooms,0.33352,1417,3939,0.31880,0.34825
1987,Urban regions,West,4 rooms,0.17997,784,3939,0.16797,0.19197
1987,Urban regions,West,5 rooms,0.09455,407,3939,0.08541,0.10369
1987,Urban regions,West,6 rooms,0.04887,197,3939,0.04214,0.05561
