,Unnamed: 0,year,bula_h,quintil_oecd_hh,hgroom,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1984,Lower Saxony,1st Quintile,2 rooms,0.49756,34,3290,0.43734,0.55632
1,1,1984,Lower Saxony,1st Quintile,3 rooms,0.50244,51,3290,0.4252,0.5856
2,2,1984,Lower Saxony,2nd Quintile,3 rooms,1.0,39,3290,0.83975,1.12683
3,3,1984,Lower Saxony,3rd Quintile,3 rooms,1.0,35,3290,0.83108,1.13555
4,4,1984,Lower Saxony,4th Quintile,3 rooms,1.0,41,3290,0.84737,1.14696
5,5,1984,North Rhine-Westphalia,1st Quintile,1 room,0.16842,44,3290,0.14747,0.18522
6,6,1984,North Rhine-Westphalia,1st Quintile,2 rooms,0.30972,90,3290,0.2725,0.34722
7,7,1984,North Rhine-Westphalia,1st Quintile,3 rooms,0.37306,151,3290,0.32943,0.41923
8,8,1984,North Rhine-Westphalia,1st Quintile,4 rooms,0.14879,59,3290,0.12548,0.17452
9,9,1984,North Rhine-Westphalia,2nd Quintile,2 rooms,0.33724,80,3290,0.2952,0.38145
10,10,1984,North Rhine-Westphalia,2nd Quintile,3 rooms,0.45842,124,3290,0.40616,0.50795
11,11,1984,North Rhine-Westphalia,2nd Quintile,4 rooms,0.20434,57,3290,0.17506,0.23529
12,12,1984,North Rhine-Westphalia,3rd Quintile,2 rooms,0.32194,70,3290,0.27787,0.36703
13,13,1984,North Rhine-Westphalia,3rd Quintile,3 rooms,0.45669,114,3290,0.40917,0.49714
14,14,1984,North Rhine-Westphalia,3rd Quintile,4 rooms,0.22138,54,3290,0.19998,0.23853
15,15,1984,North Rhine-Westphalia,4th Quintile,2 rooms,0.33226,68,3290,0.29977,0.36343
16,16,1984,North Rhine-Westphalia,4th Quintile,3 rooms,0.42078,97,3290,0.38067,0.45697
17,17,1984,North Rhine-Westphalia,4th Quintile,4 rooms,0.24696,66,3290,0.21373,0.2794
18,18,1984,North Rhine-Westphalia,5th Quintile,2 rooms,0.21187,51,3290,0.1817,0.24134
19,19,1984,North Rhine-Westphalia,5th Quintile,3 rooms,0.35932,87,3290,0.33706,0.38612
20,20,1984,North Rhine-Westphalia,5th Quintile,4 rooms,0.26442,65,3290,0.24696,0.28078
21,21,1984,North Rhine-Westphalia,5th Quintile,5 rooms,0.16438,40,3290,0.1539,0.17635
22,22,1984,Hesse,1st Quintile,2 rooms,0.47252,31,3290,0.3383,0.58013
23,23,1984,Hesse,1st Quintile,3 rooms,0.52748,55,3290,0.38315,0.65034
24,24,1984,Hesse,2nd Quintile,3 rooms,1.0,44,3290,0.81235,1.18359
25,25,1984,Hesse,3rd Quintile,3 rooms,1.0,36,3290,0.76652,1.2575
26,26,1984,Hesse,4th Quintile,3 rooms,0.46825,34,3290,0.34243,0.59112
27,27,1984,Hesse,4th Quintile,4 rooms,0.53175,31,3290,0.45781,0.61446
28,28,1984,Hesse,5th Quintile,3 rooms,1.0,42,3290,0.82255,1.11747
29,29,1984,"Rhineland-Palatinate, Saarland",2nd Quintile,3 rooms,1.0,41,3290,0.82934,1.15307
30,30,1984,Baden-Wuerttemberg,1st Quintile,2 rooms,0.45921,43,3290,0.36753,0.55306
31,31,1984,Baden-Wuerttemberg,1st Quintile,3 rooms,0.54079,74,3290,0.43579,0.63694
32,32,1984,Baden-Wuerttemberg,2nd Quintile,2 rooms,0.21276,38,3290,0.13477,0.27457
33,33,1984,Baden-Wuerttemberg,2nd Quintile,3 rooms,0.50592,81,3290,0.4127,0.58987
34,34,1984,Baden-Wuerttemberg,2nd Quintile,4 rooms,0.28132,49,3290,0.23375,0.32617
35,35,1984,Baden-Wuerttemberg,3rd Quintile,2 rooms,0.18686,31,3290,0.14383,0.23334
36,36,1984,Baden-Wuerttemberg,3rd Quintile,3 rooms,0.46532,92,3290,0.3977,0.5421
