,Unnamed: 0,year,hhtyp,quintil_oecd_hh,hgroom,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1984,Single-person household,1st Quintile,1 room,0.23847,86,4777,0.21811,0.25822
1,1,1984,Single-person household,1st Quintile,2 rooms,0.48294,138,4777,0.46067,0.50568
2,2,1984,Single-person household,1st Quintile,3 rooms,0.2786,78,4777,0.25967,0.2952
3,3,1984,Single-person household,2nd Quintile,1 room,0.13271,44,4777,0.11309,0.15296
4,4,1984,Single-person household,2nd Quintile,2 rooms,0.4265,95,4777,0.39158,0.44992
5,5,1984,Single-person household,2nd Quintile,3 rooms,0.4408,86,4777,0.4235,0.45979
6,6,1984,Single-person household,3rd Quintile,1 room,0.17321,48,4777,0.14754,0.19477
7,7,1984,Single-person household,3rd Quintile,2 rooms,0.5118,106,4777,0.47981,0.54747
8,8,1984,Single-person household,3rd Quintile,3 rooms,0.31499,64,4777,0.29154,0.33882
9,9,1984,Single-person household,4th Quintile,1 room,0.21148,55,4777,0.18301,0.23547
10,10,1984,Single-person household,4th Quintile,2 rooms,0.43844,92,4777,0.40268,0.4751
11,11,1984,Single-person household,4th Quintile,3 rooms,0.35008,67,4777,0.31977,0.38169
12,12,1984,Single-person household,5th Quintile,2 rooms,0.55087,88,4777,0.51583,0.58777
13,13,1984,Single-person household,5th Quintile,3 rooms,0.44913,70,4777,0.41876,0.47727
14,14,1984,Couple without children,1st Quintile,2 rooms,0.55567,68,4777,0.49356,0.61284
15,15,1984,Couple without children,1st Quintile,3 rooms,0.44433,50,4777,0.40145,0.48247
16,16,1984,Couple without children,2nd Quintile,2 rooms,0.27756,57,4777,0.24798,0.30384
17,17,1984,Couple without children,2nd Quintile,3 rooms,0.48756,85,4777,0.45653,0.51556
18,18,1984,Couple without children,2nd Quintile,4 rooms,0.23487,40,4777,0.22284,0.24771
19,19,1984,Couple without children,3rd Quintile,2 rooms,0.27016,71,4777,0.23527,0.30043
