,Unnamed: 0,year,quintil_oecd_hh,regtyp,hgroom,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1985,1st Quintile,Urban regions,1 room,0.14307,81,4745,0.12832,0.15825
1,1,1985,1st Quintile,Urban regions,2 rooms,0.32336,209,4745,0.29879,0.34727
2,2,1985,1st Quintile,Urban regions,3 rooms,0.34082,318,4745,0.31023,0.37038
3,3,1985,1st Quintile,Urban regions,4 rooms,0.13489,136,4745,0.12076,0.15242
4,4,1985,1st Quintile,Urban regions,5 rooms,0.05787,56,4745,0.04686,0.06813
5,5,1985,1st Quintile,Rural regions,2 rooms,0.2508,34,4745,0.21866,0.28617
6,6,1985,1st Quintile,Rural regions,3 rooms,0.49886,87,4745,0.44505,0.55233
7,7,1985,1st Quintile,Rural regions,4 rooms,0.25034,53,4745,0.21631,0.28592
8,8,1985,2nd Quintile,Urban regions,1 room,0.05332,32,4745,0.04347,0.06384
9,9,1985,2nd Quintile,Urban regions,2 rooms,0.25614,176,4745,0.23492,0.28053
10,10,1985,2nd Quintile,Urban regions,3 rooms,0.41995,359,4745,0.38629,0.45084
11,11,1985,2nd Quintile,Urban regions,4 rooms,0.16429,154,4745,0.14955,0.17781
12,12,1985,2nd Quintile,Urban regions,5 rooms,0.06112,54,4745,0.05425,0.06815
13,13,1985,2nd Quintile,Urban regions,6 rooms,0.04519,31,4745,0.03967,0.05049
14,14,1985,2nd Quintile,Rural regions,3 rooms,0.4769,80,4745,0.42412,0.52181
15,15,1985,2nd Quintile,Rural regions,4 rooms,0.34912,64,4745,0.30947,0.39549
16,16,1985,2nd Quintile,Rural regions,5 rooms,0.17398,33,4745,0.15956,0.18985
17,17,1985,3rd Quintile,Urban regions,1 room,0.05987,50,4745,0.04886,0.07408
18,18,1985,3rd Quintile,Urban regions,2 rooms,0.25586,184,4745,0.22801,0.28343
19,19,1985,3rd Quintile,Urban regions,3 rooms,0.33958,295,4745,0.31455,0.36481
20,20,1985,3rd Quintile,Urban regions,4 rooms,0.20363,176,4745,0.19048,0.21858
21,21,1985,3rd Quintile,Urban regions,5 rooms,0.09813,81,4745,0.08856,0.10676
22,22,1985,3rd Quintile,Urban regions,6 rooms,0.04292,34,4745,0.03778,0.04834
23,23,1985,3rd Quintile,Rural regions,3 rooms,0.43199,58,4745,0.38027,0.49196
24,24,1985,3rd Quintile,Rural regions,4 rooms,0.35534,56,4745,0.32887,0.3766
25,25,1985,3rd Quintile,Rural regions,6 rooms,0.21266,32,4745,0.19843,0.22718
26,26,1985,4th Quintile,Urban regions,1 room,0.06174,49,4745,0.05151,0.07166
27,27,1985,4th Quintile,Urban regions,2 rooms,0.20756,150,4745,0.18998,0.22759
28,28,1985,4th Quintile,Urban regions,3 rooms,0.35772,299,4745,0.33326,0.38162
29,29,1985,4th Quintile,Urban regions,4 rooms,0.18922,167,4745,0.1773,0.20282
30,30,1985,4th Quintile,Urban regions,5 rooms,0.12005,105,4745,0.10948,0.12831
31,31,1985,4th Quintile,Urban regions,6 rooms,0.06372,50,4745,0.06022,0.06697
32,32,1985,4th Quintile,Rural regions,3 rooms,0.36462,52,4745,0.31951,0.41432
33,33,1985,4th Quintile,Rural regions,4 rooms,0.37535,52,4745,0.33777,0.41718
34,34,1985,4th Quintile,Rural regions,5 rooms,0.26003,41,4745,0.22213,0.29049
35,35,1985,5th Quintile,Urban regions,2 rooms,0.2084,144,4745,0.19406,0.22414
36,36,1985,5th Quintile,Urban regions,3 rooms,0.32685,240,4745,0.30802,0.34661
37,37,1985,5th Quintile,Urban regions,4 rooms,0.25979,192,4745,0.24703,0.27015
38,38,1985,5th Quintile,Urban regions,5 rooms,0.13543,100,4745,0.1285,0.143
39,39,1985,5th Quintile,Urban regions,6 rooms,0.06953,53,4745,0.06377,0.0748
40,40,1985,5th Quintile,Rural regions,3 rooms,0.30573,45,4745,0.26748,0.3519
41,41,1985,5th Quintile,Rural regions,4 rooms,0.39378,45,4745,0.35712,0.431
42,42,1985,5th Quintile,Rural regions,5 rooms,0.30049,38,4745,0.26902,0.32363
43,43,1986,1st Quintile,Urban regions,1 room,0.14281,77,4523,0.12735,0.15772
44,44,1986,1st Quintile,Urban regions,2 rooms,0.33096,198,4523,0.30284,0.3624
45,45,1986,1st Quintile,Urban regions,3 rooms,0.3514,300,4523,0.31718,0.38808
46,46,1986,1st Quintile,Urban regions,4 rooms,0.11894,118,4523,0.10197,0.13529
47,47,1986,1st Quintile,Urban regions,5 rooms,0.05589,49,4523,0.04731,0.065
48,48,1986,1st Quintile,Rural regions,2 rooms,0.27935,37,4523,0.231,0.3121
49,49,1986,1st Quintile,Rural regions,3 rooms,0.45585,72,4523,0.39658,0.5237
50,50,1986,1st Quintile,Rural regions,4 rooms,0.2648,48,4523,0.22495,0.30099
51,51,1986,2nd Quintile,Urban regions,1 room,0.05821,33,4523,0.04549,0.06886
52,52,1986,2nd Quintile,Urban regions,2 rooms,0.23217,154,4523,0.20619,0.25929
53,53,1986,2nd Quintile,Urban regions,3 rooms,0.38668,314,4523,0.35538,0.41254
54,54,1986,2nd Quintile,Urban regions,4 rooms,0.17896,157,4523,0.16261,0.19289
55,55,1986,2nd Quintile,Urban regions,5 rooms,0.08884,70,4523,0.07878,0.09912
56,56,1986,2nd Quintile,Urban regions,6 rooms,0.05515,39,4523,0.04828,0.06134
57,57,1986,2nd Quintile,Rural regions,3 rooms,0.43521,67,4523,0.38789,0.49415
58,58,1986,2nd Quintile,Rural regions,4 rooms,0.39026,68,4523,0.35107,0.43075
