year,regtyp,rentown,hgroom,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1986,Urban regions,Tenant,3 rooms,0.39331,1168,2704,0.37490,0.41173
1986,Urban regions,Tenant,4 rooms,0.13145,437,2704,0.11871,0.14418
1986,Urban regions,Tenant,5 rooms,0.03670,121,2704,0.02961,0.04378
1986,Urban regions,Tenant,6 rooms,0.01298,38,2704,0.00871,0.01724
1986,Rural regions,Owner,3 rooms,0.20829,100,490,0.17229,0.24428
1986,Rural regions,Owner,4 rooms,0.26372,139,490,0.22466,0.30278
1986,Rural regions,Owner,5 rooms,0.20009,118,490,0.16463,0.23555
1986,Rural regions,Owner,6 rooms,0.16053,92,490,0.12799,0.19307
1986,Rural regions,Owner,7 rooms,0.06783,41,490,0.04554,0.09011
1986,Rural regions,Tenant,2 rooms,0.22505,90,422,0.18515,0.26494
1986,Rural regions,Tenant,3 rooms,0.40467,193,422,0.35779,0.45156
1986,Rural regions,Tenant,4 rooms,0.21140,107,422,0.17240,0.25041
1986,Rural regions,Tenant,5 rooms,0.05427,32,422,0.03263,0.07591
1987,Urban regions,Owner,2 rooms,0.07984,80,1262,0.06488,0.09481
1987,Urban regions,Owner,3 rooms,0.22731,276,1262,0.20418,0.25044
1987,Urban regions,Owner,4 rooms,0.26179,355,1262,0.23752,0.28605
1987,Urban regions,Owner,5 rooms,0.19964,286,1262,0.17758,0.22170
1987,Urban regions,Owner,6 rooms,0.11589,160,1262,0.09822,0.13355
1987,Urban regions,Owner,7 rooms,0.04994,69,1262,0.03792,0.06196
1987,Urban regions,Owner,8 rooms,0.02783,36,1262,0.01875,0.03691
1987,Urban regions,Tenant,1 room,0.10050,209,2643,0.08903,0.11196
1987,Urban regions,Tenant,2 rooms,0.31484,707,2643,0.29713,0.33255
1987,Urban regions,Tenant,3 rooms,0.39209,1141,2643,0.37347,0.41070
1987,Urban regions,Tenant,4 rooms,0.13529,429,2643,0.12225,0.14833
1987,Urban regions,Tenant,5 rooms,0.03703,121,2643,0.02983,0.04423
1987,Urban regions,Tenant,6 rooms,0.01211,36,2643,0.00794,0.01628
