year,rentown,sampreg,hgroom,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Owner,West,2 rooms,0.07509,122,1950,0.06339,0.08679
1984,Owner,West,3 rooms,0.22801,427,1950,0.20938,0.24663
1984,Owner,West,4 rooms,0.26986,559,1950,0.25015,0.28956
1984,Owner,West,5 rooms,0.19003,414,1950,0.17261,0.20744
1984,Owner,West,6 rooms,0.12464,256,1950,0.10997,0.13930
1984,Owner,West,7 rooms,0.05331,112,1950,0.04334,0.06329
1984,Owner,West,8 rooms,0.03009,60,1950,0.02251,0.03768
1984,Tenant,West,1 room,0.08547,284,3820,0.07661,0.09434
1984,Tenant,West,2 rooms,0.30283,1027,3820,0.28826,0.31741
1984,Tenant,West,3 rooms,0.40425,1646,3820,0.38869,0.41981
1984,Tenant,West,4 rooms,0.14487,625,3820,0.13370,0.15603
1984,Tenant,West,5 rooms,0.04106,184,3820,0.03477,0.04736
1984,Tenant,West,6 rooms,0.01282,54,3820,0.00925,0.01639
1985,Owner,West,2 rooms,0.07719,110,1813,0.06490,0.08948
1985,Owner,West,3 rooms,0.22262,380,1813,0.20346,0.24177
1985,Owner,West,4 rooms,0.26835,517,1813,0.24795,0.28875
1985,Owner,West,5 rooms,0.19667,399,1813,0.17837,0.21498
1985,Owner,West,6 rooms,0.12532,247,1813,0.11007,0.14056
1985,Owner,West,7 rooms,0.05362,108,1813,0.04325,0.06399
1985,Owner,West,8 rooms,0.02756,52,1813,0.02002,0.03510
1985,Tenant,West,1 room,0.08910,248,3364,0.07947,0.09873
1985,Tenant,West,2 rooms,0.30026,870,3364,0.28477,0.31576
1985,Tenant,West,3 rooms,0.40153,1454,3364,0.38496,0.41809
1985,Tenant,West,4 rooms,0.14594,578,3364,0.13401,0.15788
1985,Tenant,West,5 rooms,0.03867,163,3364,0.03215,0.04519
1985,Tenant,West,6 rooms,0.01292,51,3364,0.00911,0.01674
1986,Owner,West,2 rooms,0.06869,95,1783,0.05695,0.08043
1986,Owner,West,3 rooms,0.22927,385,1783,0.20976,0.24879
