,Unnamed: 0,year,bula_h,hgroom,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1984,Schleswig-Holstein,3 rooms,0.50347,60,5370,0.44322,0.56036
1,1,1984,Schleswig-Holstein,4 rooms,0.49653,55,5370,0.43587,0.55075
2,2,1984,Hamburg,2 rooms,0.36304,43,5370,0.30066,0.41415
3,3,1984,Hamburg,3 rooms,0.63696,89,5370,0.56663,0.70322
4,4,1984,Lower Saxony,2 rooms,0.21177,94,5370,0.19091,0.23001
5,5,1984,Lower Saxony,3 rooms,0.33499,193,5370,0.31439,0.35873
6,6,1984,Lower Saxony,4 rooms,0.23008,130,5370,0.2142,0.24449
7,7,1984,Lower Saxony,5 rooms,0.1236,69,5370,0.1177,0.12972
8,8,1984,Lower Saxony,6 rooms,0.09955,50,5370,0.09414,0.10442
9,9,1984,Bremen,3 rooms,1.0,36,5370,0.83621,1.13621
10,10,1984,North Rhine-Westphalia,1 room,0.06301,90,5370,0.05642,0.06848
11,11,1984,North Rhine-Westphalia,2 rooms,0.26037,359,5370,0.24703,0.27398
12,12,1984,North Rhine-Westphalia,3 rooms,0.35663,575,5370,0.33949,0.37304
13,13,1984,North Rhine-Westphalia,4 rooms,0.18429,301,5370,0.17499,0.19573
14,14,1984,North Rhine-Westphalia,5 rooms,0.08539,141,5370,0.08004,0.09098
15,15,1984,North Rhine-Westphalia,6 rooms,0.0503,72,5370,0.04691,0.05362
16,16,1984,Hesse,1 room,0.06019,33,5370,0.04388,0.07229
17,17,1984,Hesse,2 rooms,0.21613,114,5370,0.18739,0.24735
18,18,1984,Hesse,3 rooms,0.38619,213,5370,0.35705,0.41996
19,19,1984,Hesse,4 rooms,0.24078,119,5370,0.21749,0.26297
20,20,1984,Hesse,5 rooms,0.09672,50,5370,0.0841,0.10998
21,21,1984,"Rhineland-Palatinate, Saarland",2 rooms,0.20607,69,5370,0.18148,0.23049
22,22,1984,"Rhineland-Palatinate, Saarland",3 rooms,0.28654,108,5370,0.26091,0.31265
23,23,1984,"Rhineland-Palatinate, Saarland",4 rooms,0.21165,73,5370,0.20112,0.22429
24,24,1984,"Rhineland-Palatinate, Saarland",5 rooms,0.16159,55,5370,0.146,0.17551
25,25,1984,"Rhineland-Palatinate, Saarland",6 rooms,0.13415,43,5370,0.1285,0.14
26,26,1984,Baden-Wuerttemberg,1 room,0.04425,46,5370,0.03472,0.05379
27,27,1984,Baden-Wuerttemberg,2 rooms,0.18221,180,5370,0.16308,0.2046
28,28,1984,Baden-Wuerttemberg,3 rooms,0.35848,398,5370,0.33332,0.38302
29,29,1984,Baden-Wuerttemberg,4 rooms,0.21265,213,5370,0.1976,0.22874
30,30,1984,Baden-Wuerttemberg,5 rooms,0.12869,118,5370,0.1199,0.1378
31,31,1984,Baden-Wuerttemberg,6 rooms,0.07371,59,5370,0.06897,0.07738
32,32,1984,Bavaria,1 room,0.05617,45,5370,0.0502,0.06286
33,33,1984,Bavaria,2 rooms,0.17609,165,5370,0.16113,0.19097
34,34,1984,Bavaria,3 rooms,0.35344,333,5370,0.33577,0.37117
35,35,1984,Bavaria,4 rooms,0.22811,226,5370,0.2156,0.23901
36,36,1984,Bavaria,5 rooms,0.14108,129,5370,0.13403,0.14909
37,37,1984,Bavaria,6 rooms,0.0451,42,5370,0.04049,0.04883
38,38,1984,Berlin,2 rooms,0.45753,75,5370,0.40154,0.51799
39,39,1984,Berlin,3 rooms,0.36046,68,5370,0.32588,0.39396
40,40,1984,Berlin,4 rooms,0.18201,39,5370,0.1588,0.20556
41,41,1985,Schleswig-Holstein,3 rooms,0.51244,55,4785,0.43137,0.57832
42,42,1985,Schleswig-Holstein,4 rooms,0.48756,50,4785,0.43037,0.54627
43,43,1985,Hamburg,2 rooms,0.41677,47,4785,0.35727,0.48334
44,44,1985,Hamburg,3 rooms,0.58323,80,4785,0.50984,0.64724
45,45,1985,Lower Saxony,2 rooms,0.21385,79,4785,0.19403,0.2368
46,46,1985,Lower Saxony,3 rooms,0.34202,172,4785,0.31801,0.36861
47,47,1985,Lower Saxony,4 rooms,0.22473,114,4785,0.20953,0.24269
48,48,1985,Lower Saxony,5 rooms,0.12391,64,4785,0.11754,0.13066
49,49,1985,Lower Saxony,6 rooms,0.0955,47,4785,0.08858,0.1045
50,50,1985,Bremen,3 rooms,1.0,31,4785,0.82458,1.15305
51,51,1985,North Rhine-Westphalia,1 room,0.06061,74,4785,0.05357,0.06875
52,52,1985,North Rhine-Westphalia,2 rooms,0.2608,307,4785,0.24509,0.27744
53,53,1985,North Rhine-Westphalia,3 rooms,0.34601,497,4785,0.32939,0.36286
54,54,1985,North Rhine-Westphalia,4 rooms,0.19568,292,4785,0.18404,0.20673
55,55,1985,North Rhine-Westphalia,5 rooms,0.08538,134,4785,0.07875,0.09068
56,56,1985,North Rhine-Westphalia,6 rooms,0.05153,70,4785,0.04767,0.05518
57,57,1985,Hesse,2 rooms,0.2279,96,4785,0.2,0.26281
58,58,1985,Hesse,3 rooms,0.41551,195,4785,0.37187,0.45497
59,59,1985,Hesse,4 rooms,0.25245,110,4785,0.22787,0.28001
60,60,1985,Hesse,5 rooms,0.10414,48,4785,0.09023,0.11715
61,61,1985,"Rhineland-Palatinate, Saarland",2 rooms,0.19376,59,4785,0.166,0.21945
62,62,1985,"Rhineland-Palatinate, Saarland",3 rooms,0.29424,92,4785,0.26761,0.32522
63,63,1985,"Rhineland-Palatinate, Saarland",4 rooms,0.21275,67,4785,0.19335,0.22866
64,64,1985,"Rhineland-Palatinate, Saarland",5 rooms,0.16666,51,4785,0.14552,0.18611
65,65,1985,"Rhineland-Palatinate, Saarland",6 rooms,0.13259,40,4785,0.12561,0.14098
66,66,1985,Baden-Wuerttemberg,1 room,0.0512,44,4785,0.0398,0.06433
67,67,1985,Baden-Wuerttemberg,2 rooms,0.19242,146,4785,0.17284,0.2177
68,68,1985,Baden-Wuerttemberg,3 rooms,0.34857,349,4785,0.31625,0.37542
69,69,1985,Baden-Wuerttemberg,4 rooms,0.20487,192,4785,0.18851,0.22036
70,70,1985,Baden-Wuerttemberg,5 rooms,0.13072,112,4785,0.12063,0.14097
71,71,1985,Baden-Wuerttemberg,6 rooms,0.07223,58,4785,0.06556,0.07683
72,72,1985,Bavaria,1 room,0.06633,41,4785,0.05914,0.07539
73,73,1985,Bavaria,2 rooms,0.15743,134,4785,0.14102,0.17728
74,74,1985,Bavaria,3 rooms,0.35627,296,4785,0.3385,0.37825
75,75,1985,Bavaria,4 rooms,0.22756,208,4785,0.21562,0.24313
76,76,1985,Bavaria,5 rooms,0.14315,121,4785,0.13621,0.15172
77,77,1985,Bavaria,6 rooms,0.04926,43,4785,0.04376,0.05405
78,78,1985,Berlin,2 rooms,0.46965,65,4785,0.41101,0.53639
79,79,1985,Berlin,3 rooms,0.36159,67,4785,0.31979,0.41033
80,80,1985,Berlin,4 rooms,0.16875,38,4785,0.13932,0.19015
81,81,1986,Schleswig-Holstein,3 rooms,0.49521,47,4531,0.43181,0.57083
82,82,1986,Schleswig-Holstein,4 rooms,0.50479,46,4531,0.4487,0.55446
83,83,1986,Hamburg,2 rooms,0.44079,44,4531,0.37846,0.50878
84,84,1986,Hamburg,3 rooms,0.55921,71,4531,0.49959,0.63535
85,85,1986,Lower Saxony,2 rooms,0.19875,69,4531,0.17449,0.22087
86,86,1986,Lower Saxony,3 rooms,0.3365,163,4531,0.30403,0.36445
87,87,1986,Lower Saxony,4 rooms,0.22736,112,4531,0.21126,0.24341
88,88,1986,Lower Saxony,5 rooms,0.1313,66,4531,0.12209,0.14028
89,89,1986,Lower Saxony,6 rooms,0.1061,52,4531,0.09792,0.11379
90,90,1986,North Rhine-Westphalia,1 room,0.06368,69,4531,0.05691,0.07064
91,91,1986,North Rhine-Westphalia,2 rooms,0.25194,276,4531,0.23755,0.27081
92,92,1986,North Rhine-Westphalia,3 rooms,0.35318,488,4531,0.33672,0.37366
93,93,1986,North Rhine-Westphalia,4 rooms,0.19325,277,4531,0.18057,0.20576
94,94,1986,North Rhine-Westphalia,5 rooms,0.08516,129,4531,0.07848,0.09223
95,95,1986,North Rhine-Westphalia,6 rooms,0.05279,71,4531,0.0483,0.05722
96,96,1986,Hesse,2 rooms,0.23434,92,4531,0.19744,0.2739
97,97,1986,Hesse,3 rooms,0.41592,184,4531,0.36775,0.46316
98,98,1986,Hesse,4 rooms,0.23924,99,4531,0.21507,0.26257
99,99,1986,Hesse,5 rooms,0.1105,48,4531,0.09041,0.12572
100,100,1986,"Rhineland-Palatinate, Saarland",2 rooms,0.21306,60,4531,0.18437,0.24697
101,101,1986,"Rhineland-Palatinate, Saarland",3 rooms,0.30835,97,4531,0.28318,0.3376
102,102,1986,"Rhineland-Palatinate, Saarland",4 rooms,0.19324,65,4531,0.17508,0.21435
103,103,1986,"Rhineland-Palatinate, Saarland",5 rooms,0.14745,50,4531,0.1311,0.16274
104,104,1986,"Rhineland-Palatinate, Saarland",6 rooms,0.1379,42,4531,0.1249,0.14859
105,105,1986,Baden-Wuerttemberg,1 room,0.05227,40,4531,0.03954,0.06579
106,106,1986,Baden-Wuerttemberg,2 rooms,0.17948,139,4531,0.15334,0.20578
107,107,1986,Baden-Wuerttemberg,3 rooms,0.34462,320,4531,0.30838,0.37378
108,108,1986,Baden-Wuerttemberg,4 rooms,0.21693,194,4531,0.19954,0.23708
109,109,1986,Baden-Wuerttemberg,5 rooms,0.12896,106,4531,0.11678,0.14114
110,110,1986,Baden-Wuerttemberg,6 rooms,0.07775,60,4531,0.07131,0.08513
111,111,1986,Bavaria,1 room,0.07071,42,4531,0.06268,0.0808
112,112,1986,Bavaria,2 rooms,0.16249,118,4531,0.14566,0.17903
113,113,1986,Bavaria,3 rooms,0.35224,280,4531,0.32861,0.37754
114,114,1986,Bavaria,4 rooms,0.22779,193,4531,0.21311,0.23937
115,115,1986,Bavaria,5 rooms,0.13183,110,4531,0.1234,0.14007
116,116,1986,Bavaria,6 rooms,0.05494,47,4531,0.0501,0.06114
117,117,1986,Berlin,2 rooms,0.46794,66,4531,0.39785,0.54299
118,118,1986,Berlin,3 rooms,0.38178,66,4531,0.33451,0.43587
119,119,1986,Berlin,4 rooms,0.15028,33,4531,0.12953,0.17441
120,120,1987,Schleswig-Holstein,3 rooms,0.49513,44,4470,0.42053,0.54806
121,121,1987,Schleswig-Holstein,4 rooms,0.50487,46,4470,0.44024,0.57802
122,122,1987,Hamburg,2 rooms,0.41272,37,4470,0.34868,0.49097
123,123,1987,Hamburg,3 rooms,0.58728,65,4470,0.51192,0.66172
124,124,1987,Lower Saxony,2 rooms,0.20312,72,4470,0.17946,0.22774
125,125,1987,Lower Saxony,3 rooms,0.36214,168,4470,0.33529,0.38927
126,126,1987,Lower Saxony,4 rooms,0.21565,109,4470,0.20081,0.23487
127,127,1987,Lower Saxony,5 rooms,0.13355,67,4470,0.12262,0.1445
128,128,1987,Lower Saxony,6 rooms,0.08553,42,4470,0.07908,0.09185
129,129,1987,North Rhine-Westphalia,1 room,0.05849,59,4470,0.05008,0.06526
130,130,1987,North Rhine-Westphalia,2 rooms,0.25455,271,4470,0.24089,0.27202
131,131,1987,North Rhine-Westphalia,3 rooms,0.34803,478,4470,0.33055,0.36658
132,132,1987,North Rhine-Westphalia,4 rooms,0.19107,272,4470,0.17947,0.20255
133,133,1987,North Rhine-Westphalia,5 rooms,0.09738,150,4470,0.09052,0.1041
134,134,1987,North Rhine-Westphalia,6 rooms,0.05048,68,4470,0.04616,0.0542
135,135,1987,Hesse,2 rooms,0.23605,93,4470,0.19575,0.26844
136,136,1987,Hesse,3 rooms,0.3825,167,4470,0.33983,0.42109
137,137,1987,Hesse,4 rooms,0.26665,107,4470,0.23394,0.29639
138,138,1987,Hesse,5 rooms,0.1148,47,4470,0.09758,0.13266
139,139,1987,"Rhineland-Palatinate, Saarland",2 rooms,0.20364,59,4470,0.16916,0.23834
140,140,1987,"Rhineland-Palatinate, Saarland",3 rooms,0.31029,96,4470,0.2737,0.34116
141,141,1987,"Rhineland-Palatinate, Saarland",4 rooms,0.19593,64,4470,0.17519,0.21503
142,142,1987,"Rhineland-Palatinate, Saarland",5 rooms,0.14552,51,4470,0.13119,0.16261
143,143,1987,"Rhineland-Palatinate, Saarland",6 rooms,0.14462,44,4470,0.13244,0.1581
144,144,1987,Baden-Wuerttemberg,1 room,0.04778,33,4470,0.03524,0.06103
145,145,1987,Baden-Wuerttemberg,2 rooms,0.17498,136,4470,0.15287,0.19818
146,146,1987,Baden-Wuerttemberg,3 rooms,0.35569,331,4470,0.32186,0.39331
147,147,1987,Baden-Wuerttemberg,4 rooms,0.22348,192,4470,0.20169,0.24449
148,148,1987,Baden-Wuerttemberg,5 rooms,0.12314,99,4470,0.11074,0.13571
149,149,1987,Baden-Wuerttemberg,6 rooms,0.07494,58,4470,0.0667,0.08147
150,150,1987,Bavaria,1 room,0.08537,52,4470,0.07571,0.09484
151,151,1987,Bavaria,2 rooms,0.16736,125,4470,0.15038,0.18694
152,152,1987,Bavaria,3 rooms,0.33737,264,4470,0.31529,0.35859
153,153,1987,Bavaria,4 rooms,0.22109,186,4470,0.20547,0.23744
154,154,1987,Bavaria,5 rooms,0.13789,112,4470,0.13075,0.14783
155,155,1987,Bavaria,6 rooms,0.05091,43,4470,0.04589,0.05622
156,156,1987,Berlin,2 rooms,0.46854,62,4470,0.40981,0.52544
157,157,1987,Berlin,3 rooms,0.37721,67,4470,0.32821,0.42534
158,158,1987,Berlin,4 rooms,0.15425,34,4470,0.12973,0.17351
159,159,1988,Schleswig-Holstein,3 rooms,0.54302,45,4269,0.45503,0.61179
160,160,1988,Schleswig-Holstein,4 rooms,0.45698,39,4269,0.38811,0.5204
161,161,1988,Hamburg,2 rooms,0.41592,34,4269,0.34753,0.48291
162,162,1988,Hamburg,3 rooms,0.58408,52,4269,0.50494,0.66498
163,163,1988,Lower Saxony,2 rooms,0.20593,72,4269,0.18232,0.23034
164,164,1988,Lower Saxony,3 rooms,0.36076,163,4269,0.32892,0.39714
165,165,1988,Lower Saxony,4 rooms,0.20097,99,4269,0.18272,0.21964
166,166,1988,Lower Saxony,5 rooms,0.13141,61,4269,0.12165,0.14148
167,167,1988,Lower Saxony,6 rooms,0.10094,46,4269,0.0922,0.10789
168,168,1988,North Rhine-Westphalia,1 room,0.05705,52,4269,0.04788,0.06605
169,169,1988,North Rhine-Westphalia,2 rooms,0.25267,259,4269,0.23475,0.26924
170,170,1988,North Rhine-Westphalia,3 rooms,0.35714,465,4269,0.33647,0.3798
171,171,1988,North Rhine-Westphalia,4 rooms,0.18611,253,4269,0.17526,0.2006
172,172,1988,North Rhine-Westphalia,5 rooms,0.09224,131,4269,0.08533,0.09919
173,173,1988,North Rhine-Westphalia,6 rooms,0.05478,70,4269,0.04993,0.05943
174,174,1988,Hesse,2 rooms,0.23777,86,4269,0.19587,0.27757
175,175,1988,Hesse,3 rooms,0.39009,161,4269,0.34988,0.44101
176,176,1988,Hesse,4 rooms,0.26197,105,4269,0.23089,0.29659
177,177,1988,Hesse,5 rooms,0.11017,44,4269,0.08957,0.12883
178,178,1988,"Rhineland-Palatinate, Saarland",2 rooms,0.18391,48,4269,0.1541,0.21624
179,179,1988,"Rhineland-Palatinate, Saarland",3 rooms,0.31718,94,4269,0.27723,0.35516
180,180,1988,"Rhineland-Palatinate, Saarland",4 rooms,0.20709,66,4269,0.18118,0.2301
181,181,1988,"Rhineland-Palatinate, Saarland",5 rooms,0.13812,45,4269,0.12233,0.15462
182,182,1988,"Rhineland-Palatinate, Saarland",6 rooms,0.1537,44,4269,0.13939,0.16655
183,183,1988,Baden-Wuerttemberg,1 room,0.05166,33,4269,0.03834,0.06454
184,184,1988,Baden-Wuerttemberg,2 rooms,0.16289,131,4269,0.13908,0.18642
