year,bula_h,sampreg,hgroom,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,West,3 rooms,0.29121,60,115,0.20781,0.37461
1984,Schleswig-Holstein,West,4 rooms,0.28720,55,115,0.20414,0.37025
1984,Hamburg,West,2 rooms,0.29088,43,132,0.21310,0.36865
1984,Hamburg,West,3 rooms,0.51035,89,132,0.42474,0.59595
1984,Lower Saxony,West,2 rooms,0.19363,94,536,0.16015,0.22712
1984,Lower Saxony,West,3 rooms,0.30630,193,536,0.26724,0.34536
1984,Lower Saxony,West,4 rooms,0.21038,130,536,0.17584,0.24491
1984,Lower Saxony,West,5 rooms,0.11301,69,536,0.08618,0.13984
1984,Lower Saxony,West,6 rooms,0.09103,50,536,0.06665,0.11540
1984,Bremen,West,3 rooms,0.47091,36,36,0.30554,0.63628
1984,North Rhine-Westphalia,West,1 room,0.06073,90,1538,0.04879,0.07267
1984,North Rhine-Westphalia,West,2 rooms,0.25096,359,1538,0.22928,0.27264
1984,North Rhine-Westphalia,West,3 rooms,0.34374,575,1538,0.31999,0.36748
1984,North Rhine-Westphalia,West,4 rooms,0.17763,301,1538,0.15852,0.19674
1984,North Rhine-Westphalia,West,5 rooms,0.08230,141,1538,0.06856,0.09604
1984,North Rhine-Westphalia,West,6 rooms,0.04848,72,1538,0.03774,0.05922
1984,Hesse,West,1 room,0.05294,33,529,0.03384,0.07204
1984,Hesse,West,2 rooms,0.19012,114,529,0.15665,0.22359
1984,Hesse,West,3 rooms,0.33971,213,529,0.29931,0.38011
1984,Hesse,West,4 rooms,0.21181,119,529,0.17696,0.24666
1984,Hesse,West,5 rooms,0.08508,50,529,0.06128,0.10887
1984,"Rhineland-Palatinate, Saarland",West,2 rooms,0.18039,69,348,0.13993,0.22085
1984,"Rhineland-Palatinate, Saarland",West,3 rooms,0.25083,108,348,0.20522,0.29644
1984,"Rhineland-Palatinate, Saarland",West,4 rooms,0.18528,73,348,0.14440,0.22615
1984,"Rhineland-Palatinate, Saarland",West,5 rooms,0.14145,55,348,0.10478,0.17812
1984,"Rhineland-Palatinate, Saarland",West,6 rooms,0.11743,43,348,0.08356,0.15130
1984,Baden-Wuerttemberg,West,1 room,0.04215,46,1014,0.02978,0.05453
1984,Baden-Wuerttemberg,West,2 rooms,0.17357,180,1014,0.15025,0.19689
1984,Baden-Wuerttemberg,West,3 rooms,0.34148,398,1014,0.31227,0.37068
1984,Baden-Wuerttemberg,West,4 rooms,0.20256,213,1014,0.17781,0.22731
1984,Baden-Wuerttemberg,West,5 rooms,0.12259,118,1014,0.10239,0.14278
1984,Baden-Wuerttemberg,West,6 rooms,0.07022,59,1014,0.05448,0.08595
1984,Bavaria,West,1 room,0.05338,45,940,0.03901,0.06776
1984,Bavaria,West,2 rooms,0.16735,165,940,0.14347,0.19122
1984,Bavaria,West,3 rooms,0.33589,333,940,0.30568,0.36610
1984,Bavaria,West,4 rooms,0.21678,226,940,0.19042,0.24313
1984,Bavaria,West,5 rooms,0.13407,129,940,0.11228,0.15587
1984,Bavaria,West,6 rooms,0.04286,42,940,0.02990,0.05581
1984,Berlin,West,2 rooms,0.36758,75,182,0.29734,0.43783
1984,Berlin,West,3 rooms,0.28959,68,182,0.22352,0.35567
1984,Berlin,West,4 rooms,0.14622,39,182,0.09475,0.19770
1985,Schleswig-Holstein,West,3 rooms,0.29515,55,105,0.20749,0.38281
1985,Schleswig-Holstein,West,4 rooms,0.28083,50,105,0.19446,0.36720
1985,Hamburg,West,2 rooms,0.33037,47,127,0.24824,0.41249
1985,Hamburg,West,3 rooms,0.46232,80,127,0.37527,0.54938
1985,Lower Saxony,West,2 rooms,0.19588,79,476,0.16019,0.23158
1985,Lower Saxony,West,3 rooms,0.31331,172,476,0.27159,0.35502
1985,Lower Saxony,West,4 rooms,0.20593,114,476,0.16957,0.24230
1985,Lower Saxony,West,5 rooms,0.11354,64,476,0.08501,0.14207
1985,Lower Saxony,West,6 rooms,0.08751,47,476,0.06209,0.11292
1985,Bremen,West,3 rooms,0.46475,31,31,0.28627,0.64323
1985,North Rhine-Westphalia,West,1 room,0.05832,74,1374,0.04593,0.07072
1985,North Rhine-Westphalia,West,2 rooms,0.25095,307,1374,0.22802,0.27389
1985,North Rhine-Westphalia,West,3 rooms,0.33295,497,1374,0.30803,0.35788
1985,North Rhine-Westphalia,West,4 rooms,0.18837,292,1374,0.16768,0.20905
1985,North Rhine-Westphalia,West,5 rooms,0.08207,134,1374,0.06755,0.09658
1985,North Rhine-Westphalia,West,6 rooms,0.04959,70,1374,0.03810,0.06107
1985,Hesse,West,2 rooms,0.18916,96,449,0.15290,0.22543
1985,Hesse,West,3 rooms,0.34430,195,449,0.30031,0.38830
1985,Hesse,West,4 rooms,0.20950,110,449,0.17181,0.24718
1985,Hesse,West,5 rooms,0.08641,48,449,0.06039,0.11243
1985,"Rhineland-Palatinate, Saarland",West,2 rooms,0.17040,59,309,0.12841,0.21239
1985,"Rhineland-Palatinate, Saarland",West,3 rooms,0.25881,92,309,0.20990,0.30772
1985,"Rhineland-Palatinate, Saarland",West,4 rooms,0.18712,67,309,0.14357,0.23068
1985,"Rhineland-Palatinate, Saarland",West,5 rooms,0.14658,51,309,0.10708,0.18608
1985,"Rhineland-Palatinate, Saarland",West,6 rooms,0.11663,40,309,0.08078,0.15248
1985,Baden-Wuerttemberg,West,1 room,0.04871,44,901,0.03465,0.06278
1985,Baden-Wuerttemberg,West,2 rooms,0.18314,146,901,0.15787,0.20841
1985,Baden-Wuerttemberg,West,3 rooms,0.33174,349,901,0.30097,0.36250
1985,Baden-Wuerttemberg,West,4 rooms,0.19497,192,901,0.16909,0.22085
1985,Baden-Wuerttemberg,West,5 rooms,0.12436,112,901,0.10280,0.14592
1985,Baden-Wuerttemberg,West,6 rooms,0.06879,58,901,0.05225,0.08533
1985,Bavaria,West,1 room,0.06263,41,843,0.04626,0.07899
1985,Bavaria,West,2 rooms,0.14857,134,843,0.12455,0.17259
1985,Bavaria,West,3 rooms,0.33640,296,843,0.30449,0.36832
1985,Bavaria,West,4 rooms,0.21480,208,843,0.18706,0.24254
1985,Bavaria,West,5 rooms,0.13512,121,843,0.11203,0.15821
1985,Bavaria,West,6 rooms,0.04652,43,843,0.03229,0.06074
1985,Berlin,West,2 rooms,0.38669,65,170,0.31326,0.46011
1985,Berlin,West,3 rooms,0.29775,67,170,0.22880,0.36669
1985,Berlin,West,4 rooms,0.13897,38,170,0.08682,0.19113
1986,Schleswig-Holstein,West,3 rooms,0.28102,47,93,0.18917,0.37287
1986,Schleswig-Holstein,West,4 rooms,0.28673,46,93,0.19432,0.37914
1986,Hamburg,West,2 rooms,0.34982,44,115,0.26227,0.43737
1986,Hamburg,West,3 rooms,0.44372,71,115,0.35252,0.53492
1986,Lower Saxony,West,2 rooms,0.17793,69,462,0.14302,0.21284
1986,Lower Saxony,West,3 rooms,0.30129,163,462,0.25940,0.34317
1986,Lower Saxony,West,4 rooms,0.20357,112,462,0.16681,0.24033
1986,Lower Saxony,West,5 rooms,0.11740,66,462,0.08801,0.14678
1986,Lower Saxony,West,6 rooms,0.09495,52,462,0.06819,0.12171
1986,North Rhine-Westphalia,West,1 room,0.06121,69,1310,0.04822,0.07419
1986,North Rhine-Westphalia,West,2 rooms,0.24227,276,1310,0.21906,0.26548
1986,North Rhine-Westphalia,West,3 rooms,0.33964,488,1310,0.31399,0.36530
1986,North Rhine-Westphalia,West,4 rooms,0.18595,277,1310,0.16487,0.20702
1986,North Rhine-Westphalia,West,5 rooms,0.08183,129,1310,0.06698,0.09668
1986,North Rhine-Westphalia,West,6 rooms,0.05077,71,1310,0.03888,0.06266
