,Unnamed: 0,year,bula_h,regtyp,hgroom,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1985,Schleswig-Holstein,Rural regions,4 rooms,1.0,31,4403,0.86831,1.13756
1,1,1985,Hamburg,Urban regions,2 rooms,0.42456,47,4403,0.3637,0.49696
2,2,1985,Hamburg,Urban regions,3 rooms,0.57544,78,4403,0.50463,0.66022
3,3,1985,Lower Saxony,Urban regions,2 rooms,0.29528,42,4403,0.25341,0.32952
4,4,1985,Lower Saxony,Urban regions,3 rooms,0.4784,96,4403,0.43008,0.53126
5,5,1985,Lower Saxony,Urban regions,4 rooms,0.22632,48,4403,0.19735,0.25047
6,6,1985,Lower Saxony,Rural regions,2 rooms,0.19024,37,4403,0.16142,0.21816
7,7,1985,Lower Saxony,Rural regions,3 rooms,0.30033,76,4403,0.26063,0.33432
8,8,1985,Lower Saxony,Rural regions,4 rooms,0.25388,66,4403,0.23406,0.27343
9,9,1985,Lower Saxony,Rural regions,5 rooms,0.13627,38,4403,0.12828,0.14454
10,10,1985,Lower Saxony,Rural regions,6 rooms,0.11927,33,4403,0.10811,0.13577
11,11,1985,Bremen,Urban regions,3 rooms,1.0,31,4403,0.86802,1.12487
12,12,1985,North Rhine-Westphalia,Urban regions,1 room,0.06227,74,4403,0.05513,0.07048
13,13,1985,North Rhine-Westphalia,Urban regions,2 rooms,0.26467,303,4403,0.25124,0.27856
14,14,1985,North Rhine-Westphalia,Urban regions,3 rooms,0.34458,486,4403,0.32725,0.36609
15,15,1985,North Rhine-Westphalia,Urban regions,4 rooms,0.19364,283,4403,0.1845,0.20489
16,16,1985,North Rhine-Westphalia,Urban regions,5 rooms,0.08616,132,4403,0.0802,0.09212
17,17,1985,North Rhine-Westphalia,Urban regions,6 rooms,0.04867,65,4403,0.04507,0.05221
18,18,1985,Hesse,Urban regions,2 rooms,0.23848,86,4403,0.1967,0.28941
19,19,1985,Hesse,Urban regions,3 rooms,0.42345,177,4403,0.37268,0.46723
20,20,1985,Hesse,Urban regions,4 rooms,0.24506,93,4403,0.21334,0.27249
21,21,1985,Hesse,Urban regions,5 rooms,0.093,37,4403,0.08023,0.10856
22,22,1985,"Rhineland-Palatinate, Saarland",Urban regions,2 rooms,0.23027,53,4403,0.19208,0.2666
23,23,1985,"Rhineland-Palatinate, Saarland",Urban regions,3 rooms,0.34819,81,4403,0.3065,0.38825
24,24,1985,"Rhineland-Palatinate, Saarland",Urban regions,4 rooms,0.22966,53,4403,0.2083,0.25294
25,25,1985,"Rhineland-Palatinate, Saarland",Urban regions,5 rooms,0.19189,43,4403,0.16976,0.21443
26,26,1985,Baden-Wuerttemberg,Urban regions,1 room,0.05109,38,4403,0.03857,0.06538
27,27,1985,Baden-Wuerttemberg,Urban regions,2 rooms,0.20972,135,4403,0.18002,0.23293
28,28,1985,Baden-Wuerttemberg,Urban regions,3 rooms,0.3523,306,4403,0.32194,0.38525
29,29,1985,Baden-Wuerttemberg,Urban regions,4 rooms,0.1945,159,4403,0.17696,0.21284
30,30,1985,Baden-Wuerttemberg,Urban regions,5 rooms,0.13234,96,4403,0.11843,0.14097
31,31,1985,Baden-Wuerttemberg,Urban regions,6 rooms,0.06005,42,4403,0.0539,0.06484
32,32,1985,Baden-Wuerttemberg,Rural regions,3 rooms,0.55192,43,4403,0.42299,0.69105
33,33,1985,Baden-Wuerttemberg,Rural regions,4 rooms,0.44808,33,4403,0.36927,0.53043
34,34,1985,Bavaria,Urban regions,1 room,0.10511,33,4403,0.08951,0.12193
35,35,1985,Bavaria,Urban regions,2 rooms,0.20487,95,4403,0.17794,0.23034
36,36,1985,Bavaria,Urban regions,3 rooms,0.3619,161,4403,0.3294,0.38768
37,37,1985,Bavaria,Urban regions,4 rooms,0.22742,109,4403,0.20865,0.2458
38,38,1985,Bavaria,Urban regions,5 rooms,0.1007,44,4403,0.09228,0.11019
39,39,1985,Bavaria,Rural regions,2 rooms,0.12576,39,4403,0.10918,0.14618
40,40,1985,Bavaria,Rural regions,3 rooms,0.40121,135,4403,0.36809,0.43832
41,41,1985,Bavaria,Rural regions,4 rooms,0.26055,99,4403,0.23548,0.28394
42,42,1985,Bavaria,Rural regions,5 rooms,0.21248,77,4403,0.1956,0.2263
43,43,1985,Berlin,Urban regions,2 rooms,0.46965,65,4403,0.41629,0.53475
44,44,1985,Berlin,Urban regions,3 rooms,0.36159,67,4403,0.32058,0.39874
45,45,1985,Berlin,Urban regions,4 rooms,0.16875,38,4403,0.13811,0.18998
46,46,1986,Hamburg,Urban regions,2 rooms,0.44985,44,4063,0.37859,0.52267
47,47,1986,Hamburg,Urban regions,3 rooms,0.55015,69,4063,0.47416,0.61784
48,48,1986,Lower Saxony,Urban regions,2 rooms,0.29516,40,4063,0.25421,0.33281
49,49,1986,Lower Saxony,Urban regions,3 rooms,0.48967,98,4063,0.43819,0.54964
50,50,1986,Lower Saxony,Urban regions,4 rooms,0.21517,45,4063,0.19626,0.23928
51,51,1986,Lower Saxony,Rural regions,3 rooms,0.34141,65,4063,0.28931,0.38593
52,52,1986,Lower Saxony,Rural regions,4 rooms,0.32654,67,4063,0.29851,0.355
53,53,1986,Lower Saxony,Rural regions,5 rooms,0.17763,38,4063,0.16503,0.19057
54,54,1986,Lower Saxony,Rural regions,6 rooms,0.15442,35,4063,0.13933,0.17016
55,55,1986,North Rhine-Westphalia,Urban regions,1 room,0.06527,69,4063,0.05731,0.07412
56,56,1986,North Rhine-Westphalia,Urban regions,2 rooms,0.2557,273,4063,0.23651,0.27332
57,57,1986,North Rhine-Westphalia,Urban regions,3 rooms,0.35146,478,4063,0.33167,0.3721
58,58,1986,North Rhine-Westphalia,Urban regions,4 rooms,0.19106,269,4063,0.18085,0.20505
59,59,1986,North Rhine-Westphalia,Urban regions,5 rooms,0.08597,127,4063,0.07868,0.09344
60,60,1986,North Rhine-Westphalia,Urban regions,6 rooms,0.05055,67,4063,0.04583,0.05504
61,61,1986,Hesse,Urban regions,2 rooms,0.24573,81,4063,0.20205,0.28908
62,62,1986,Hesse,Urban regions,3 rooms,0.43045,168,4063,0.38195,0.4785
63,63,1986,Hesse,Urban regions,4 rooms,0.21815,79,4063,0.18848,0.24463
64,64,1986,Hesse,Urban regions,5 rooms,0.10567,38,4063,0.08799,0.1232
