year,hhtyp,rentown,hgroom,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Single-person household,Owner,2 rooms,0.22059,56,204,0.16355,0.27763
1984,Single-person household,Owner,3 rooms,0.39594,101,204,0.32866,0.46321
1984,Single-person household,Owner,4 rooms,0.18572,47,204,0.13223,0.23922
1984,Single-person household,Tenant,1 room,0.18808,241,1021,0.16410,0.21206
1984,Single-person household,Tenant,2 rooms,0.47182,469,1021,0.44118,0.50245
1984,Single-person household,Tenant,3 rooms,0.28748,272,1021,0.25971,0.31526
1984,Single-person household,Tenant,4 rooms,0.04236,39,1021,0.03000,0.05472
1984,Couple without children,Owner,2 rooms,0.09877,50,487,0.07224,0.12530
1984,Couple without children,Owner,3 rooms,0.28912,147,487,0.24882,0.32943
1984,Couple without children,Owner,4 rooms,0.32271,166,487,0.28114,0.36427
1984,Couple without children,Owner,5 rooms,0.15594,81,487,0.12369,0.18820
1984,Couple without children,Owner,6 rooms,0.08637,43,487,0.06140,0.11135
1984,Couple without children,Tenant,2 rooms,0.32056,302,795,0.28810,0.35302
1984,Couple without children,Tenant,3 rooms,0.49738,390,795,0.46260,0.53215
1984,Couple without children,Tenant,4 rooms,0.13331,103,795,0.10966,0.15695
1984,Single parent,Tenant,2 rooms,0.18939,55,216,0.13702,0.24177
1984,Single parent,Tenant,3 rooms,0.52786,121,216,0.46113,0.59459
1984,Single parent,Tenant,4 rooms,0.19286,40,216,0.14013,0.24560
1984,Couple with children,Owner,3 rooms,0.12394,138,993,0.10344,0.14445
1984,Couple with children,Owner,4 rooms,0.29393,307,993,0.26558,0.32228
1984,Couple with children,Owner,5 rooms,0.25633,266,993,0.22916,0.28350
1984,Couple with children,Owner,6 rooms,0.16689,163,993,0.14368,0.19009
1984,Couple with children,Owner,7 rooms,0.07911,78,993,0.06232,0.09591
1984,Couple with children,Owner,8 rooms,0.04345,41,993,0.03076,0.05613
1984,Couple with children,Tenant,2 rooms,0.06528,185,1568,0.05305,0.07752
1984,Couple with children,Tenant,3 rooms,0.46959,802,1568,0.44488,0.49430
1984,Couple with children,Tenant,4 rooms,0.29435,407,1568,0.27178,0.31692
1984,Couple with children,Tenant,5 rooms,0.10434,133,1568,0.08920,0.11947
1984,Couple with children,Tenant,6 rooms,0.03560,41,1568,0.02642,0.04477
1984,Other Combinations,Tenant,3 rooms,0.50214,40,40,0.34521,0.65906
1985,Single-person household,Owner,2 rooms,0.22435,47,173,0.16201,0.28670
1985,Single-person household,Owner,3 rooms,0.37780,82,173,0.30534,0.45026
1985,Single-person household,Owner,4 rooms,0.19771,44,173,0.13819,0.25723
1985,Single-person household,Tenant,1 room,0.19307,216,909,0.16739,0.21874
1985,Single-person household,Tenant,2 rooms,0.45240,408,909,0.42002,0.48477
1985,Single-person household,Tenant,3 rooms,0.29652,249,909,0.26681,0.32622
1985,Single-person household,Tenant,4 rooms,0.04489,36,909,0.03142,0.05836
1985,Couple without children,Owner,2 rooms,0.10203,46,440,0.07372,0.13035
1985,Couple without children,Owner,3 rooms,0.28200,129,440,0.23991,0.32409
1985,Couple without children,Owner,4 rooms,0.31118,146,440,0.26787,0.35449
1985,Couple without children,Owner,5 rooms,0.16412,76,440,0.12947,0.19877
1985,Couple without children,Owner,6 rooms,0.09467,43,440,0.06728,0.12206
1985,Couple without children,Tenant,2 rooms,0.29656,252,722,0.26322,0.32989
1985,Couple without children,Tenant,3 rooms,0.50180,361,722,0.46531,0.53830
1985,Couple without children,Tenant,4 rooms,0.15477,109,722,0.12837,0.18117
1985,Single parent,Tenant,2 rooms,0.19437,46,190,0.13795,0.25079
1985,Single parent,Tenant,3 rooms,0.48278,101,190,0.41153,0.55402
