,Unnamed: 0,year,hhtyp,sampreg,hgroom,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1984,Single-person household,West,1 room,0.16387,256,5478,0.15392,0.17221
1,1,1984,Single-person household,West,2 rooms,0.43111,525,5478,0.41837,0.44335
2,2,1984,Single-person household,West,3 rooms,0.32609,373,5478,0.31592,0.3354
3,3,1984,Single-person household,West,4 rooms,0.07893,86,5478,0.07539,0.08255
4,4,1984,Couple without children,West,2 rooms,0.23084,352,5478,0.21812,0.24249
5,5,1984,Couple without children,West,3 rooms,0.41939,537,5478,0.41039,0.43021
6,6,1984,Couple without children,West,4 rooms,0.2229,269,5478,0.2159,0.22922
7,7,1984,Couple without children,West,5 rooms,0.085,100,5478,0.08101,0.08854
8,8,1984,Couple without children,West,6 rooms,0.04187,47,5478,0.03985,0.04354
9,9,1984,Single parent,West,2 rooms,0.14974,57,5478,0.12352,0.17131
10,10,1984,Single parent,West,3 rooms,0.48728,142,5478,0.44982,0.52214
11,11,1984,Single parent,West,4 rooms,0.23748,61,5478,0.21658,0.25212
12,12,1984,Single parent,West,5 rooms,0.1255,35,5478,0.11089,0.13988
13,13,1984,Couple with children,West,2 rooms,0.03658,195,5478,0.03144,0.0417
14,14,1984,Couple with children,West,3 rooms,0.29379,940,5478,0.27925,0.30731
15,15,1984,Couple with children,West,4 rooms,0.30068,714,5478,0.28969,0.311
16,16,1984,Couple with children,West,5 rooms,0.18857,399,5478,0.18249,0.19545
17,17,1984,Couple with children,West,6 rooms,0.10714,204,5478,0.10385,0.11071
18,18,1984,Couple with children,West,7 rooms,0.04542,84,5478,0.04296,0.04803
19,19,1984,Couple with children,West,8 rooms,0.02781,50,5478,0.02624,0.02924
20,20,1984,Other Combinations,West,3 rooms,1.0,52,5478,0.87382,1.12326
21,21,1985,Single-person household,West,1 room,0.16956,228,4915,0.15877,0.18258
22,22,1985,Single-person household,West,2 rooms,0.42027,455,4915,0.40633,0.43445
23,23,1985,Single-person household,West,3 rooms,0.3283,331,4915,0.3154,0.33849
24,24,1985,Single-person household,West,4 rooms,0.08187,80,4915,0.07759,0.08578
25,25,1985,Couple without children,West,2 rooms,0.21866,298,4915,0.20412,0.23119
26,26,1985,Couple without children,West,3 rooms,0.41867,490,4915,0.40665,0.43292
27,27,1985,Couple without children,West,4 rooms,0.22879,255,4915,0.2224,0.23639
28,28,1985,Couple without children,West,5 rooms,0.08949,95,4915,0.08559,0.09336
29,29,1985,Couple without children,West,6 rooms,0.04439,46,4915,0.04163,0.04692
30,30,1985,Single parent,West,2 rooms,0.14863,47,4915,0.12104,0.17431
31,31,1985,Single parent,West,3 rooms,0.44732,120,4915,0.40769,0.48116
32,32,1985,Single parent,West,4 rooms,0.26046,63,4915,0.23384,0.28092
33,33,1985,Single parent,West,5 rooms,0.14359,34,4915,0.12505,0.15903
34,34,1985,Couple with children,West,2 rooms,0.03658,158,4915,0.03243,0.04222
35,35,1985,Couple with children,West,3 rooms,0.28614,818,4915,0.27162,0.30238
36,36,1985,Couple with children,West,4 rooms,0.29985,651,4915,0.28754,0.31074
37,37,1985,Couple with children,West,5 rooms,0.18995,371,4915,0.18149,0.1976
38,38,1985,Couple with children,West,6 rooms,0.11123,198,4915,0.10599,0.11556
39,39,1985,Couple with children,West,7 rooms,0.04951,85,4915,0.04687,0.05211
40,40,1985,Couple with children,West,8 rooms,0.02674,45,4915,0.02505,0.02838
41,41,1985,Other Combinations,West,3 rooms,1.0,47,4915,0.83815,1.16932
42,42,1986,Single-person household,West,1 room,0.18007,227,4680,0.16842,0.19215
43,43,1986,Single-person household,West,2 rooms,0.41105,412,4680,0.39848,0.42566
44,44,1986,Single-person household,West,3 rooms,0.31843,300,4680,0.30798,0.33157
45,45,1986,Single-person household,West,4 rooms,0.09045,88,4680,0.08457,0.09541
46,46,1986,Couple without children,West,2 rooms,0.22051,291,4680,0.20582,0.23644
47,47,1986,Couple without children,West,3 rooms,0.41935,479,4680,0.40502,0.43508
48,48,1986,Couple without children,West,4 rooms,0.2263,249,4680,0.21905,0.23525
49,49,1986,Couple without children,West,5 rooms,0.08426,90,4680,0.07824,0.08941
50,50,1986,Couple without children,West,6 rooms,0.04957,52,4680,0.04635,0.05356
51,51,1986,Single parent,West,2 rooms,0.12198,38,4680,0.09542,0.15201
52,52,1986,Single parent,West,3 rooms,0.46235,112,4680,0.42323,0.50151
53,53,1986,Single parent,West,4 rooms,0.27244,58,4680,0.24989,0.29347
54,54,1986,Single parent,West,5 rooms,0.14323,35,4680,0.12336,0.16226
55,55,1986,Couple with children,West,2 rooms,0.03745,148,4680,0.03115,0.04295
56,56,1986,Couple with children,West,3 rooms,0.29292,780,4680,0.27696,0.30944
57,57,1986,Couple with children,West,4 rooms,0.28966,594,4680,0.27631,0.29981
58,58,1986,Couple with children,West,5 rooms,0.18547,346,4680,0.17674,0.19322
59,59,1986,Couple with children,West,6 rooms,0.11913,204,4680,0.11404,0.12561
60,60,1986,Couple with children,West,7 rooms,0.0459,79,4680,0.04326,0.04851
61,61,1986,Couple with children,West,8 rooms,0.02947,51,4680,0.02713,0.03145
62,62,1986,Other Combinations,West,3 rooms,1.0,47,4680,0.82369,1.18873
63,63,1987,Single-person household,West,1 room,0.17407,212,4610,0.16271,0.1859
64,64,1987,Single-person household,West,2 rooms,0.41688,422,4610,0.40142,0.43179
65,65,1987,Single-person household,West,3 rooms,0.31401,298,4610,0.30122,0.32488
66,66,1987,Single-person household,West,4 rooms,0.09504,94,4610,0.08955,0.10168
67,67,1987,Couple without children,West,2 rooms,0.20643,273,4610,0.19378,0.22066
68,68,1987,Couple without children,West,3 rooms,0.41282,465,4610,0.39693,0.42683
69,69,1987,Couple without children,West,4 rooms,0.23223,247,4610,0.22303,0.24157
70,70,1987,Couple without children,West,5 rooms,0.09108,101,4610,0.08572,0.09663
71,71,1987,Couple without children,West,6 rooms,0.05744,60,4610,0.05368,0.06083
72,72,1987,Single parent,West,2 rooms,0.11907,33,4610,0.0928,0.14489
73,73,1987,Single parent,West,3 rooms,0.49267,114,4610,0.44822,0.53814
74,74,1987,Single parent,West,4 rooms,0.23777,54,4610,0.21551,0.26755
75,75,1987,Single parent,West,5 rooms,0.15049,33,4610,0.13044,0.1714
76,76,1987,Couple with children,West,2 rooms,0.03719,148,4610,0.03176,0.04275
77,77,1987,Couple with children,West,3 rooms,0.29336,759,4610,0.2782,0.30757
78,78,1987,Couple with children,West,4 rooms,0.28623,582,4610,0.27516,0.30191
79,79,1987,Couple with children,West,5 rooms,0.19815,356,4610,0.19021,0.20631
80,80,1987,Couple with children,West,6 rooms,0.10612,182,4610,0.10041,0.11028
81,81,1987,Couple with children,West,7 rooms,0.05047,86,4610,0.04708,0.05479
82,82,1987,Couple with children,West,8 rooms,0.02847,48,4610,0.02673,0.03069
83,83,1987,Other Combinations,West,3 rooms,1.0,43,4610,0.84519,1.17727
84,84,1988,Single-person household,West,1 room,0.16337,190,4455,0.15259,0.17315
85,85,1988,Single-person household,West,2 rooms,0.39482,392,4455,0.37565,0.40869
86,86,1988,Single-person household,West,3 rooms,0.31961,303,4455,0.3079,0.33112
87,87,1988,Single-person household,West,4 rooms,0.0902,89,4455,0.08423,0.09501
88,88,1988,Single-person household,West,5 rooms,0.03199,33,4455,0.0282,0.0356
89,89,1988,Couple without children,West,2 rooms,0.21728,284,4455,0.20428,0.23436
90,90,1988,Couple without children,West,3 rooms,0.41744,460,4455,0.40104,0.43568
91,91,1988,Couple without children,West,4 rooms,0.2198,226,4455,0.21196,0.2291
92,92,1988,Couple without children,West,5 rooms,0.08836,92,4455,0.08272,0.09332
93,93,1988,Couple without children,West,6 rooms,0.05712,56,4455,0.0533,0.06114
94,94,1988,Single parent,West,2 rooms,0.1423,39,4455,0.11149,0.17915
95,95,1988,Single parent,West,3 rooms,0.47965,111,4455,0.43251,0.53807
96,96,1988,Single parent,West,4 rooms,0.23525,53,4455,0.20994,0.26456
97,97,1988,Single parent,West,5 rooms,0.1428,32,4455,0.12594,0.1589
98,98,1988,Couple with children,West,2 rooms,0.03115,117,4455,0.02502,0.03763
99,99,1988,Couple with children,West,3 rooms,0.28954,719,4455,0.27437,0.31054
100,100,1988,Couple with children,West,4 rooms,0.285,562,4455,0.27134,0.29707
101,101,1988,Couple with children,West,5 rooms,0.1928,329,4455,0.18316,0.20309
102,102,1988,Couple with children,West,6 rooms,0.12037,193,4455,0.11524,0.12626
103,103,1988,Couple with children,West,7 rooms,0.05305,86,4455,0.04924,0.0572
104,104,1988,Couple with children,West,8 rooms,0.02809,49,4455,0.02528,0.03069
105,105,1988,Other Combinations,West,3 rooms,1.0,40,4455,0.82387,1.16484
106,106,1989,Single-person household,West,1 room,0.14611,169,4292,0.13546,0.15635
107,107,1989,Single-person household,West,2 rooms,0.40584,410,4292,0.39072,0.4219
108,108,1989,Single-person household,West,3 rooms,0.31603,299,4292,0.30472,0.32742
109,109,1989,Single-person household,West,4 rooms,0.09425,92,4292,0.08921,0.09895
110,110,1989,Single-person household,West,5 rooms,0.03777,42,4292,0.03334,0.0417
