year,quintil_oecd_hh,rentown,hlf0186,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2001,1st Quintile,Owner,Yes,0.70900,264,385,0.66357,0.75443
2001,1st Quintile,Owner,No,0.29100,121,385,0.24557,0.33643
2001,1st Quintile,Tenant,Yes,0.47435,824,1818,0.45139,0.49731
2001,1st Quintile,Tenant,No,0.52565,994,1818,0.50269,0.54861
2001,2nd Quintile,Owner,Yes,0.84690,738,902,0.82338,0.87041
2001,2nd Quintile,Owner,No,0.15310,164,902,0.12959,0.17662
2001,2nd Quintile,Tenant,Yes,0.70439,1086,1537,0.68157,0.72721
2001,2nd Quintile,Tenant,No,0.29561,451,1537,0.27279,0.31843
2001,3rd Quintile,Owner,Yes,0.88145,1005,1157,0.86281,0.90008
2001,3rd Quintile,Owner,No,0.11855,152,1157,0.09992,0.13719
2001,3rd Quintile,Tenant,Yes,0.78357,985,1261,0.76083,0.80631
2001,3rd Quintile,Tenant,No,0.21643,276,1261,0.19369,0.23917
2001,4th Quintile,Owner,Yes,0.89248,1169,1317,0.87574,0.90921
2001,4th Quintile,Owner,No,0.10752,148,1317,0.09079,0.12426
2001,4th Quintile,Tenant,Yes,0.82650,851,1028,0.80334,0.84966
2001,4th Quintile,Tenant,No,0.17350,177,1028,0.15034,0.19666
2001,5th Quintile,Owner,Yes,0.94217,1357,1455,0.93018,0.95417
2001,5th Quintile,Owner,No,0.05783,98,1455,0.04583,0.06982
2001,5th Quintile,Tenant,Yes,0.90044,646,711,0.87842,0.92247
2001,5th Quintile,Tenant,No,0.09956,65,711,0.07753,0.12158
2003,1st Quintile,Owner,Yes,0.66414,228,350,0.61458,0.71369
2003,1st Quintile,Owner,No,0.33586,122,350,0.28631,0.38542
2003,1st Quintile,Tenant,Yes,0.38398,630,1681,0.36073,0.40724
2003,1st Quintile,Tenant,No,0.61602,1051,1681,0.59276,0.63927
2003,2nd Quintile,Owner,Yes,0.76298,618,819,0.73384,0.79212
2003,2nd Quintile,Owner,No,0.23702,201,819,0.20788,0.26616
2003,2nd Quintile,Tenant,Yes,0.63750,877,1368,0.61202,0.66298
2003,2nd Quintile,Tenant,No,0.36250,491,1368,0.33702,0.38798
2003,3rd Quintile,Owner,Yes,0.79702,825,1038,0.77254,0.82150
2003,3rd Quintile,Owner,No,0.20298,213,1038,0.17850,0.22746
2003,3rd Quintile,Tenant,Yes,0.73616,852,1176,0.71096,0.76136
2003,3rd Quintile,Tenant,No,0.26384,324,1176,0.23864,0.28904
2003,4th Quintile,Owner,Yes,0.84942,1075,1270,0.82974,0.86910
2003,4th Quintile,Owner,No,0.15058,195,1270,0.13090,0.17026
2003,4th Quintile,Tenant,Yes,0.77113,765,991,0.74496,0.79730
2003,4th Quintile,Tenant,No,0.22887,226,991,0.20270,0.25504
2003,5th Quintile,Owner,Yes,0.90097,1944,2138,0.88831,0.91364
2003,5th Quintile,Owner,No,0.09903,194,2138,0.08636,0.11169
2003,5th Quintile,Tenant,Yes,0.83492,747,879,0.81037,0.85948
2003,5th Quintile,Tenant,No,0.16508,132,879,0.14052,0.18963
2005,1st Quintile,Owner,Yes,0.55143,183,323,0.49710,0.60575
2005,1st Quintile,Owner,No,0.44857,140,323,0.39425,0.50290
2005,1st Quintile,Tenant,Yes,0.34109,547,1628,0.31805,0.36413
2005,1st Quintile,Tenant,No,0.65891,1081,1628,0.63587,0.68195
2005,2nd Quintile,Owner,Yes,0.73479,541,754,0.70326,0.76632
2005,2nd Quintile,Owner,No,0.26521,213,754,0.23368,0.29674
2005,2nd Quintile,Tenant,Yes,0.60569,773,1293,0.57905,0.63234
2005,2nd Quintile,Tenant,No,0.39431,520,1293,0.36766,0.42095
2005,3rd Quintile,Owner,Yes,0.79803,799,1011,0.77328,0.82279
2005,3rd Quintile,Owner,No,0.20197,212,1011,0.17721,0.22672
2005,3rd Quintile,Tenant,Yes,0.69872,744,1075,0.67128,0.72616
2005,3rd Quintile,Tenant,No,0.30128,331,1075,0.27384,0.32872
2005,4th Quintile,Owner,Yes,0.83627,1083,1293,0.81609,0.85645
2005,4th Quintile,Owner,No,0.16373,210,1293,0.14355,0.18391
2005,4th Quintile,Tenant,Yes,0.75268,696,909,0.72462,0.78074
2005,4th Quintile,Tenant,No,0.24732,213,909,0.21926,0.27538
2005,5th Quintile,Owner,Yes,0.91773,1791,1963,0.90557,0.92989
2005,5th Quintile,Owner,No,0.08227,172,1963,0.07011,0.09443
2005,5th Quintile,Tenant,Yes,0.86872,755,867,0.84622,0.89121
2005,5th Quintile,Tenant,No,0.13128,112,867,0.10879,0.15378
2007,1st Quintile,Owner,Yes,0.58432,182,324,0.53057,0.63807
2007,1st Quintile,Owner,No,0.41568,142,324,0.36193,0.46943
2007,1st Quintile,Tenant,Yes,0.30633,504,1619,0.28386,0.32879
2007,1st Quintile,Tenant,No,0.69367,1115,1619,0.67121,0.71614
2007,2nd Quintile,Owner,Yes,0.69087,503,735,0.65744,0.72431
2007,2nd Quintile,Owner,No,0.30913,232,735,0.27569,0.34256
2007,2nd Quintile,Tenant,Yes,0.55523,765,1354,0.52875,0.58171
2007,2nd Quintile,Tenant,No,0.44477,589,1354,0.41829,0.47125
2007,3rd Quintile,Owner,Yes,0.79626,866,1115,0.77261,0.81991
2007,3rd Quintile,Owner,No,0.20374,249,1115,0.18009,0.22739
2007,3rd Quintile,Tenant,Yes,0.68214,745,1087,0.65444,0.70983
2007,3rd Quintile,Tenant,No,0.31786,342,1087,0.29017,0.34556
2007,4th Quintile,Owner,Yes,0.83394,1161,1380,0.81430,0.85358
2007,4th Quintile,Owner,No,0.16606,219,1380,0.14642,0.18570
2007,4th Quintile,Tenant,Yes,0.73945,709,937,0.71133,0.76757
2007,4th Quintile,Tenant,No,0.26055,228,937,0.23243,0.28867
2007,5th Quintile,Owner,Yes,0.89660,1838,2021,0.88332,0.90987
2007,5th Quintile,Owner,No,0.10340,183,2021,0.09013,0.11668
2007,5th Quintile,Tenant,Yes,0.85725,691,798,0.83296,0.88154
2007,5th Quintile,Tenant,No,0.14275,107,798,0.11846,0.16704
2011,1st Quintile,Owner,Yes,0.62127,237,378,0.57231,0.67024
2011,1st Quintile,Owner,No,0.37873,141,378,0.32976,0.42769
2011,1st Quintile,Tenant,Yes,0.34247,654,1852,0.32085,0.36409
2011,1st Quintile,Tenant,No,0.65753,1198,1852,0.63591,0.67915
2011,2nd Quintile,Owner,Yes,0.78663,655,854,0.75914,0.81413
2011,2nd Quintile,Owner,No,0.21337,199,854,0.18587,0.24086
2011,2nd Quintile,Tenant,Yes,0.62625,832,1368,0.60060,0.65189
2011,2nd Quintile,Tenant,No,0.37375,536,1368,0.34811,0.39940
2011,3rd Quintile,Owner,Yes,0.82888,1026,1225,0.80778,0.84998
2011,3rd Quintile,Owner,No,0.17112,199,1225,0.15002,0.19222
2011,3rd Quintile,Tenant,Yes,0.70706,805,1136,0.68059,0.73354
2011,3rd Quintile,Tenant,No,0.29294,331,1136,0.26646,0.31941
2011,4th Quintile,Owner,Yes,0.87068,1256,1461,0.85347,0.88789
2011,4th Quintile,Owner,No,0.12932,205,1461,0.11211,0.14653
2011,4th Quintile,Tenant,Yes,0.81400,780,965,0.78944,0.83857
2011,4th Quintile,Tenant,No,0.18600,185,965,0.16143,0.21056
2011,5th Quintile,Owner,Yes,0.91646,1845,1990,0.90430,0.92862
2011,5th Quintile,Owner,No,0.08354,145,1990,0.07138,0.09570
2011,5th Quintile,Tenant,Yes,0.86469,682,775,0.84059,0.88879
2011,5th Quintile,Tenant,No,0.13531,93,775,0.11121,0.15941
2013,1st Quintile,Owner,Yes,0.55905,215,391,0.50977,0.60833
2013,1st Quintile,Owner,No,0.44095,176,391,0.39167,0.49023
2013,1st Quintile,Tenant,Yes,0.32590,806,2632,0.30799,0.34381
2013,1st Quintile,Tenant,No,0.67410,1826,2632,0.65619,0.69201
2013,2nd Quintile,Owner,Yes,0.76724,656,881,0.73932,0.79516
2013,2nd Quintile,Owner,No,0.23276,225,881,0.20484,0.26068
2013,2nd Quintile,Tenant,Yes,0.61670,1086,1900,0.59483,0.63857
2013,2nd Quintile,Tenant,No,0.38330,814,1900,0.36143,0.40517
2013,3rd Quintile,Owner,Yes,0.82747,1059,1293,0.80687,0.84807
2013,3rd Quintile,Owner,No,0.17253,234,1293,0.15193,0.19313
2013,3rd Quintile,Tenant,Yes,0.69597,926,1323,0.67118,0.72077
2013,3rd Quintile,Tenant,No,0.30403,397,1323,0.27923,0.32882
2013,4th Quintile,Owner,Yes,0.87895,1288,1485,0.86235,0.89555
2013,4th Quintile,Owner,No,0.12105,197,1485,0.10445,0.13765
2013,4th Quintile,Tenant,Yes,0.80808,879,1092,0.78471,0.83145
2013,4th Quintile,Tenant,No,0.19192,213,1092,0.16855,0.21529
2013,5th Quintile,Owner,Yes,0.92945,1887,2018,0.91828,0.94063
2013,5th Quintile,Owner,No,0.07055,131,2018,0.05937,0.08172
2013,5th Quintile,Tenant,Yes,0.86184,740,840,0.83849,0.88519
2013,5th Quintile,Tenant,No,0.13816,100,840,0.11481,0.16151
2015,1st Quintile,Owner,Yes,0.64936,272,479,0.60658,0.69213
2015,1st Quintile,Owner,No,0.35064,207,479,0.30787,0.39342
2015,1st Quintile,Tenant,Yes,0.35119,917,3038,0.33422,0.36817
2015,1st Quintile,Tenant,No,0.64881,2121,3038,0.63183,0.66578
2015,2nd Quintile,Owner,Yes,0.79436,783,1075,0.77018,0.81853
2015,2nd Quintile,Owner,No,0.20564,292,1075,0.18147,0.22982
2015,2nd Quintile,Tenant,Yes,0.59751,1273,2281,0.57738,0.61764
2015,2nd Quintile,Tenant,No,0.40249,1008,2281,0.38236,0.42262
2015,3rd Quintile,Owner,Yes,0.81979,1145,1427,0.79984,0.83974
2015,3rd Quintile,Owner,No,0.18021,282,1427,0.16026,0.20016
2015,3rd Quintile,Tenant,Yes,0.69639,1090,1569,0.67363,0.71915
