year,bula_h,rentown,hlf0186,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2001,Schleswig-Holstein,Owner,Yes,0.85088,183,183,0.79913,0.90263
2001,Schleswig-Holstein,Tenant,Yes,0.71068,111,152,0.63836,0.78301
2001,Schleswig-Holstein,Tenant,No,0.28932,41,152,0.21699,0.36164
2001,Hamburg,Owner,Yes,0.87645,34,34,0.76418,0.98873
2001,Hamburg,Tenant,Yes,0.62797,85,142,0.54819,0.70775
2001,Hamburg,Tenant,No,0.37203,57,142,0.29225,0.45181
2001,Lower Saxony,Owner,Yes,0.86725,452,513,0.83786,0.89664
2001,Lower Saxony,Owner,No,0.13275,61,513,0.10336,0.16214
2001,Lower Saxony,Tenant,Yes,0.68235,300,435,0.63855,0.72615
2001,Lower Saxony,Tenant,No,0.31765,135,435,0.27385,0.36145
2001,Bremen,Owner,Yes,0.93755,34,34,0.85499,1.02011
2001,Bremen,Tenant,Yes,0.67078,40,40,0.52329,0.81827
2001,North Rhine-Westphalia,Owner,Yes,0.89637,910,1038,0.87782,0.91492
2001,North Rhine-Westphalia,Owner,No,0.10363,128,1038,0.08508,0.12218
2001,North Rhine-Westphalia,Tenant,Yes,0.67430,954,1425,0.64995,0.69864
2001,North Rhine-Westphalia,Tenant,No,0.32570,471,1425,0.30136,0.35005
2001,Hesse,Owner,Yes,0.93766,324,358,0.91258,0.96274
2001,Hesse,Owner,No,0.06234,34,358,0.03726,0.08742
2001,Hesse,Tenant,Yes,0.68620,290,415,0.64150,0.73090
2001,Hesse,Tenant,No,0.31380,125,415,0.26910,0.35850
2001,"Rhineland-Palatinate, Saarland",Owner,Yes,0.88159,343,404,0.85004,0.91313
2001,"Rhineland-Palatinate, Saarland",Owner,No,0.11841,61,404,0.08687,0.14996
2001,"Rhineland-Palatinate, Saarland",Tenant,Yes,0.64923,203,305,0.59558,0.70287
2001,"Rhineland-Palatinate, Saarland",Tenant,No,0.35077,102,305,0.29713,0.40442
2001,Baden-Wuerttemberg,Owner,Yes,0.89189,554,631,0.86764,0.91614
2001,Baden-Wuerttemberg,Owner,No,0.10811,77,631,0.08386,0.13236
2001,Baden-Wuerttemberg,Tenant,Yes,0.70096,488,719,0.66747,0.73445
2001,Baden-Wuerttemberg,Tenant,No,0.29904,231,719,0.26555,0.33253
2001,Bavaria,Owner,Yes,0.89885,768,853,0.87860,0.91909
2001,Bavaria,Owner,No,0.10115,85,853,0.08091,0.12140
2001,Bavaria,Tenant,Yes,0.76414,564,746,0.73366,0.79463
2001,Bavaria,Tenant,No,0.23586,182,746,0.20537,0.26634
2001,Berlin,Owner,Yes,0.83992,50,50,0.73724,0.94259
2001,Berlin,Tenant,Yes,0.65294,264,419,0.60731,0.69858
2001,Berlin,Tenant,No,0.34706,155,419,0.30142,0.39269
2001,Brandenburg,Owner,Yes,0.84529,165,199,0.79492,0.89566
2001,Brandenburg,Owner,No,0.15471,34,199,0.10434,0.20508
2001,Brandenburg,Tenant,Yes,0.74820,210,298,0.69884,0.79757
2001,Brandenburg,Tenant,No,0.25180,88,298,0.20243,0.30116
2001,Mecklenburg-Western Pomerania,Owner,Yes,0.83921,84,84,0.76018,0.91824
2001,Mecklenburg-Western Pomerania,Tenant,Yes,0.75266,133,182,0.68980,0.81552
2001,Mecklenburg-Western Pomerania,Tenant,No,0.24734,49,182,0.18448,0.31020
2001,Saxony,Owner,Yes,0.85600,253,306,0.81660,0.89540
2001,Saxony,Owner,No,0.14400,53,306,0.10460,0.18340
2001,Saxony,Tenant,Yes,0.76915,405,537,0.73347,0.80482
2001,Saxony,Tenant,No,0.23085,132,537,0.19518,0.26653
2001,Saxony-Anhalt,Owner,Yes,0.77959,180,231,0.72601,0.83316
2001,Saxony-Anhalt,Owner,No,0.22041,51,231,0.16684,0.27399
2001,Saxony-Anhalt,Tenant,Yes,0.67131,174,270,0.61517,0.72744
2001,Saxony-Anhalt,Tenant,No,0.32869,96,270,0.27256,0.38483
2001,Thuringa,Owner,Yes,0.86489,199,238,0.82136,0.90841
2001,Thuringa,Owner,No,0.13511,39,238,0.09159,0.17864
2001,Thuringa,Tenant,Yes,0.69499,172,252,0.63803,0.75195
2001,Thuringa,Tenant,No,0.30501,80,252,0.24805,0.36197
2003,Schleswig-Holstein,Owner,Yes,0.75131,177,216,0.69353,0.80909
2003,Schleswig-Holstein,Owner,No,0.24869,39,216,0.19091,0.30647
2003,Schleswig-Holstein,Tenant,Yes,0.59036,88,149,0.51113,0.66959
2003,Schleswig-Holstein,Tenant,No,0.40964,61,149,0.33041,0.48887
2003,Hamburg,Owner,Yes,0.83623,48,48,0.73043,0.94203
2003,Hamburg,Tenant,Yes,0.59766,75,127,0.51204,0.68329
2003,Hamburg,Tenant,No,0.40234,52,127,0.31671,0.48796
2003,Lower Saxony,Owner,Yes,0.81121,477,566,0.77894,0.84348
2003,Lower Saxony,Owner,No,0.18879,89,566,0.15652,0.22106
2003,Lower Saxony,Tenant,Yes,0.59433,250,405,0.54645,0.64221
2003,Lower Saxony,Tenant,No,0.40567,155,405,0.35779,0.45355
2003,Bremen,Owner,Yes,0.91376,41,41,0.82676,1.00075
2003,Bremen,Tenant,Yes,0.62227,35,35,0.45930,0.78523
2003,North Rhine-Westphalia,Owner,Yes,0.86973,997,1142,0.85019,0.88926
2003,North Rhine-Westphalia,Owner,No,0.13027,145,1142,0.11074,0.14981
2003,North Rhine-Westphalia,Tenant,Yes,0.64142,844,1331,0.61564,0.66719
2003,North Rhine-Westphalia,Tenant,No,0.35858,487,1331,0.33281,0.38436
2003,Hesse,Owner,Yes,0.85916,338,395,0.82481,0.89350
2003,Hesse,Owner,No,0.14084,57,395,0.10650,0.17519
2003,Hesse,Tenant,Yes,0.56948,244,404,0.52114,0.61783
2003,Hesse,Tenant,No,0.43052,160,404,0.38217,0.47886
2003,"Rhineland-Palatinate, Saarland",Owner,Yes,0.81722,336,421,0.78025,0.85418
2003,"Rhineland-Palatinate, Saarland",Owner,No,0.18278,85,421,0.14582,0.21975
2003,"Rhineland-Palatinate, Saarland",Tenant,Yes,0.57794,179,300,0.52196,0.63392
2003,"Rhineland-Palatinate, Saarland",Tenant,No,0.42206,121,300,0.36608,0.47804
2003,Baden-Wuerttemberg,Owner,Yes,0.81572,591,714,0.78726,0.84418
2003,Baden-Wuerttemberg,Owner,No,0.18428,123,714,0.15582,0.21274
2003,Baden-Wuerttemberg,Tenant,Yes,0.60287,412,686,0.56622,0.63951
2003,Baden-Wuerttemberg,Tenant,No,0.39713,274,686,0.36049,0.43378
2003,Bavaria,Owner,Yes,0.85137,793,911,0.82825,0.87448
2003,Bavaria,Owner,No,0.14863,118,911,0.12552,0.17175
2003,Bavaria,Tenant,Yes,0.68609,494,730,0.65240,0.71978
2003,Bavaria,Tenant,No,0.31391,236,730,0.28022,0.34760
2003,Berlin,Owner,Yes,0.79547,59,59,0.69167,0.89928
2003,Berlin,Tenant,Yes,0.59566,246,415,0.54838,0.64293
2003,Berlin,Tenant,No,0.40434,169,415,0.35707,0.45162
2003,Brandenburg,Owner,Yes,0.75755,153,198,0.69770,0.81740
2003,Brandenburg,Owner,No,0.24245,45,198,0.18260,0.30230
2003,Brandenburg,Tenant,Yes,0.67433,190,295,0.62076,0.72790
2003,Brandenburg,Tenant,No,0.32567,105,295,0.27210,0.37924
2003,Mecklenburg-Western Pomerania,Owner,Yes,0.69070,82,82,0.59005,0.79136
2003,Mecklenburg-Western Pomerania,Tenant,Yes,0.66296,114,167,0.59105,0.73487
2003,Mecklenburg-Western Pomerania,Tenant,No,0.33704,53,167,0.26513,0.40895
2003,Saxony,Owner,Yes,0.75360,245,313,0.70578,0.80141
2003,Saxony,Owner,No,0.24640,68,313,0.19859,0.29422
2003,Saxony,Tenant,Yes,0.70642,370,519,0.66720,0.74563
2003,Saxony,Tenant,No,0.29358,149,519,0.25437,0.33280
2003,Saxony-Anhalt,Owner,Yes,0.72944,162,217,0.67020,0.78869
2003,Saxony-Anhalt,Owner,No,0.27056,55,217,0.21131,0.32980
2003,Saxony-Anhalt,Tenant,Yes,0.66988,170,270,0.61369,0.72608
2003,Saxony-Anhalt,Tenant,No,0.33012,100,270,0.27392,0.38631
2003,Thuringa,Owner,Yes,0.82631,191,235,0.77777,0.87485
2003,Thuringa,Owner,No,0.17369,44,235,0.12515,0.22223
2003,Thuringa,Tenant,Yes,0.63348,160,246,0.57315,0.69382
2003,Thuringa,Tenant,No,0.36652,86,246,0.30618,0.42685
2005,Schleswig-Holstein,Owner,Yes,0.79471,166,201,0.73874,0.85069
2005,Schleswig-Holstein,Owner,No,0.20529,35,201,0.14931,0.26126
2005,Schleswig-Holstein,Tenant,Yes,0.55900,85,152,0.47980,0.63819
2005,Schleswig-Holstein,Tenant,No,0.44100,67,152,0.36181,0.52020
2005,Hamburg,Owner,Yes,0.94327,43,43,0.87332,1.01323
2005,Hamburg,Tenant,Yes,0.63567,85,128,0.55197,0.71937
2005,Hamburg,Tenant,No,0.36433,43,128,0.28063,0.44803
