year,bula_h,plb0037_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Schleswig-Holstein,Permanent job,0.35221,161,161,0.27820,0.42623
1985,Hamburg,Permanent job,0.37637,133,133,0.29372,0.45902
1985,Lower Saxony,Permanent job,0.31147,447,508,0.27116,0.35178
1985,Lower Saxony,Temporary job,0.04738,61,508,0.02889,0.06588
1985,North Rhine-Westphalia,Permanent job,0.33362,1318,1501,0.30976,0.35748
1985,North Rhine-Westphalia,Temporary job,0.04837,183,1501,0.03752,0.05923
1985,Hesse,Permanent job,0.34790,520,591,0.30947,0.38633
1985,Hesse,Temporary job,0.04722,71,591,0.03010,0.06433
1985,"Rhineland-Palatinate, Saarland",Permanent job,0.31654,316,364,0.26869,0.36439
1985,"Rhineland-Palatinate, Saarland",Temporary job,0.04828,48,364,0.02622,0.07033
1985,Baden-Wuerttemberg,Permanent job,0.37382,1062,1167,0.34605,0.40159
1985,Baden-Wuerttemberg,Temporary job,0.03898,105,1167,0.02787,0.05008
1985,Bavaria,Permanent job,0.33586,874,1005,0.30665,0.36507
1985,Bavaria,Temporary job,0.05267,131,1005,0.03885,0.06649
1985,Berlin,Permanent job,0.38093,179,211,0.31524,0.44661
1985,Berlin,Temporary job,0.06342,32,211,0.03046,0.09638
1986,Lower Saxony,Permanent job,0.02753,57,90,-0.00646,0.06153
1986,Lower Saxony,Temporary job,0.02318,33,90,-0.00808,0.05444
1986,North Rhine-Westphalia,Permanent job,0.03463,146,195,0.00890,0.06036
1986,North Rhine-Westphalia,Temporary job,0.01369,49,195,-0.00266,0.03005
1986,Hesse,Permanent job,0.05080,64,64,-0.00342,0.10503
1986,"Rhineland-Palatinate, Saarland",Permanent job,0.04748,50,50,-0.01206,0.10703
1986,Baden-Wuerttemberg,Permanent job,0.05555,136,176,0.02161,0.08949
1986,Baden-Wuerttemberg,Temporary job,0.01270,40,176,-0.00389,0.02929
1986,Bavaria,Permanent job,0.03739,100,100,0.00002,0.07476
1986,Berlin,Permanent job,0.08108,35,35,-0.01067,0.17283
1987,Lower Saxony,Permanent job,0.05386,85,125,0.01413,0.09360
1987,Lower Saxony,Temporary job,0.02813,40,125,-0.00097,0.05723
1987,North Rhine-Westphalia,Permanent job,0.05666,203,290,0.03000,0.08331
1987,North Rhine-Westphalia,Temporary job,0.02055,87,290,0.00419,0.03691
1987,Hesse,Permanent job,0.05517,84,121,0.01432,0.09602
1987,Hesse,Temporary job,0.01769,37,121,-0.00589,0.04128
1987,"Rhineland-Palatinate, Saarland",Permanent job,0.04422,47,47,-0.01519,0.10363
1987,Baden-Wuerttemberg,Permanent job,0.05157,143,192,0.02021,0.08294
1987,Baden-Wuerttemberg,Temporary job,0.01664,49,192,-0.00150,0.03479
1987,Bavaria,Permanent job,0.06174,143,213,0.02934,0.09414
1987,Bavaria,Temporary job,0.02540,70,213,0.00422,0.04657
1987,Berlin,Permanent job,0.09129,46,46,0.00714,0.17544
1988,Schleswig-Holstein,Permanent job,0.30602,133,166,0.23570,0.37633
1988,Schleswig-Holstein,Temporary job,0.06416,33,166,0.02677,0.10154
1988,Hamburg,Permanent job,0.41713,98,98,0.31900,0.51526
1988,Lower Saxony,Permanent job,0.33343,449,529,0.29321,0.37364
1988,Lower Saxony,Temporary job,0.05797,80,529,0.03804,0.07791
1988,Bremen,Permanent job,0.25886,35,35,0.11163,0.40609
1988,North Rhine-Westphalia,Permanent job,0.34824,1199,1375,0.32305,0.37343
1988,North Rhine-Westphalia,Temporary job,0.04649,176,1375,0.03536,0.05762
1988,Hesse,Permanent job,0.34478,469,527,0.30417,0.38540
1988,Hesse,Temporary job,0.03613,58,527,0.02018,0.05207
1988,"Rhineland-Palatinate, Saarland",Permanent job,0.32220,301,351,0.27324,0.37115
1988,"Rhineland-Palatinate, Saarland",Temporary job,0.05085,50,351,0.02784,0.07387
1988,Baden-Wuerttemberg,Permanent job,0.39136,994,1092,0.36240,0.42032
1988,Baden-Wuerttemberg,Temporary job,0.03703,98,1092,0.02582,0.04823
1988,Bavaria,Permanent job,0.36196,792,905,0.33064,0.39329
1988,Bavaria,Temporary job,0.04578,113,905,0.03215,0.05940
1988,Berlin,Permanent job,0.42711,170,170,0.35253,0.50168
1989,Lower Saxony,Permanent job,0.04782,54,54,-0.00963,0.10528
1989,North Rhine-Westphalia,Permanent job,0.05443,162,238,0.02555,0.08331
1989,North Rhine-Westphalia,Temporary job,0.02217,76,238,0.00343,0.04092
1989,Hesse,Permanent job,0.04039,62,62,-0.00902,0.08979
1989,"Rhineland-Palatinate, Saarland",Permanent job,0.06052,44,44,-0.01075,0.13180
1989,Baden-Wuerttemberg,Permanent job,0.05142,123,172,0.01831,0.08452
1989,Baden-Wuerttemberg,Temporary job,0.01627,49,172,-0.00269,0.03524
1989,Bavaria,Permanent job,0.05878,120,154,0.02151,0.09605
1989,Bavaria,Temporary job,0.01323,34,154,-0.00488,0.03133
1989,Berlin,Permanent job,0.07663,32,32,-0.01701,0.17026
1990,Lower Saxony,Permanent job,0.05571,66,66,-0.00005,0.11148
