year,migback,plb0037_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,No migration background,Permanent job,0.33824,3398,3885,0.32336,0.35312
1985,No migration background,Temporary job,0.04863,487,3885,0.04186,0.05539
1985,Direct migration background,Permanent job,0.44591,1600,1778,0.42280,0.46902
1985,Direct migration background,Temporary job,0.05544,178,1778,0.04480,0.06608
1985,Indirect migration background,Permanent job,0.05388,41,41,-0.01609,0.12385
1986,No migration background,Permanent job,0.04318,477,642,0.02744,0.05891
1986,No migration background,Temporary job,0.01573,165,642,0.00610,0.02536
1986,Direct migration background,Permanent job,0.04105,134,177,0.01173,0.07036
1986,Direct migration background,Temporary job,0.00879,43,177,-0.00500,0.02257
1987,No migration background,Permanent job,0.05903,597,838,0.04307,0.07500
1987,No migration background,Temporary job,0.02226,241,838,0.01226,0.03225
1987,Direct migration background,Permanent job,0.04695,186,272,0.02177,0.07214
1987,Direct migration background,Temporary job,0.02297,86,272,0.00513,0.04081
1988,No migration background,Permanent job,0.35663,3143,3595,0.34097,0.37229
1988,No migration background,Temporary job,0.04717,452,3595,0.04024,0.05410
1988,Direct migration background,Permanent job,0.45188,1429,1588,0.42739,0.47636
1988,Direct migration background,Temporary job,0.04703,159,1588,0.03662,0.05745
1988,Indirect migration background,Permanent job,0.05920,68,109,0.01469,0.10371
1988,Indirect migration background,Temporary job,0.02260,41,109,-0.00543,0.05062
1989,No migration background,Permanent job,0.05701,467,632,0.03892,0.07510
1989,No migration background,Temporary job,0.01780,165,632,0.00749,0.02812
1989,Direct migration background,Permanent job,0.05105,153,225,0.02223,0.07988
1989,Direct migration background,Temporary job,0.02075,72,225,0.00208,0.03942
1990,No migration background,Permanent job,0.15994,3460,3826,0.14832,0.17155
1990,No migration background,Temporary job,0.02138,366,3826,0.01679,0.02596
1990,Direct migration background,Permanent job,0.09504,262,327,0.06320,0.12687
1990,Direct migration background,Temporary job,0.02273,65,327,0.00655,0.03891
1990,Indirect migration background,Permanent job,0.01302,31,31,-0.02754,0.05358
1991,No migration background,Permanent job,0.06478,1019,1326,0.05152,0.07803
1991,No migration background,Temporary job,0.01906,307,1326,0.01170,0.02642
1991,Direct migration background,Permanent job,0.07470,213,268,0.04316,0.10623
1991,Direct migration background,Temporary job,0.01887,55,268,0.00255,0.03520
1991,Indirect migration background,Permanent job,0.01741,39,39,-0.02418,0.05901
1992,No migration background,Permanent job,0.06319,999,1321,0.05007,0.07632
1992,No migration background,Temporary job,0.01961,322,1321,0.01213,0.02709
1992,Direct migration background,Permanent job,0.05663,168,213,0.02551,0.08774
1992,Direct migration background,Temporary job,0.01635,45,213,-0.00072,0.03343
1992,Indirect migration background,Permanent job,0.02195,40,40,-0.02404,0.06794
1993,No migration background,Permanent job,0.06040,884,1137,0.04655,0.07425
1993,No migration background,Temporary job,0.01730,253,1137,0.00972,0.02488
1993,Direct migration background,Permanent job,0.04854,117,154,0.01449,0.08260
1993,Direct migration background,Temporary job,0.01594,37,154,-0.00390,0.03579
1993,Indirect migration background,Permanent job,0.02838,51,51,-0.01765,0.07441
1994,No migration background,Permanent job,0.04701,683,999,0.03388,0.06014
1994,No migration background,Temporary job,0.02096,316,999,0.01207,0.02985
1994,Direct migration background,Permanent job,0.03768,87,135,0.00544,0.06993
1994,Direct migration background,Temporary job,0.01597,48,135,-0.00526,0.03719
1994,Indirect migration background,Permanent job,0.03172,61,108,-0.00149,0.06493
1994,Indirect migration background,Temporary job,0.03367,47,108,-0.00051,0.06785
1995,No migration background,Permanent job,0.35933,4767,5449,0.34659,0.37208
1995,No migration background,Temporary job,0.04769,682,5449,0.04203,0.05335
1995,Direct migration background,Permanent job,0.38881,1298,1439,0.36361,0.41400
1995,Direct migration background,Temporary job,0.04848,141,1439,0.03738,0.05958
1995,Indirect migration background,Permanent job,0.10415,189,288,0.06881,0.13949
1995,Indirect migration background,Temporary job,0.06102,99,288,0.03333,0.08872
1996,No migration background,Permanent job,0.35878,4701,5344,0.34591,0.37164
1996,No migration background,Temporary job,0.04506,643,5344,0.03950,0.05063
1996,Direct migration background,Permanent job,0.38950,1207,1332,0.36330,0.41569
1996,Direct migration background,Temporary job,0.04857,125,1332,0.03702,0.06012
