year,bula_h,quintil_oecd_hh,hlc0080_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,2nd Quintile,No,0.89957,36,36,0.79999,0.99915
1984,Schleswig-Holstein,3rd Quintile,No,0.97350,39,39,0.92244,1.02457
1984,Schleswig-Holstein,4th Quintile,No,0.97952,42,42,0.93617,1.02287
1984,Hamburg,3rd Quintile,No,0.97552,37,37,0.92503,1.02600
1984,Lower Saxony,1st Quintile,Yes,0.31271,38,140,0.23564,0.38978
1984,Lower Saxony,1st Quintile,No,0.68729,102,140,0.61022,0.76436
1984,Lower Saxony,2nd Quintile,No,0.90224,105,105,0.84516,0.95932
1984,Lower Saxony,3rd Quintile,No,0.97287,110,110,0.94236,1.00337
1984,Lower Saxony,4th Quintile,No,0.97635,119,119,0.94893,1.00377
1984,Lower Saxony,5th Quintile,No,0.98923,95,95,0.96835,1.01010
1984,North Rhine-Westphalia,1st Quintile,Yes,0.24590,80,387,0.20294,0.28886
1984,North Rhine-Westphalia,1st Quintile,No,0.75410,307,387,0.71114,0.79706
1984,North Rhine-Westphalia,2nd Quintile,No,0.89990,296,296,0.86565,0.93415
1984,North Rhine-Westphalia,3rd Quintile,No,0.97090,284,284,0.95131,0.99048
1984,North Rhine-Westphalia,4th Quintile,No,0.98613,302,302,0.97292,0.99934
1984,North Rhine-Westphalia,5th Quintile,No,0.99679,280,280,0.99016,1.00343
1984,Hesse,1st Quintile,No,0.81619,111,111,0.74381,0.88858
1984,Hesse,2nd Quintile,No,0.97275,111,111,0.94232,1.00318
1984,Hesse,3rd Quintile,No,0.96956,91,91,0.93406,1.00505
1984,Hesse,4th Quintile,No,0.98729,119,119,0.96708,1.00750
1984,Hesse,5th Quintile,No,0.99219,125,125,0.97669,1.00768
1984,"Rhineland-Palatinate, Saarland",1st Quintile,No,0.89499,76,76,0.82561,0.96437
1984,"Rhineland-Palatinate, Saarland",2nd Quintile,No,0.95771,98,98,0.91765,0.99776
1984,"Rhineland-Palatinate, Saarland",3rd Quintile,No,0.97552,82,82,0.94187,1.00918
1984,Baden-Wuerttemberg,1st Quintile,No,0.82834,160,160,0.76972,0.88695
1984,Baden-Wuerttemberg,2nd Quintile,No,0.91712,209,209,0.87965,0.95458
1984,Bavaria,1st Quintile,No,0.87891,158,158,0.82787,0.92994
1984,Bavaria,2nd Quintile,No,0.97293,198,198,0.95026,0.99559
1984,Bavaria,3rd Quintile,No,0.98896,211,211,0.97483,1.00309
1984,Bavaria,4th Quintile,No,0.98739,199,199,0.97185,1.00293
1984,Berlin,3rd Quintile,No,0.95251,56,56,0.89631,1.00872
1984,Berlin,4th Quintile,No,0.95913,46,46,0.90129,1.01698
1985,Schleswig-Holstein,2nd Quintile,No,0.86520,36,36,0.75206,0.97835
1985,Schleswig-Holstein,3rd Quintile,No,0.97316,31,31,0.91533,1.03099
1985,Hamburg,3rd Quintile,No,0.97233,33,33,0.91549,1.02916
1985,Lower Saxony,1st Quintile,Yes,0.31207,31,114,0.22664,0.39751
1985,Lower Saxony,1st Quintile,No,0.67949,83,114,0.59345,0.76554
1985,Lower Saxony,2nd Quintile,No,0.86360,84,84,0.78976,0.93744
1985,Lower Saxony,3rd Quintile,No,0.93560,110,110,0.88952,0.98168
1985,Lower Saxony,4th Quintile,No,0.99059,87,87,0.97019,1.01100
1985,Lower Saxony,5th Quintile,No,0.97105,105,105,0.93882,1.00327
1985,North Rhine-Westphalia,1st Quintile,Yes,0.29292,79,323,0.24321,0.34263
1985,North Rhine-Westphalia,1st Quintile,No,0.70631,244,323,0.65656,0.75606
1985,North Rhine-Westphalia,2nd Quintile,No,0.93974,294,294,0.91249,0.96699
1985,North Rhine-Westphalia,3rd Quintile,No,0.94936,245,245,0.92184,0.97687
1985,North Rhine-Westphalia,4th Quintile,No,0.97118,272,272,0.95127,0.99110
1985,North Rhine-Westphalia,5th Quintile,No,0.98611,252,252,0.97162,1.00059
1985,Hesse,1st Quintile,No,0.81550,102,102,0.73986,0.89115
1985,Hesse,2nd Quintile,No,0.96704,99,99,0.93170,1.00239
1985,Hesse,4th Quintile,No,0.97325,108,108,0.94268,1.00382
1985,"Rhineland-Palatinate, Saarland",1st Quintile,No,0.86171,72,72,0.78141,0.94200
1985,"Rhineland-Palatinate, Saarland",3rd Quintile,No,0.94347,74,74,0.89050,0.99645
1985,Baden-Wuerttemberg,1st Quintile,No,0.78738,147,147,0.72101,0.85375
1985,Baden-Wuerttemberg,2nd Quintile,No,0.95612,182,182,0.92628,0.98596
1985,Baden-Wuerttemberg,3rd Quintile,No,0.98318,230,230,0.96652,0.99983
1985,Baden-Wuerttemberg,4th Quintile,No,0.99536,191,191,0.98569,1.00502
1985,Baden-Wuerttemberg,5th Quintile,No,0.99911,150,150,0.99434,1.00389
1985,Bavaria,1st Quintile,No,0.88470,126,126,0.82871,0.94069
1985,Bavaria,2nd Quintile,No,0.98804,193,193,0.97266,1.00342
1985,Bavaria,3rd Quintile,No,0.96884,171,171,0.94273,0.99496
1985,Bavaria,4th Quintile,No,0.98193,178,178,0.96230,1.00155
1985,Bavaria,5th Quintile,No,0.97781,190,190,0.95681,0.99881
1985,Berlin,1st Quintile,No,0.86781,32,32,0.74858,0.98704
1985,Berlin,2nd Quintile,No,0.86986,32,32,0.75141,0.98830
1985,Berlin,3rd Quintile,No,0.97711,42,42,0.93133,1.02289
1985,Berlin,4th Quintile,No,0.99687,40,40,0.97935,1.01439
1986,Schleswig-Holstein,2nd Quintile,No,0.98041,39,39,0.93635,1.02447
1986,Lower Saxony,1st Quintile,No,0.71664,80,80,0.61726,0.81601
1986,Lower Saxony,2nd Quintile,No,0.89501,99,99,0.83431,0.95570
1986,Lower Saxony,4th Quintile,No,0.98336,97,97,0.95777,1.00895
1986,Lower Saxony,5th Quintile,No,0.97238,95,95,0.93924,1.00551
1986,North Rhine-Westphalia,1st Quintile,Yes,0.24718,61,296,0.19795,0.29641
1986,North Rhine-Westphalia,1st Quintile,No,0.75282,235,296,0.70359,0.80205
1986,North Rhine-Westphalia,2nd Quintile,No,0.90379,243,243,0.86664,0.94094
1986,North Rhine-Westphalia,3rd Quintile,No,0.95456,268,268,0.92958,0.97954
1986,North Rhine-Westphalia,4th Quintile,No,0.98456,273,273,0.96991,0.99921
1986,North Rhine-Westphalia,5th Quintile,No,0.97963,240,240,0.96172,0.99754
1986,Hesse,1st Quintile,No,0.73274,89,89,0.64028,0.82520
1986,Hesse,2nd Quintile,No,0.95288,96,96,0.91027,0.99549
1986,Hesse,3rd Quintile,No,0.95620,71,71,0.90826,1.00414
1986,Hesse,4th Quintile,No,0.96355,107,107,0.92787,0.99923
1986,"Rhineland-Palatinate, Saarland",1st Quintile,No,0.78834,58,58,0.68230,0.89439
1986,"Rhineland-Palatinate, Saarland",2nd Quintile,No,0.99034,86,86,0.96955,1.01113
1986,"Rhineland-Palatinate, Saarland",3rd Quintile,No,0.99536,67,67,0.97898,1.01175
1986,"Rhineland-Palatinate, Saarland",4th Quintile,No,0.98720,69,69,0.96049,1.01392
1986,Baden-Wuerttemberg,1st Quintile,No,0.88520,141,141,0.83240,0.93801
1986,Baden-Wuerttemberg,2nd Quintile,No,0.95595,182,182,0.92606,0.98585
1986,Baden-Wuerttemberg,3rd Quintile,No,0.97019,205,205,0.94685,0.99353
1986,Bavaria,1st Quintile,No,0.85478,120,120,0.79148,0.91808
1986,Bavaria,2nd Quintile,No,0.95511,162,162,0.92312,0.98709
1986,Bavaria,3rd Quintile,No,0.98624,183,183,0.96931,1.00316
1986,Bavaria,4th Quintile,No,0.97944,165,165,0.95772,1.00116
1986,Bavaria,5th Quintile,No,0.99419,176,176,0.98293,1.00545
1986,Berlin,1st Quintile,No,0.84730,32,32,0.72068,0.97392
1986,Berlin,2nd Quintile,No,0.98747,32,32,0.94832,1.02663
1986,Berlin,4th Quintile,No,0.96696,45,45,0.91415,1.01978
1987,Schleswig-Holstein,4th Quintile,No,0.99654,32,32,0.97585,1.01722
1987,Lower Saxony,1st Quintile,Yes,0.37855,39,109,0.28708,0.47003
1987,Lower Saxony,1st Quintile,No,0.62145,70,109,0.52997,0.71292
1987,Lower Saxony,2nd Quintile,No,0.88038,89,89,0.81258,0.94818
1987,Lower Saxony,3rd Quintile,No,0.98137,104,104,0.95525,1.00748
1987,Lower Saxony,4th Quintile,No,0.98326,97,97,0.95759,1.00892
1987,North Rhine-Westphalia,1st Quintile,Yes,0.25398,67,291,0.20388,0.30408
1987,North Rhine-Westphalia,1st Quintile,No,0.74602,224,291,0.69592,0.79612
1987,North Rhine-Westphalia,2nd Quintile,No,0.89288,261,261,0.85529,0.93048
1987,North Rhine-Westphalia,3rd Quintile,No,0.95260,250,250,0.92620,0.97899
1987,North Rhine-Westphalia,4th Quintile,No,0.99150,244,244,0.97996,1.00304
1987,North Rhine-Westphalia,5th Quintile,No,0.98340,258,258,0.96778,0.99902
1987,Hesse,1st Quintile,No,0.70502,75,75,0.60112,0.80893
1987,Hesse,2nd Quintile,No,0.88898,76,76,0.81789,0.96008
1987,Hesse,3rd Quintile,No,0.97342,96,96,0.94107,1.00576
1987,Hesse,4th Quintile,No,0.97741,111,111,0.94965,1.00518
1987,Hesse,5th Quintile,No,0.98894,96,96,0.96792,1.00997
1987,"Rhineland-Palatinate, Saarland",1st Quintile,No,0.81097,60,60,0.71106,0.91088
1987,"Rhineland-Palatinate, Saarland",2nd Quintile,No,0.96132,76,76,0.91767,1.00496
1987,"Rhineland-Palatinate, Saarland",3rd Quintile,No,0.98229,71,71,0.95139,1.01319
1987,Baden-Wuerttemberg,1st Quintile,No,0.88163,117,117,0.82284,0.94042
1987,Baden-Wuerttemberg,2nd Quintile,No,0.92462,183,183,0.88626,0.96297
1987,Baden-Wuerttemberg,4th Quintile,No,0.97989,202,202,0.96048,0.99929
1987,Bavaria,1st Quintile,No,0.82856,124,124,0.76195,0.89517
1987,Bavaria,2nd Quintile,No,0.97252,164,164,0.94742,0.99762
1987,Bavaria,3rd Quintile,No,0.98719,178,178,0.97062,1.00376
1987,Bavaria,4th Quintile,No,0.98979,164,164,0.97436,1.00522
1987,Berlin,3rd Quintile,No,0.97263,45,45,0.92443,1.02084
1987,Berlin,4th Quintile,No,0.98241,48,48,0.94483,1.01999
1988,Schleswig-Holstein,2nd Quintile,No,0.90626,31,31,0.80197,1.01056
1988,Schleswig-Holstein,3rd Quintile,No,0.97849,37,37,0.93110,1.02588
1988,Lower Saxony,1st Quintile,Yes,0.32242,31,100,0.23035,0.41449
1988,Lower Saxony,1st Quintile,No,0.67758,69,100,0.58551,0.76965
1988,Lower Saxony,2nd Quintile,No,0.87536,86,86,0.80514,0.94558
1988,Lower Saxony,3rd Quintile,No,0.94947,85,85,0.90263,0.99631
1988,Lower Saxony,4th Quintile,No,0.96519,108,108,0.93045,0.99992
1988,North Rhine-Westphalia,1st Quintile,Yes,0.27313,80,298,0.22246,0.32381
1988,North Rhine-Westphalia,1st Quintile,No,0.71917,218,298,0.66806,0.77028
1988,North Rhine-Westphalia,2nd Quintile,No,0.86644,233,233,0.82266,0.91021
1988,North Rhine-Westphalia,3rd Quintile,No,0.96501,234,234,0.94142,0.98861
1988,North Rhine-Westphalia,4th Quintile,No,0.99184,234,234,0.98029,1.00339
1988,North Rhine-Westphalia,5th Quintile,No,0.98380,244,244,0.96792,0.99967
1988,Hesse,1st Quintile,No,0.77124,72,72,0.67354,0.86894
1988,Hesse,2nd Quintile,No,0.94231,92,92,0.89441,0.99022
