year,regtyp,hlc0080_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Urban regions,Yes,0.06737,249,4192,0.05978,0.07496
1985,Urban regions,No,0.92972,3943,4192,0.92198,0.93746
1985,Rural regions,Yes,0.06410,57,1063,0.04937,0.07883
1985,Rural regions,No,0.93279,1006,1063,0.91773,0.94785
1986,Urban regions,Yes,0.06371,225,4018,0.05616,0.07127
1986,Urban regions,No,0.93417,3793,4018,0.92650,0.94184
1986,Rural regions,Yes,0.06028,52,1009,0.04558,0.07497
1986,Rural regions,No,0.93443,957,1009,0.91915,0.94971
1987,Urban regions,Yes,0.06920,246,3967,0.06130,0.07710
1987,Urban regions,No,0.92842,3721,3967,0.92040,0.93645
1987,Rural regions,Yes,0.07682,70,997,0.06028,0.09336
1987,Rural regions,No,0.91928,927,997,0.90236,0.93620
1988,Urban regions,Yes,0.07137,253,3815,0.06320,0.07954
1988,Urban regions,No,0.92544,3562,3815,0.91710,0.93377
1988,Rural regions,Yes,0.08729,74,944,0.06927,0.10531
1988,Rural regions,No,0.91205,870,944,0.89397,0.93013
1989,Urban regions,Yes,0.06308,224,3733,0.05528,0.07088
1989,Urban regions,No,0.93342,3509,3733,0.92542,0.94142
1989,Rural regions,Yes,0.08630,69,905,0.06800,0.10461
1989,Rural regions,No,0.91163,836,905,0.89313,0.93013
1990,Urban regions,Yes,0.05739,214,3659,0.04985,0.06492
1990,Urban regions,No,0.83996,3445,3659,0.82808,0.85184
1990,Rural regions,Yes,0.04754,64,920,0.03378,0.06130
1990,Rural regions,No,0.54884,856,920,0.51667,0.58101
1991,Urban regions,Yes,0.05939,221,3672,0.05174,0.06704
1991,Urban regions,No,0.83962,3451,3672,0.82775,0.85150
1991,Rural regions,Yes,0.05037,69,929,0.03630,0.06444
1991,Rural regions,No,0.54400,860,929,0.51196,0.57605
1992,Urban regions,Yes,0.08190,387,4374,0.07377,0.09002
1992,Urban regions,No,0.91448,3987,4374,0.90619,0.92277
1992,Rural regions,Yes,0.15783,372,2145,0.14240,0.17327
1992,Rural regions,No,0.83736,1773,2145,0.82174,0.85298
1993,Urban regions,Yes,0.07770,370,4368,0.06976,0.08564
1993,Urban regions,No,0.91776,3998,4368,0.90962,0.92591
1993,Rural regions,Yes,0.16080,398,2178,0.14537,0.17623
1993,Rural regions,No,0.82959,1780,2178,0.81380,0.84538
1994,Urban regions,Yes,0.06532,313,4313,0.05794,0.07269
1994,Urban regions,No,0.93044,4000,4313,0.92285,0.93803
1994,Rural regions,Yes,0.12269,284,2158,0.10885,0.13654
1994,Rural regions,No,0.87115,1874,2158,0.85701,0.88529
1995,Urban regions,Yes,0.05941,303,4450,0.05247,0.06636
1995,Urban regions,No,0.93691,4147,4450,0.92977,0.94406
1995,Rural regions,Yes,0.09937,239,2229,0.08695,0.11180
1995,Rural regions,No,0.89912,1990,2229,0.88661,0.91162
1996,Urban regions,Yes,0.05226,269,4396,0.04568,0.05884
1996,Urban regions,No,0.94439,4127,4396,0.93761,0.95116
1996,Rural regions,Yes,0.08194,192,2219,0.07053,0.09336
1996,Rural regions,No,0.91684,2027,2219,0.90534,0.92833
1997,Urban regions,Yes,0.04732,258,4334,0.04100,0.05364
1997,Urban regions,No,0.94870,4076,4334,0.94213,0.95526
1997,Rural regions,Yes,0.07357,167,2197,0.06265,0.08449
