year,rentown,hlc0080_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Owner,Yes,0.01848,39,2004,0.01258,0.02437
1984,Owner,No,0.98061,1965,2004,0.97457,0.98665
1984,Tenant,Yes,0.09543,283,3852,0.08615,0.10471
1984,Tenant,No,0.90288,3569,3852,0.89353,0.91224
1985,Owner,Yes,0.02423,49,1860,0.01724,0.03122
1985,Owner,No,0.97305,1811,1860,0.96569,0.98041
1985,Tenant,Yes,0.09482,257,3395,0.08496,0.10467
1985,Tenant,No,0.90207,3138,3395,0.89207,0.91207
1986,Owner,Yes,0.01495,31,1833,0.00939,0.02051
1986,Owner,No,0.98321,1802,1833,0.97733,0.98910
1986,Tenant,Yes,0.09385,244,3190,0.08373,0.10397
1986,Tenant,No,0.90267,2946,3190,0.89238,0.91296
1987,Owner,Yes,0.01874,42,1826,0.01252,0.02496
1987,Owner,No,0.97825,1784,1826,0.97156,0.98494
1987,Tenant,Yes,0.10495,274,3136,0.09422,0.11568
1987,Tenant,No,0.89254,2862,3136,0.88170,0.90338
1988,Owner,Yes,0.01999,43,1743,0.01342,0.02656
1988,Owner,No,0.97682,1700,1743,0.96975,0.98389
1988,Tenant,Yes,0.11103,284,3015,0.09982,0.12225
1988,Tenant,No,0.88669,2731,3015,0.87537,0.89801
1989,Owner,Yes,0.01713,34,1709,0.01098,0.02329
1989,Owner,No,0.98072,1675,1709,0.97420,0.98724
1989,Tenant,Yes,0.10193,258,2926,0.09096,0.11289
1989,Tenant,No,0.89416,2668,2926,0.88302,0.90531
1990,Owner,Yes,0.01633,37,1732,0.01036,0.02230
1990,Owner,No,0.84835,1695,1732,0.83146,0.86525
1990,Tenant,Yes,0.07734,241,2846,0.06752,0.08715
1990,Tenant,No,0.69368,2605,2846,0.67674,0.71062
1991,Owner,Yes,0.01954,41,1744,0.01304,0.02604
1991,Owner,No,0.84326,1703,1744,0.82619,0.86032
1991,Tenant,Yes,0.07896,249,2856,0.06907,0.08886
1991,Tenant,No,0.69031,2607,2856,0.67335,0.70727
1992,Owner,Yes,0.04602,173,2323,0.03750,0.05454
1992,Owner,No,0.94901,2150,2323,0.94006,0.95795
1992,Tenant,Yes,0.14200,600,4255,0.13151,0.15249
1992,Tenant,No,0.85469,3655,4255,0.84410,0.86528
1993,Owner,Yes,0.03953,155,2313,0.03159,0.04747
1993,Owner,No,0.95281,2158,2313,0.94417,0.96146
1993,Tenant,Yes,0.14289,613,4232,0.13234,0.15343
1993,Tenant,No,0.85207,3619,4232,0.84138,0.86277
1994,Owner,Yes,0.02349,95,2323,0.01733,0.02965
1994,Owner,No,0.97201,2228,2323,0.96530,0.97872
1994,Tenant,Yes,0.12107,502,4145,0.11114,0.13101
1994,Tenant,No,0.87389,3643,4145,0.86378,0.88400
1995,Owner,Yes,0.01569,64,2356,0.01067,0.02071
1995,Owner,No,0.97971,2292,2356,0.97401,0.98540
1995,Tenant,Yes,0.10825,478,4323,0.09898,0.11751
1995,Tenant,No,0.88978,3845,4323,0.88044,0.89911
1996,Owner,Yes,0.01676,54,2392,0.01162,0.02191
1996,Owner,No,0.98235,2338,2392,0.97707,0.98763
1996,Tenant,Yes,0.09087,407,4223,0.08220,0.09954
1996,Tenant,No,0.90519,3816,4223,0.89636,0.91403
1997,Owner,Yes,0.01110,38,2439,0.00694,0.01525
1997,Owner,No,0.98580,2401,2439,0.98110,0.99050
1997,Tenant,Yes,0.08519,387,4093,0.07663,0.09374
1997,Tenant,No,0.91012,3706,4093,0.90136,0.91889
1998,Owner,Yes,0.01143,37,2895,0.00755,0.01530
1998,Owner,No,0.98548,2858,2895,0.98112,0.98984
1998,Tenant,Yes,0.08913,422,4508,0.08081,0.09745
1998,Tenant,No,0.90874,4086,4508,0.90034,0.91715
1999,Owner,Yes,0.00862,37,2852,0.00523,0.01202
1999,Owner,No,0.98764,2815,2852,0.98358,0.99169
1999,Tenant,Yes,0.09100,408,4257,0.08236,0.09964
1999,Tenant,No,0.90032,3849,4257,0.89132,0.90932
2000,Owner,Yes,0.00768,59,5811,0.00544,0.00993
2000,Owner,No,0.98950,5752,5811,0.98688,0.99212
2000,Tenant,Yes,0.07978,618,7116,0.07349,0.08608
2000,Tenant,No,0.91891,6498,7116,0.91257,0.92525
2001,Owner,Yes,0.00856,58,5260,0.00607,0.01105
2001,Owner,No,0.98999,5202,5260,0.98729,0.99268
2001,Tenant,Yes,0.09065,634,6388,0.08361,0.09769
2001,Tenant,No,0.90501,5754,6388,0.89782,0.91220
2002,Owner,Yes,0.01097,61,5842,0.00830,0.01364
2002,Owner,No,0.98841,5781,5842,0.98567,0.99116
2002,Tenant,Yes,0.08704,568,6346,0.08010,0.09397
2002,Tenant,No,0.90833,5778,6346,0.90122,0.91543
2003,Owner,Yes,0.01039,62,5659,0.00775,0.01303
2003,Owner,No,0.98961,5597,5659,0.98697,0.99225
2003,Tenant,Yes,0.09573,595,6122,0.08836,0.10310
2003,Tenant,No,0.89944,5527,6122,0.89191,0.90697
2004,Owner,Yes,0.01458,80,5561,0.01143,0.01773
2004,Owner,No,0.98542,5481,5561,0.98227,0.98857
2004,Tenant,Yes,0.10456,626,5959,0.09679,0.11233
2004,Tenant,No,0.89139,5333,5959,0.88349,0.89930
2005,Owner,Yes,0.01339,63,5383,0.01032,0.01646
2005,Owner,No,0.98573,5320,5383,0.98256,0.98890
2005,Tenant,Yes,0.11113,619,5794,0.10303,0.11922
2005,Tenant,No,0.88474,5175,5794,0.87652,0.89296
2006,Owner,Yes,0.00991,53,5999,0.00740,0.01241
2006,Owner,No,0.98925,5946,5999,0.98664,0.99186
2006,Tenant,Yes,0.07857,507,6237,0.07189,0.08525
2006,Tenant,No,0.91610,5730,6237,0.90922,0.92298
2007,Owner,Yes,0.00740,40,5618,0.00516,0.00964
2007,Owner,No,0.99218,5578,5618,0.98987,0.99448
2007,Tenant,Yes,0.07491,432,5808,0.06814,0.08168
2007,Tenant,No,0.91964,5376,5808,0.91265,0.92663
2008,Owner,Yes,0.00714,41,5379,0.00489,0.00939
2008,Owner,No,0.99286,5338,5379,0.99061,0.99511
2008,Tenant,Yes,0.06707,362,5441,0.06043,0.07372
2008,Tenant,No,0.93236,5079,5441,0.92569,0.93904
2009,Owner,Yes,0.00510,31,5047,0.00313,0.00706
2009,Owner,No,0.98969,5016,5047,0.98690,0.99248
2009,Tenant,Yes,0.06442,343,5051,0.05765,0.07119
2009,Tenant,No,0.91827,4708,5051,0.91072,0.92583
2010,Owner,Yes,0.00566,80,6328,0.00381,0.00751
2010,Owner,No,0.99311,6248,6328,0.99108,0.99515
2010,Tenant,Yes,0.06329,676,7465,0.05777,0.06882
2010,Tenant,No,0.93601,6789,7465,0.93045,0.94156
2011,Owner,Yes,0.00494,99,7561,0.00336,0.00652
2011,Owner,No,0.96835,7462,7561,0.96440,0.97229
