year,bula_h,regtyp,hlc0080_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Schleswig-Holstein,Urban regions,No,0.92315,80,80,0.86441,0.98188
1985,Schleswig-Holstein,Rural regions,No,0.93215,85,85,0.87837,0.98593
1985,Hamburg,Urban regions,No,0.94176,148,148,0.90390,0.97962
1985,Lower Saxony,Urban regions,No,0.90581,226,226,0.86764,0.94398
1985,Lower Saxony,Rural regions,No,0.86552,244,244,0.82262,0.90841
1985,Bremen,Urban regions,No,0.81854,55,55,0.71575,0.92134
1985,North Rhine-Westphalia,Urban regions,Yes,0.08605,110,1387,0.07129,0.10081
1985,North Rhine-Westphalia,Urban regions,No,0.90778,1277,1387,0.89255,0.92302
1985,Hesse,Urban regions,No,0.94753,438,438,0.92662,0.96844
1985,Hesse,Rural regions,No,0.96749,67,67,0.92470,1.01028
1985,"Rhineland-Palatinate, Saarland",Urban regions,No,0.94269,277,277,0.91527,0.97011
1985,Baden-Wuerttemberg,Urban regions,Yes,0.04879,33,810,0.03395,0.06364
1985,Baden-Wuerttemberg,Urban regions,No,0.95109,777,810,0.93623,0.96595
1985,Baden-Wuerttemberg,Rural regions,No,0.93358,125,125,0.88974,0.97741
1985,Bavaria,Urban regions,No,0.95727,470,470,0.93897,0.97558
1985,Bavaria,Rural regions,No,0.97060,390,390,0.95381,0.98739
1985,Berlin,Urban regions,No,0.95405,195,195,0.92458,0.98351
1986,Schleswig-Holstein,Urban regions,No,0.92944,73,73,0.87028,0.98859
1986,Schleswig-Holstein,Rural regions,No,0.98099,81,81,0.95107,1.01092
1986,Hamburg,Urban regions,No,0.92827,134,134,0.88442,0.97213
1986,Lower Saxony,Urban regions,No,0.92581,240,240,0.89259,0.95904
1986,Lower Saxony,Rural regions,No,0.88757,236,236,0.84718,0.92796
1986,Bremen,Urban regions,No,0.83871,52,52,0.73776,0.93965
1986,North Rhine-Westphalia,Urban regions,Yes,0.08378,98,1331,0.06889,0.09867
1986,North Rhine-Westphalia,Urban regions,No,0.91492,1233,1331,0.89993,0.92992
1986,Hesse,Urban regions,Yes,0.07822,33,432,0.05287,0.10357
1986,Hesse,Urban regions,No,0.91520,399,432,0.88890,0.94150
1986,Hesse,Rural regions,No,0.93007,66,66,0.86807,0.99207
1986,"Rhineland-Palatinate, Saarland",Urban regions,No,0.93560,276,276,0.90659,0.96461
1986,Baden-Wuerttemberg,Urban regions,No,0.96506,742,742,0.95184,0.97828
1986,Baden-Wuerttemberg,Rural regions,No,0.95341,126,126,0.91646,0.99036
1986,Bavaria,Urban regions,No,0.96853,452,452,0.95242,0.98464
1986,Bavaria,Rural regions,No,0.94477,354,354,0.92094,0.96860
1986,Berlin,Urban regions,No,0.96513,192,192,0.93911,0.99115
