"year","quintil","regtyp","mean","median","n","lower_confidence","upper_confidence"
"1985","1","Laendlicher Raum","2.56","1.5","2063","2.52","2.6"
"1985","1","Staedtischer Raum","2.44","1.5","7893","2.42","2.46"
"1985","2","Laendlicher Raum","5","4.5","1077","4.92","5.08"
"1985","2","Staedtischer Raum","4.93","4.5","3565","4.89","4.97"
"1985","3","Laendlicher Raum","","","","",""
"1985","3","Staedtischer Raum","","","","",""
"1985","4","Laendlicher Raum","","","","",""
"1985","4","Staedtischer Raum","","","","",""
"1985","5","Laendlicher Raum","","","","",""
"1985","5","Staedtischer Raum","","","","",""
"1986","1","Laendlicher Raum","2.57","2.5","1944","2.53","2.61"
"1986","1","Staedtischer Raum","2.42","1.5","7442","2.4","2.44"
"1986","2","Laendlicher Raum","4.97","4.5","1054","4.89","5.05"
"1986","2","Staedtischer Raum","4.89","4.5","3454","4.85","4.93"
"1986","3","Laendlicher Raum","","","","",""
"1986","3","Staedtischer Raum","","","","",""
"1986","4","Laendlicher Raum","","","","",""
"1986","4","Staedtischer Raum","","","","",""
"1986","5","Laendlicher Raum","","","","",""
"1986","5","Staedtischer Raum","","","","",""
"1987","1","Laendlicher Raum","2.57","2.5","1910","2.53","2.61"
"1987","1","Staedtischer Raum","2.41","1.5","7389","2.39","2.43"
"1987","2","Laendlicher Raum","4.96","4.5","1029","4.83","5.09"
"1987","2","Staedtischer Raum","4.89","4.5","3314","4.85","4.93"
"1987","3","Laendlicher Raum","","","","",""
"1987","3","Staedtischer Raum","","","","",""
"1987","4","Laendlicher Raum","","","","",""
"1987","4","Staedtischer Raum","","","","",""
"1987","5","Laendlicher Raum","","","","",""
"1987","5","Staedtischer Raum","","","","",""
"1988","1","Laendlicher Raum","2.56","1.5","1790","2.51","2.61"
"1988","1","Staedtischer Raum","2.41","1.5","7176","2.39","2.43"
"1988","2","Laendlicher Raum","4.92","4.5","967","4.8","5.04"
"1988","2","Staedtischer Raum","4.91","4.5","3080","4.86","4.96"
"1988","3","Laendlicher Raum","","","","",""
"1988","3","Staedtischer Raum","","","","",""
"1988","4","Laendlicher Raum","","","","",""
"1988","4","Staedtischer Raum","","","","",""
"1988","5","Laendlicher Raum","","","","",""
"1988","5","Staedtischer Raum","","","","",""
"1989","1","Laendlicher Raum","2.54","1.5","1695","2.49","2.59"
"1989","1","Staedtischer Raum","2.41","1.5","6932","2.39","2.43"
"1989","2","Laendlicher Raum","4.9","4.5","918","4.77","5.03"
"1989","2","Staedtischer Raum","4.89","4.5","3049","4.85","4.93"
"1989","3","Laendlicher Raum","","","","",""
"1989","3","Staedtischer Raum","","","","",""
"1989","4","Laendlicher Raum","","","","",""
"1989","4","Staedtischer Raum","","","","",""
"1989","5","Laendlicher Raum","","","","",""
"1989","5","Staedtischer Raum","","","","",""
"1990","1","Laendlicher Raum","2.61","2.5","4826","2.58","2.64"
"1990","1","Staedtischer Raum","2.44","1.5","8553","2.42","2.46"
"1990","2","Laendlicher Raum","4.85","4.5","1719","4.78","4.92"
"1990","2","Staedtischer Raum","4.91","4.5","3306","4.87","4.95"
