year,bula_h,rentown,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1986,Hesse,Tenant,348,2.04961,1.92141,2.17780,1.00000,2.00000,3.00000,1,6.00000,2,1.00000,2.00000
1986,"Rhineland-Palatinate, Saarland",Owner,181,2.63171,2.44442,2.81900,2.00000,2.00000,3.00000,1,4.50000,2,2.00000,3.00000
1986,"Rhineland-Palatinate, Saarland",Tenant,174,1.98546,1.80898,2.16193,1.00000,2.00000,2.00000,1,3.50000,2,1.00000,2.00000
1986,Baden-Wuerttemberg,Owner,349,2.68161,2.53630,2.82693,2.00000,2.00000,4.00000,1,7.00000,2,2.00000,3.00000
1986,Baden-Wuerttemberg,Tenant,548,2.21018,2.10038,2.31999,1.00000,2.00000,3.00000,1,6.00000,2,2.00000,2.00000
1986,Bavaria,Owner,368,2.79911,2.65732,2.94090,2.00000,3.00000,4.00000,1,7.00000,3,2.00000,3.00000
1986,Bavaria,Tenant,466,2.00834,1.90292,2.11376,1.00000,2.00000,3.00000,1,6.00000,2,1.97500,2.00000
1986,Berlin,Owner,,,,,,,,,,,,
1986,Berlin,Tenant,182,1.76512,1.60882,1.92142,1.00000,1.00000,2.00000,1,3.50000,1,1.00000,2.00000
1987,Schleswig-Holstein,Owner,86,2.55388,2.27406,2.83371,2.00000,2.00000,4.00000,1,6,2,2.00000,3.00000
1987,Schleswig-Holstein,Tenant,77,2.02442,1.77572,2.27312,1.00000,2.00000,3.00000,1,6.00000,2,1.00000,2.00000
1987,Hamburg,Owner,,,,,,,,,,,,
1987,Hamburg,Tenant,106,1.64282,1.44684,1.83880,1.00000,1.00000,2.00000,1,3.50000,1,1.00000,1.02500
1987,Lower Saxony,Owner,230,2.84492,2.67845,3.01138,2.00000,3.00000,4.00000,1,7.00000,3,2.00000,3.00000
1987,Lower Saxony,Tenant,283,1.97045,1.83180,2.10910,1.00000,2.00000,2.00000,1,3.50000,2,1.00000,2.00000
1987,Bremen,Owner,,,,,,,,,,,,
1987,Bremen,Tenant,45,1.50651,1.28815,1.72486,1.00000,1.00000,2.00000,1,3.50000,1,1.00000,2.00000
