"year","quintil","sampreg","mean","median","n","lower_confidence","upper_confidence"
"1984","1","Ost","","","","",""
"1984","1","West","2.5","1.5","11083","2.48","2.52"
"1984","2","Ost","","","","",""
"1984","2","West","4.99","4.5","5093","4.96","5.02"
"1984","3","Ost","","","","",""
"1984","3","West","","","","",""
"1984","4","Ost","","","","",""
"1984","4","West","","","","",""
"1984","5","Ost","","","","",""
"1984","5","West","","","","",""
"1985","1","Ost","","","","",""
"1985","1","West","2.47","1.5","9956","2.45","2.49"
"1985","2","Ost","","","","",""
"1985","2","West","4.95","4.5","4642","4.92","4.98"
"1985","3","Ost","","","","",""
"1985","3","West","","","","",""
"1985","4","Ost","","","","",""
"1985","4","West","","","","",""
"1985","5","Ost","","","","",""
"1985","5","West","","","","",""
"1986","1","Ost","","","","",""
"1986","1","West","2.45","1.5","9386","2.43","2.47"
"1986","2","Ost","","","","",""
"1986","2","West","4.91","4.5","4508","4.88","4.94"
"1986","3","Ost","","","","",""
"1986","3","West","","","","",""
"1986","4","Ost","","","","",""
"1986","4","West","","","","",""
"1986","5","Ost","","","","",""
"1986","5","West","","","","",""
"1987","1","Ost","","","","",""
"1987","1","West","2.44","1.5","9299","2.42","2.46"
"1987","2","Ost","","","","",""
"1987","2","West","4.91","4.5","4343","4.87","4.95"
"1987","3","Ost","","","","",""
"1987","3","West","","","","",""
"1987","4","Ost","","","","",""
"1987","4","West","","","","",""
"1987","5","Ost","","","","",""
"1987","5","West","","","","",""
"1988","1","Ost","","","","",""
"1988","1","West","2.44","1.5","8966","2.42","2.46"
"1988","2","Ost","","","","",""
"1988","2","West","4.91","4.5","4047","4.86","4.96"
"1988","3","Ost","","","","",""
"1988","3","West","","","","",""
"1988","4","Ost","","","","",""
"1988","4","West","","","","",""
"1988","5","Ost","","","","",""
"1988","5","West","","","","",""
"1989","1","Ost","","","","",""
"1989","1","West","2.44","1.5","8627","2.42","2.46"
"1989","2","Ost","","","","",""
"1989","2","West","4.9","4.5","3967","4.85","4.95"
"1989","3","Ost","","","","",""
"1989","3","West","","","","",""
"1989","4","Ost","","","","",""
"1989","4","West","","","","",""
"1989","5","Ost","","","","",""
"1989","5","West","","","","",""
"1990","1","Ost","2.67","2.5","4923","2.64","2.7"
"1990","1","West","2.45","1.5","8567","2.43","2.47"
"1990","2","Ost","4.81","4.5","1178","4.76","4.86"
"1990","2","West","4.9","4.5","3866","4.85","4.95"
"1990","3","Ost","","","","",""
"1990","3","West","","","","",""
"1990","4","Ost","","","","",""
"1990","4","West","","","","",""
"1990","5","Ost","","","","",""
"1990","5","West","","","","",""
"1991","1","Ost","2.69","2.5","4522","2.66","2.72"
"1991","1","West","2.45","1.5","8797","2.43","2.47"
"1991","2","Ost","4.82","4.5","1145","4.77","4.87"
"1991","2","West","4.92","4.5","3680","4.87","4.97"
"1991","3","Ost","","","","",""
"1991","3","West","","","","",""
"1991","4","Ost","","","","",""
"1991","4","West","","","","",""
"1991","5","Ost","","","","",""
"1991","5","West","","","","",""
"1992","1","Ost","2.65","2.5","4387","2.62","2.68"
"1992","1","West","2.45","1.5","8850","2.43","2.47"
"1992","2","Ost","4.8","4.5","1014","4.75","4.85"
"1992","2","West","4.96","4.5","3591","4.92","5"
"1992","3","Ost","","","","",""
"1992","3","West","","","","",""
"1992","4","Ost","","","","",""
"1992","4","West","","","","",""
"1992","5","Ost","","","","",""
"1992","5","West","","","","",""
"1993","1","Ost","2.65","2.5","4182","2.62","2.68"
"1993","1","West","2.44","1.5","8851","2.42","2.46"
"1993","2","Ost","4.87","4.5","985","4.81","4.93"
"1993","2","West","4.9","4.5","3510","4.86","4.94"
"1993","3","Ost","","","","",""
"1993","3","West","","","","",""
"1993","4","Ost","","","","",""
"1993","4","West","","","","",""
"1993","5","Ost","","","","",""
"1993","5","West","","","","",""
"1994","1","Ost","2.6","2.5","4011","2.57","2.63"
"1994","1","West","2.44","1.5","8826","2.42","2.46"
"1994","2","Ost","4.81","4.5","1021","4.75","4.87"
"1994","2","West","4.92","4.5","3280","4.88","4.96"
"1994","3","Ost","","","","",""
"1994","3","West","","","","",""
"1994","4","Ost","","","","",""
"1994","4","West","","","","",""
"1994","5","Ost","","","","",""
"1994","5","West","","","","",""
"1995","1","Ost","","","","",""
"1995","1","West","","","","",""
"1995","2","Ost","3.03","2.5","2180","2.97","3.09"
"1995","2","West","3.29","2.5","4474","3.24","3.34"
"1995","3","Ost","2.73","2.5","1930","2.68","2.78"
"1995","3","West","2.94","2.5","4375","2.9","2.98"
"1995","4","Ost","2.7","2.5","634","2.63","2.77"
"1995","4","West","2.67","1.5","2739","2.63","2.71"
"1995","5","Ost","2.38","1.5","117","2.22","2.54"
"1995","5","West","2.42","1.5","1263","2.36","2.48"
"1996","1","Ost","","","","",""
"1996","1","West","","","","",""
"1996","2","Ost","3.01","2.5","1881","2.95","3.07"
"1996","2","West","3.17","2.5","4024","3.12","3.22"
"1996","3","Ost","2.75","2.5","1999","2.7","2.8"
"1996","3","West","3.02","2.5","4379","2.98","3.06"
"1996","4","Ost","2.67","2.5","765","2.6","2.74"
"1996","4","West","2.72","1.5","2804","2.67","2.77"
"1996","5","Ost","2.29","1.5","152","2.14","2.44"
"1996","5","West","2.39","1.5","1335","2.33","2.45"
"1997","1","Ost","","","","",""
"1997","1","West","","","","",""
"1997","2","Ost","3.02","2.5","1794","2.96","3.08"
"1997","2","West","3.22","2.5","3723","3.16","3.28"
"1997","3","Ost","2.7","2.5","1912","2.65","2.75"
"1997","3","West","3","2.5","4334","2.96","3.04"
"1997","4","Ost","2.61","2.5","821","2.55","2.67"
"1997","4","West","2.65","1.5","2878","2.61","2.69"
"1997","5","Ost","2.32","1.5","156","2.19","2.45"
"1997","5","West","2.47","1.5","1389","2.41","2.53"
"1998","1","Ost","","","","",""
"1998","1","West","","","","",""
"1998","2","Ost","3","2.5","1919","2.94","3.06"
"1998","2","West","3.25","2.5","4028","3.2","3.3"
"1998","3","Ost","2.68","1.5","1904","2.63","2.73"
"1998","3","West","2.98","2.5","4881","2.94","3.02"
"1998","4","Ost","2.57","1.5","918","2.5","2.64"
"1998","4","West","2.66","1.5","3261","2.62","2.7"
"1998","5","Ost","2.53","1.5","193","2.4","2.66"
"1998","5","West","2.41","1.5","1652","2.36","2.46"
"1999","1","Ost","","","","",""
"1999","1","West","","","","",""
"1999","2","Ost","2.93","2.5","1563","2.86","3"
"1999","2","West","3.19","2.5","3276","3.13","3.25"
"1999","3","Ost","2.68","2.5","2035","2.63","2.73"
"1999","3","West","3.02","2.5","4792","2.98","3.06"
"1999","4","Ost","2.49","1.5","960","2.43","2.55"
"1999","4","West","2.69","1.5","3293","2.65","2.73"
"1999","5","Ost","2.47","1.5","213","2.34","2.6"
"1999","5","West","2.47","1.5","1856","2.42","2.52"
"2000","1","Ost","","","","",""
"2000","1","West","","","","",""
"2000","2","Ost","2.92","2.5","2383","2.86","2.98"
"2000","2","West","3.2","2.5","5580","3.16","3.24"
"2000","3","Ost","2.65","1.5","3053","2.61","2.69"
"2000","3","West","3.05","2.5","8451","3.02","3.08"
"2000","4","Ost","2.51","1.5","1432","2.45","2.57"
"2000","4","West","2.66","1.5","6508","2.63","2.69"
"2000","5","Ost","2.54","1.5","489","2.45","2.63"
"2000","5","West","2.4","1.5","3911","2.36","2.44"
"2001","1","Ost","","","","",""
"2001","1","West","","","","",""
"2001","2","Ost","2.85","2.5","1993","2.79","2.91"
"2001","2","West","3.21","2.5","4639","3.16","3.26"
"2001","3","Ost","2.64","1.5","2739","2.6","2.68"
"2001","3","West","3.08","2.5","7427","3.05","3.11"
"2001","4","Ost","2.47","1.5","1536","2.42","2.52"
"2001","4","West","2.66","1.5","6048","2.63","2.69"
"2001","5","Ost","2.48","1.5","470","2.4","2.56"
"2001","5","West","2.37","1.5","3876","2.33","2.41"
"2002","1","Ost","","","","",""
"2002","1","West","","","","",""
