"year","quintil","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"1995","1 Einkommensschwächstes Quintil","3.22","2.5","7105","1","2","4","5","7","3.18","3.26","1","11","4","4"
"1995","2","2.86","2.5","4950","1","2","4","4","6","2.82","2.9","1","9","3","3"
"1995","3","2.81","2.5","3017","1","2","4","4","6","2.77","2.85","1","7","3","3"
"1995","4","","","","","","","","","","","","","",""
"1995","5 Einkommensstärkstes Quintil","2.31","1.5","845","1","2","3","4","5","2.24","2.38","1","6","2","2"
"1996","1 Einkommensschwächstes Quintil","3.11","2.5","6374","1","2","4","5","7","3.07","3.15","1","11","4","4"
"1996","2","2.98","2.5","4936","1","2","4","5","7","2.94","3.02","1","10","3","3"
"1996","3","2.81","2.5","3156","1","2","4","4","5","2.77","2.85","1","8","3","3"
"1996","4","","","","","","","","","","","","","",""
"1996","5 Einkommensstärkstes Quintil","2.36","1.5","972","1","2","3","4","5","2.29","2.43","1","5","2","2"
"1997","1 Einkommensschwächstes Quintil","3.14","2.5","5987","1","2","4","5","7","3.1","3.18","1","12","4","4"
"1997","2","2.95","2.5","4827","1","2","4","5","6","2.91","2.99","1","11","3","3"
"1997","3","2.79","2.5","3291","1","2","4","4","6","2.75","2.83","1","8","3","3"
"1997","4","","","","","","","","","","","","","",""
"1997","5 Einkommensstärkstes Quintil","2.36","1.5","967","1","2","3","4","5","2.29","2.43","1","6","2","2"
"1998","1 Einkommensschwächstes Quintil","3.17","2.5","6439","1","2","4","5","7","3.13","3.21","1","12","4","4"
"1998","2","2.91","2.5","5174","1","2","4","5","7","2.87","2.95","1","9","3","3"
"1998","3","2.72","1.5","3597","1","2","4","4","6","2.68","2.76","1","8","3","3"
"1998","4","","","","","","","","","","","","","",""
"1998","5 Einkommensstärkstes Quintil","","","","","","","","","","","","","",""
"1999","1 Einkommensschwächstes Quintil","3.1","2.5","5258","1","2","4","5","7","3.06","3.14","1","13","4","4"
"1999","2","2.95","2.5","5303","1","2","4","5","6","2.91","2.99","1","9","3","3"
"1999","3","2.85","2.5","3663","1","2","4","4","7","2.81","2.89","1","8","3","3"
"1999","4","","","","","","","","","","","","","",""
"1999","5 Einkommensstärkstes Quintil","","","","","","","","","","","","","",""
"2000","1 Einkommensschwächstes Quintil","3.14","2.5","8689","1","2","4","5","7","3.11","3.17","1","13","3","4"
"2000","2","2.95","2.5","8714","1","2","4","5","6","2.92","2.98","1","10","3","3"
"2000","3","2.78","2.5","6738","1","2","4","4","6","2.75","2.81","1","8","3","3"
"2000","4","2.56","1.5","4752","1","2","3","4","6","2.53","2.59","1","8","2","3"
"2000","5 Einkommensstärkstes Quintil","","","","","","","","","","","","","",""
"2001","1 Einkommensschwächstes Quintil","3.11","2.5","7277","1","2","4","5","7","3.07","3.15","1","12","3","4"
"2001","2","2.99","2.5","7647","1","2","4","5","6","2.96","3.02","1","11","3","3"
"2001","3","2.78","2.5","6305","1","2","4","4","6","2.75","2.81","1","8","3","3"
"2001","4","2.54","1.5","4636","1","2","3","4","5","2.51","2.57","1","7","2","3"
"2001","5 Einkommensstärkstes Quintil","","","","","","","","","","","","","",""
"2002","1 Einkommensschwächstes Quintil","3.12","2.5","6246","1","2","4","5","7","3.08","3.16","1","12","3","3"
"2002","2","3","2.5","6580","1","2","4","5","6","2.97","3.03","1","11","3","3"
"2002","3","2.77","2.5","5965","1","2","4","4","5","2.74","2.8","1","9","3","3"
"2002","4","2.42","1.5","5859","1","2","3","4","5","2.39","2.45","1","7","3","3"
"2002","5 Einkommensstärkstes Quintil","2.36","1.5","5466","1","2","3","4","6","2.33","2.39","1","7","3","3"
"2003","1 Einkommensschwächstes Quintil","3.08","2.5","5780","1","2","4","5","7","3.04","3.12","1","11","3","3"
"2003","2","2.98","2.5","6126","1","2","4","5","6","2.94","3.02","1","13","3","3"
"2003","3","2.81","2.5","6132","1","2","4","4","6","2.78","2.84","1","11","3","3"
"2003","4","2.45","1.5","5838","1","2","3","4","5","2.42","2.48","1","7","3","3"
"2003","5 Einkommensstärkstes Quintil","2.36","1.5","4916","1","2","3","4","5","2.33","2.39","1","8","2","3"
"2004","1 Einkommensschwächstes Quintil","3.05","2.5","5565","1","2","4","5","7","3.01","3.09","1","13","3","3"
"2004","2","2.99","2.5","5923","1","2","4","5","6","2.95","3.03","1","13","3","3"
"2004","3","2.77","2.5","5887","1","2","4","4","6","2.74","2.8","1","7","3","3"
"2004","4","2.44","1.5","5687","1","2","3","4","5","2.41","2.47","1","7","3","3"
"2004","5 Einkommensstärkstes Quintil","2.35","1.5","4869","1","2","3","4","5","2.32","2.38","1","8","2","2"
"2005","1 Einkommensschwächstes Quintil","3.01","2.5","5387","1","2","4","5","7","2.97","3.05","1","13","3","3"
"2005","2","2.96","2.5","5494","1","2","4","5","6","2.92","3","1","9","3","3"
"2005","3","2.8","2.5","5539","1","2","4","4","6","2.77","2.83","1","8","3","3"
"2005","4","2.46","1.5","5455","1","2","3","4","5","2.43","2.49","1","7","3","3"
"2005","5 Einkommensstärkstes Quintil","2.32","1.5","4831","1","2","3","4","5","2.29","2.35","1","9","2","2"
"2006","1 Einkommensschwächstes Quintil","2.93","2.5","5718","1","2","4","5","7","2.89","2.97","1","13","3","3"
"2006","2","2.94","2.5","5929","1","2","4","5","6","2.9","2.98","1","12","3","3"
"2006","3","2.78","2.5","5914","1","2","4","4","6","2.75","2.81","1","7","3","3"
"2006","4","2.46","1.5","6058","1","2","3","4","5","2.43","2.49","1","9","3","3"
"2006","5 Einkommensstärkstes Quintil","2.33","1.5","5049","1","2","3","4","5","2.3","2.36","1","8","2","2"
"2007","1 Einkommensschwächstes Quintil","2.89","2.5","4896","1","2","4","5","7","2.84","2.94","1","13","3","3"
