year,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,n
1984,2.36546,2.33130,2.39962,1.00000,2.00000,3.00000,1.00000,6.00000,5863.00000
1985,2.31242,2.27718,2.34765,1.00000,2.00000,3.00000,1.00000,6.00000,5272.00000
1986,2.29426,2.25842,2.33009,1.00000,2.00000,3.00000,1.00000,6.00000,5039.00000
1987,2.27822,2.24241,2.31404,1.00000,2.00000,3.00000,1.00000,6.00000,4975.00000
1988,2.26077,2.22454,2.29700,1.00000,2.00000,3.00000,1.00000,6.00000,4770.00000
1989,2.24527,2.20888,2.28165,1.00000,2.00000,3.00000,1.00000,6.00000,4651.00000
1990,2.27825,2.24830,2.30820,1.00000,2.00000,3.00000,1.00000,6.00000,6750.00000
1991,2.27313,2.24296,2.30331,1.00000,2.00000,3.00000,1.00000,6.00000,6629.00000
1992,2.26194,2.23182,2.29206,1.00000,2.00000,3.00000,1.00000,6.00000,6603.00000
1993,2.24606,2.21613,2.27599,1.00000,2.00000,3.00000,1.00000,6.00000,6570.00000
1994,2.22749,2.19747,2.25750,1.00000,2.00000,3.00000,1.00000,6.00000,6496.00000
1995,2.21768,2.18812,2.24724,1.00000,2.00000,3.00000,1.00000,6.00000,6697.00000
1996,2.20216,2.17254,2.23179,1.00000,2.00000,3.00000,1.00000,6.00000,6631.00000
1997,2.19501,2.16537,2.22465,1.00000,2.00000,3.00000,1.00000,6.00000,6546.00000
1998,2.18847,2.16070,2.21624,1.00000,2.00000,3.00000,1.00000,6.00000,7417.00000
1999,2.17568,2.14760,2.20377,1.00000,2.00000,3.00000,1.00000,6.00000,7143.00000
2000,2.16179,2.14107,2.18252,1.00000,2.00000,3.00000,1.00000,6.00000,12950.00000
2001,2.14595,2.12422,2.16768,1.00000,2.00000,3.00000,1.00000,6.00000,11680.00000
2002,2.13643,2.11534,2.15752,1.00000,2.00000,3.00000,1.00000,6.00000,12212.00000
2003,2.12569,2.10433,2.14705,1.00000,2.00000,3.00000,1.00000,6.00000,11804.00000
2004,2.11423,2.09281,2.13564,1.00000,2.00000,3.00000,1.00000,6.00000,11543.00000
2005,2.10689,2.08526,2.12852,1.00000,2.00000,3.00000,1.00000,6.00000,11199.00000
2006,2.07547,2.05487,2.09606,1.00000,2.00000,3.00000,1.00000,6.00000,12265.00000
2007,2.07154,2.05036,2.09272,1.00000,2.00000,3.00000,1.00000,6.00000,11453.00000
2008,2.05150,2.02990,2.07310,1.00000,2.00000,3.00000,1.00000,6.00000,10822.00000
2009,2.03807,2.01596,2.06019,1.00000,2.00000,3.00000,1.00000,6.00000,10177.00000
2010,2.02748,2.00849,2.04646,1.00000,2.00000,3.00000,1.00000,6.00000,13799.00000
2011,2.02867,2.01135,2.04599,1.00000,2.00000,3.00000,1.00000,6.00000,16603.00000
2012,2.02283,2.00540,2.04026,1.00000,2.00000,3.00000,1.00000,6.00000,16303.00000
2013,2.01708,2.00038,2.03379,1.00000,2.00000,3.00000,1.00000,6.00000,17870.00000
2014,2.01137,1.99355,2.02919,1.00000,2.00000,2.00000,1.00000,3.50000,15828.00000
2015,1.99772,1.97998,2.01546,1.00000,2.00000,2.00000,1.00000,3.50000,15764.00000
2016,2.01242,1.99484,2.03000,1.00000,2.00000,2.00000,1.00000,3.50000,16419.00000
2017,2.00484,1.98803,2.02165,1.00000,2.00000,2.00000,1.00000,3.50000,18279.00000
2018,1.99754,1.98064,2.01444,1.00000,2.00000,2.00000,1.00000,3.50000,17878.00000
2019,1.99720,1.98051,2.01389,1.00000,2.00000,2.00000,1.00000,3.50000,18428.00000
2020,2.02056,2.00420,2.03691,1.00000,2.00000,3.00000,1.00000,6.00000,19329.00000
2021,2.00673,1.98657,2.02689,1.00000,2.00000,2.00000,1.00000,3.50000,12568.00000
2022,2.00407,1.98824,2.01990,1.00000,2.00000,2.00000,1.00000,3.50000,20458.00000
