year,rentown,sampreg,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,Owner,West,2005,2.76604,2.70572,2.82636,2.00000,3.00000,4.00000,1,7.00000,3,2.00000,3.00000
1984,Tenant,West,3858,2.09698,2.05803,2.13592,1.00000,2.00000,3.00000,1,6.00000,2,2.00000,2.00000
1985,Owner,West,1865,2.74998,2.68880,2.81116,2.00000,3.00000,4.00000,1,7.00000,3,2.00000,3.00000
1985,Tenant,West,3407,2.02150,1.98152,2.06148,1.00000,2.00000,3.00000,1,6.00000,2,2.00000,2.00000
1986,Owner,West,1836,2.71209,2.65134,2.77284,2.00000,2.00000,4.00000,1,7.00000,2,2.00000,3.00000
1986,Tenant,West,3199,2.01866,1.97703,2.06030,1.00000,2.00000,3.00000,1,6.00000,2,2.00000,2.00000
1987,Owner,West,1830,2.68528,2.62525,2.74531,2.00000,2.00000,4.00000,1,7.00000,2,2.00000,3.00000
1987,Tenant,West,3143,2.01373,1.97166,2.05581,1.00000,2.00000,3.00000,1,6.00000,2,2.00000,2.00000
1988,Owner,West,1748,2.64221,2.58157,2.70286,2.00000,2.00000,4.00000,1,7.00000,2,2.00000,2.00000
1988,Tenant,West,3021,2.00952,1.96667,2.05237,1.00000,2.00000,3.00000,1,6.00000,2,2.00000,2.00000
1989,Owner,West,1713,2.63149,2.57092,2.69206,2.00000,2.00000,4.00000,1,7.00000,2,2.00000,2.00000
1989,Tenant,West,2935,1.98576,1.94271,2.02880,1.00000,2.00000,3.00000,1,6.00000,2,2.00000,2.00000
1990,Owner,West,1738,2.61255,2.55244,2.67266,2.00000,2.00000,4.00000,1,7.00000,2,2.00000,2.00000
1990,Owner,East,624,2.73501,2.64176,2.82826,2.00000,3.00000,4.00000,1,7.00000,3,2.00000,3.00000
1990,Tenant,West,2853,2.00908,1.96503,2.05312,1.00000,2.00000,3.00000,1,6.00000,2,2.00000,2.00000
1990,Tenant,East,1529,2.25978,2.20084,2.31873,1.00000,2.00000,3.00000,1,6.00000,2,2.00000,2.00000
1991,Owner,West,1752,2.61253,2.55299,2.67207,2.00000,2.00000,4.00000,1,7.00000,2,2.00000,2.00000
