year,pgisced97,regtyp,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1985,Pre-primary Level,Urban regions,149,8.12337,7.82168,8.42505,7.00000,8.00000,9.68231,2.97653,10.00000,8.00000,8.00000,9.00000
1985,Pre-primary Level,Rural regions,37,8.17413,7.62426,8.72400,7.00000,8.00000,10.00000,4.00000,10.00000,8.00000,8.00000,9.00000
1985,Primary Level,Urban regions,721,6.51871,6.31162,6.72580,5.00000,7.00000,9.00000,0.00000,10.00000,7.00000,7.00000,7.00000
1985,Primary Level,Rural regions,106,5.85003,5.27508,6.42498,4.00000,5.27999,8.00000,0.00000,10.00000,5.00000,5.00000,8.00000
1985,Lower Secondary Level,Urban regions,2306,6.48167,6.37559,6.58775,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
1985,Lower Secondary Level,Rural regions,740,6.43958,6.25540,6.62377,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,6.00000,7.00000
1985,Upper Secondary Level,Urban regions,4025,6.80770,6.73124,6.88417,5.00000,7.00000,9.00000,0.00000,10.00000,7.00000,7.00000,7.00000
1985,Upper Secondary Level,Rural regions,1134,6.83705,6.69396,6.98015,5.00000,7.00000,9.00000,0.00000,10.00000,7.00000,7.00000,8.00000
1985,Post-secondary Non-tertiary Level,Urban regions,228,6.81087,6.47971,7.14204,5.00000,7.00000,9.00000,0.00000,10.00000,7.00000,7.00000,8.00000
1985,Post-secondary Non-tertiary Level,Rural regions,42,7.16098,6.42499,7.89697,5.00000,8.00000,9.00000,0.00000,10.00000,8.00000,6.00000,8.00000
1985,First Stage of Tertiary Education,Urban regions,481,6.65866,6.44291,6.87441,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,8.00000
1985,First Stage of Tertiary Education,Rural regions,135,6.73099,6.28321,7.17877,5.00000,7.00000,9.00000,0.00000,10.00000,7.00000,6.00000,8.00000
1985,Second Stage of Tertiary Education,Urban regions,632,7.39115,7.23305,7.54925,6.00000,8.00000,9.00000,1.50000,10.00000,8.00000,8.00000,8.00000
1985,Second Stage of Tertiary Education,Rural regions,122,7.23449,6.82572,7.64326,6.00000,8.00000,9.00000,1.50000,10.00000,8.00000,7.00000,8.00000
1986,Pre-primary Level,Urban regions,165,8.13031,7.87084,8.38979,7.00000,8.00000,9.00000,4.00000,10.00000,8.00000,8.00000,9.00000
1986,Pre-primary Level,Rural regions,,,,,,,,,,,,
1986,Primary Level,Urban regions,670,6.30187,6.08694,6.51681,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,6.00000,7.00000
1986,Primary Level,Rural regions,105,5.68901,5.07305,6.30497,4.00000,6.00000,8.00000,0.00000,10.00000,6.00000,4.00000,8.00000
1986,Lower Secondary Level,Urban regions,2198,6.41906,6.31218,6.52594,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,6.00000,7.00000
1986,Lower Secondary Level,Rural regions,698,6.51524,6.32454,6.70595,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
1986,Upper Secondary Level,Urban regions,3895,6.73377,6.65686,6.81067,5.00000,7.00000,9.00000,0.00000,10.00000,7.00000,7.00000,7.00000
1986,Upper Secondary Level,Rural regions,1087,6.82052,6.67741,6.96363,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,8.00000
1986,Post-secondary Non-tertiary Level,Urban regions,228,6.91416,6.60606,7.22227,5.00000,7.00000,9.00000,0.00000,10.00000,7.00000,7.00000,8.00000
1986,Post-secondary Non-tertiary Level,Rural regions,46,7.43517,6.90054,7.96979,5.00000,8.00000,9.00000,3.00000,10.00000,8.00000,7.00000,9.00000
1986,First Stage of Tertiary Education,Urban regions,456,6.68512,6.46736,6.90288,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,8.00000
1986,First Stage of Tertiary Education,Rural regions,124,6.76590,6.35213,7.17966,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,8.00000
1986,Second Stage of Tertiary Education,Urban regions,623,7.26385,7.09394,7.43376,6.00000,8.00000,9.00000,1.50000,10.00000,8.00000,8.00000,8.00000
1986,Second Stage of Tertiary Education,Rural regions,125,6.94283,6.53164,7.35403,5.00000,8.00000,9.00000,0.00000,10.00000,8.00000,7.00000,8.00000
1987,Pre-primary Level,Urban regions,164,7.76674,7.46201,8.07147,7.00000,8.00000,9.00000,4.00000,10.00000,8.00000,8.00000,8.00000
1987,Pre-primary Level,Rural regions,,,,,,,,,,,,
1987,Primary Level,Urban regions,647,6.26096,6.05331,6.46861,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,6.00000,7.00000
1987,Primary Level,Rural regions,101,5.84048,5.24827,6.43270,3.00000,6.00000,8.00000,0.00000,10.00000,6.00000,4.00000,8.00000
1987,Lower Secondary Level,Urban regions,2161,6.42297,6.31797,6.52797,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
1987,Lower Secondary Level,Rural regions,668,6.30410,6.11013,6.49807,5.00000,6.00000,8.00000,0.50000,10.00000,6.00000,6.00000,7.00000
1987,Upper Secondary Level,Urban regions,3860,6.67729,6.60178,6.75281,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
1987,Upper Secondary Level,Rural regions,1105,6.75051,6.61065,6.89036,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
1987,Post-secondary Non-tertiary Level,Urban regions,232,6.93538,6.63615,7.23460,5.02983,8.00000,8.00000,0.57457,10.00000,8.00000,7.00000,8.00000
1987,Post-secondary Non-tertiary Level,Rural regions,41,6.88848,6.16477,7.61219,5.00000,8.00000,8.90641,0.00000,10.00000,8.00000,6.00000,8.00000
1987,First Stage of Tertiary Education,Urban regions,446,6.61154,6.39862,6.82446,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
1987,First Stage of Tertiary Education,Rural regions,119,7.11250,6.75714,7.46785,6.00000,7.00000,8.00000,3.00000,10.00000,7.00000,7.00000,8.00000
1987,Second Stage of Tertiary Education,Urban regions,617,7.17438,7.00613,7.34262,6.00000,8.00000,9.00000,1.50000,10.00000,8.00000,8.00000,8.00000
1987,Second Stage of Tertiary Education,Rural regions,124,7.08318,6.65447,7.51188,6.00000,8.00000,9.00000,1.50000,10.00000,8.00000,7.00000,8.00000
1988,Pre-primary Level,Urban regions,133,8.03490,7.71021,8.35959,7.00000,8.00000,10.00000,2.50000,10.00000,8.00000,8.00000,9.00000
1988,Pre-primary Level,Rural regions,,,,,,,,,,,,
1988,Primary Level,Urban regions,593,6.23496,6.02627,6.44364,5.00000,6.00000,8.00000,0.50000,10.00000,6.00000,6.00000,7.00000
1988,Primary Level,Rural regions,93,5.39507,4.69871,6.09143,2.00000,6.00000,8.00000,0.00000,10.00000,6.00000,4.00000,8.00000
1988,Lower Secondary Level,Urban regions,2105,6.27157,6.16252,6.38062,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,6.00000,7.00000
1988,Lower Secondary Level,Rural regions,611,6.26512,6.06722,6.46303,5.00000,6.77489,8.00000,0.50000,10.00000,7.00000,6.00000,7.00000
1988,Upper Secondary Level,Urban regions,3687,6.58710,6.50921,6.66500,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
