syear,quintil_oecd,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
2007,4. Quintil,,,,,,,,,,,,
2007,5. Quintil,,,,,,,,,,,,
2008,2. Quintil,170.0378600818583,169.8772544517498,170.1984657119668,163.0,170.0,176.0,143.5,195.5,170.0,170.0,171.0,3091.0
2008,3. Quintil,170.20521942733166,170.0815744087076,170.3288644459557,164.0,170.0,176.0,146.0,194.0,170.0,170.0,171.0,5178.0
2008,4. Quintil,171.7001203047354,171.57744542979586,171.82279517967496,165.0,171.0,178.0,145.5,197.5,171.0,170.0,172.0,5390.0
2008,5. Quintil,173.55848455136893,173.43559944807595,173.68136965466192,167.0,174.0,180.0,147.5,199.5,174.0,174.0,175.0,5602.0
2009,2. Quintil,,,,,,,,,,,,
2009,3. Quintil,,,,,,,,,,,,
2009,4. Quintil,,,,,,,,,,,,
2009,5. Quintil,,,,,,,,,,,,
2010,2. Quintil,170.43746245262588,170.2435539782551,170.63137092699665,164.0,170.0,178.0,143.0,199.0,170.0,170.0,171.0,2226.0
2010,3. Quintil,169.86919547989177,169.72741669044345,170.0109742693401,163.0,170.0,176.0,143.5,195.5,170.0,170.0,171.0,4139.0
2010,4. Quintil,171.5545213027061,171.42387696556887,171.68516563984332,165.0,170.0,178.0,145.5,197.5,170.0,168.0,170.0,4811.0
2010,5. Quintil,173.19544397962673,173.07412686282603,173.31676109642743,166.0,173.0,180.0,145.0,201.0,173.0,172.0,174.0,5403.0
2011,2. Quintil,,,,,,,,,,,,
2011,3. Quintil,,,,,,,,,,,,
2011,4. Quintil,,,,,,,,,,,,
2011,5. Quintil,,,,,,,,,,,,
2012,1. Quintil,,,,,,,,,,,,
2012,2. Quintil,170.27521848045035,170.09812819288757,170.45230876801313,164.0,170.0,177.0,144.5,196.5,170.0,170.0,170.0,2662.0
2012,3. Quintil,170.09127043573932,169.9614542277818,170.22108664369685,164.0,170.0,176.0,146.0,194.0,170.0,170.0,171.0,4706.0
2012,4. Quintil,171.21521895820754,171.0978300673601,171.332607849055,164.0,170.0,178.0,143.0,199.0,170.0,169.0,170.0,5957.0
2012,5. Quintil,173.24044153367956,173.1324632718747,173.3484197954844,166.0,173.0,180.0,145.0,201.0,173.0,172.0,174.0,7099.0
2013,1. Quintil,,,,,,,,,,,,
2013,2. Quintil,,,,,,,,,,,,
2013,3. Quintil,,,,,,,,,,,,
2013,4. Quintil,,,,,,,,,,,,
2013,5. Quintil,,,,,,,,,,,,
2014,2. Quintil,170.85893483377174,170.70913288884324,171.00873677870024,164.0,170.0,178.0,143.0,199.0,170.0,170.0,170.0,3902.0
2014,3. Quintil,170.22840314070822,170.11343135240276,170.3433749290137,164.0,170.0,177.0,144.5,196.5,170.0,170.0,171.0,6547.0
2014,4. Quintil,171.25047479750575,171.1453267481434,171.3556228468681,164.0,170.0,178.0,143.0,199.0,170.0,169.0,170.0,7711.0
2014,5. Quintil,173.27117017859518,173.17525478978163,173.36708556740874,167.0,173.0,180.0,147.5,199.5,173.0,173.0,174.0,8836.0
2015,2. Quintil,,,,,,,,,,,,
2015,3. Quintil,,,,,,,,,,,,
2015,4. Quintil,,,,,,,,,,,,
2015,5. Quintil,,,,,,,,,,,,
2016,2. Quintil,170.83199209319167,170.65968425092555,171.0042999354578,164.0,170.0,178.0,143.0,199.0,170.0,170.0,170.0,2975.0
2016,3. Quintil,170.47521676323876,170.35007444668065,170.60035907979687,164.0,170.0,177.0,144.5,196.5,170.0,170.0,170.0,5100.0
2016,4. Quintil,171.36424889566075,171.25258921316416,171.47590857815734,165.0,170.0,178.0,145.5,197.5,170.0,168.0,170.0,6885.0
2016,5. Quintil,173.11514253569482,173.01943785262432,173.2108472187653,166.0,173.0,180.0,145.0,201.0,173.0,173.0,174.0,9098.0
2017,2. Quintil,,,,,,,,,,,,
2017,3. Quintil,,,,,,,,,,,,
2017,4. Quintil,,,,,,,,,,,,
2017,5. Quintil,,,,,,,,,,,,
2018,2. Quintil,170.65647775438595,170.52586845184905,170.78708705692284,164.0,170.0,177.0,144.5,196.5,170.0,170.0,170.0,5086.0
2018,3. Quintil,170.14515589048574,170.01570471903753,170.27460706193395,163.0,170.0,176.0,143.5,195.5,170.0,170.0,171.0,4945.0
2018,4. Quintil,171.1523074420996,171.0437092552772,171.26090562892202,164.0,170.0,178.0,143.0,199.0,170.0,169.0,170.0,7449.0
2018,5. Quintil,173.2223197244668,173.13493820663254,173.30970124230103,166.0,173.0,180.0,145.0,201.0,173.0,173.0,173.0,11182.0
2019,1. Quintil,,,,,,,,,,,,
2019,2. Quintil,,,,,,,,,,,,
2019,3. Quintil,,,,,,,,,,,,
2019,4. Quintil,,,,,,,,,,,,
2019,5. Quintil,,,,,,,,,,,,
2020,2. Quintil,170.50445216354385,170.30270119467377,170.70620313241392,164.0,170.0,177.0,144.5,196.5,170.0,170.0,171.0,2024.0
2020,3. Quintil,170.3199161222036,170.16490066651676,170.47493157789046,163.0,170.0,178.0,140.5,200.5,170.0,170.0,171.0,3688.0
2020,4. Quintil,171.38378853682994,171.26636619956625,171.50121087409363,165.0,170.0,178.0,145.5,197.5,170.0,169.0,170.0,6464.0
2020,5. Quintil,173.2020698393904,173.12208983630237,173.28204984247841,166.0,173.0,180.0,145.0,201.0,173.0,173.0,173.0,13385.0
2021,2. Quintil,,,,,,,,,,,,
2021,3. Quintil,,,,,,,,,,,,
2021,4. Quintil,,,,,,,,,,,,
2021,5. Quintil,,,,,,,,,,,,
