"year","sex","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"2002","maennlich","177.36","177.5","11099","177.23","177.49"
"2002","weiblich","165.02","164.5","11860","164.9","165.14"
"2003","maennlich","","","","",""
"2003","weiblich","","","","",""
"2004","maennlich","177.52","177.5","10342","177.38","177.66"
"2004","weiblich","165.02","164.5","11175","164.9","165.14"
"2005","maennlich","","","","",""
"2005","weiblich","","","","",""
"2006","maennlich","177.79","177.5","10441","177.65","177.93"
"2006","weiblich","165.05","164.5","11465","164.93","165.17"
"2007","maennlich","","","","",""
"2007","weiblich","","","","",""
"2008","maennlich","177.95","177.5","9185","177.8","178.1"
"2008","weiblich","165.17","164.5","10076","165.04","165.3"
"2009","maennlich","","","","",""
"2009","weiblich","","","","",""
"2010","maennlich","177.94","177.5","7900","177.78","178.1"
"2010","weiblich","165.13","164.5","8679","164.99","165.27"
"2011","maennlich","","","","",""
"2011","weiblich","","","","",""
"2012","maennlich","178.17","177.5","9625","178.02","178.32"
"2012","weiblich","165.1","164.5","10799","164.98","165.22"
"2013","maennlich","","","","",""
"2013","weiblich","","","","",""
"2014","maennlich","178.4","177.5","12394","178.27","178.53"
"2014","weiblich","165.29","164.5","14602","165.18","165.4"
"2015","maennlich","","","","",""
"2015","weiblich","","","","",""
"2016","maennlich","178.56","177.5","11009","178.42","178.7"
"2016","weiblich","165.39","164.5","13049","165.28","165.5"
"2017","maennlich","","","","",""
"2017","weiblich","","","","",""
"2018","maennlich","178.76","177.5","13638","178.63","178.89"
"2018","weiblich","165.3","164.5","15024","165.19","165.41"
"2019","maennlich","","","","",""
"2019","weiblich","","","","",""
"2020","maennlich","178.97","178.5","12259","178.84","179.1"
"2020","weiblich","165.53","164.5","13400","165.42","165.64"
